estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Apolo Chupiluzani,2026-09-07 11:00:00,105,0.0,19,56,346,1.0
Apolo Chupiluzani,2026-09-07 11:00:00,108,0.0,14,56,354,0.9
Apolo Chupiluzani,2026-09-07 11:00:00,111,0.0,14,56,353,1.0
Ascencion de Guarayos,2026-09-07 11:00:00,3,0.0,31,37,170,1.5
Ascencion de Guarayos,2026-09-07 11:00:00,6,0.0,31,36,160,1.1
Ascencion de Guarayos,2026-09-07 11:00:00,9,0.0,28,26,149,0.7
Ascencion de Guarayos,2026-09-07 11:00:00,12,0.0,24,26,170,0.9
Ascencion de Guarayos,2026-09-07 11:00:00,15,0.0,19,36,180,1.1
Ascencion de Guarayos,2026-09-07 11:00:00,18,0.0,19,36,134,0.5
Ascencion de Guarayos,2026-09-07 11:00:00,21,0.0,24,36,69,0.3
Ascencion de Guarayos,2026-09-07 11:00:00,24,0.0,27,36,14,1.5
Ascencion de Guarayos,2026-09-07 11:00:00,27,0.0,33,36,310,2.8
Ascencion de Guarayos,2026-09-07 11:00:00,30,0.0,33,36,320,2.0
Ascencion de Guarayos,2026-09-07 11:00:00,33,0.0,28,26,330,1.3
Ascencion de Guarayos,2026-09-07 11:00:00,36,0.0,25,26,320,1.0
Ascencion de Guarayos,2026-09-07 11:00:00,39,0.0,20,36,300,0.8
Ascencion de Guarayos,2026-09-07 11:00:00,42,0.0,20,36,334,1.1
Ascencion de Guarayos,2026-09-07 11:00:00,45,0.0,27,36,340,1.5
Ascencion de Guarayos,2026-09-07 11:00:00,48,0.0,31,36,330,2.2
Ascencion de Guarayos,2026-09-07 11:00:00,51,0.0,34,35,320,2.9
Ascencion de Guarayos,2026-09-07 11:00:00,54,0.0,34,36,340,2.4
Ascencion de Guarayos,2026-09-07 11:00:00,57,0.0,29,36,360,1.9
Ascencion de Guarayos,2026-09-07 11:00:00,60,0.0,24,36,20,1.7
Ascencion de Guarayos,2026-09-07 11:00:00,63,0.0,19,36,30,1.6
Ascencion de Guarayos,2026-09-07 11:00:00,66,0.0,19,36,1,2.1
Ascencion de Guarayos,2026-09-07 11:00:00,69,0.0,26,35,341,2.0
Ascencion de Guarayos,2026-09-07 11:00:00,72,0.0,29,36,340,2.3
Ascencion de Guarayos,2026-09-07 11:00:00,75,0.0,35,56,330,2.7
Ascencion de Guarayos,2026-09-07 11:00:00,78,0.0,35,56,350,2.2
Ascencion de Guarayos,2026-09-07 11:00:00,81,0.0,31,36,10,1.6
Ascencion de Guarayos,2026-09-07 11:00:00,84,0.0,19,36,315,1.2
Ascencion de Guarayos,2026-09-07 11:00:00,87,0.0,19,25,251,0.8
Ascencion de Guarayos,2026-09-07 11:00:00,90,0.0,29,25,10,2.0
Ascencion de Guarayos,2026-09-07 11:00:00,93,0.0,31,26,360,2.7
Ascencion de Guarayos,2026-09-07 11:00:00,96,0.0,36,26,340,3.2
Ascencion de Guarayos,2026-09-07 11:00:00,99,0.0,41,36,320,3.7
Ascencion de Guarayos,2026-09-07 11:00:00,102,0.0,36,36,358,2.2
Ascencion de Guarayos,2026-09-07 11:00:00,105,0.0,31,36,37,0.5
Ascencion de Guarayos,2026-09-07 11:00:00,108,0.0,29,36,33,0.9
Ascencion de Guarayos,2026-09-07 11:00:00,111,0.0,27,25,30,1.3
Baures,2026-09-07 11:00:00,3,0.0,31,37,130,2.3
Baures,2026-09-07 11:00:00,6,0.0,31,36,121,1.8
Baures,2026-09-07 11:00:00,9,0.0,27,36,106,1.2
Baures,2026-09-07 11:00:00,12,0.0,23,37,155,1.7
Baures,2026-09-07 11:00:00,15,0.0,19,37,194,2.2
Baures,2026-09-07 11:00:00,18,0.0,19,37,180,1.4
Baures,2026-09-07 11:00:00,21,0.0,26,36,140,1.3
Baures,2026-09-07 11:00:00,24,0.0,29,36,60,2.2
Baures,2026-09-07 11:00:00,27,0.0,32,36,330,3.1
Baures,2026-09-07 11:00:00,30,0.0,32,36,290,2.3
Baures,2026-09-07 11:00:00,33,0.0,28,36,241,1.5
Baures,2026-09-07 11:00:00,36,0.0,24,36,271,1.7
Baures,2026-09-07 11:00:00,39,0.0,21,35,300,2.0
Baures,2026-09-07 11:00:00,42,0.0,21,26,345,2.1
Baures,2026-09-07 11:00:00,45,0.0,27,26,330,2.2
Baures,2026-09-07 11:00:00,48,0.0,31,26,330,3.4
Baures,2026-09-07 11:00:00,51,0.0,34,26,325,4.4
Baures,2026-09-07 11:00:00,54,0.0,34,26,360,3.7
Baures,2026-09-07 11:00:00,57,0.0,29,37,30,2.9
Baures,2026-09-07 11:00:00,60,0.0,25,36,30,2.7
Baures,2026-09-07 11:00:00,63,0.0,21,36,30,2.4
Baures,2026-09-07 11:00:00,66,0.0,21,37,6,2.8
Baures,2026-09-07 11:00:00,69,0.0,26,37,350,3.9
Baures,2026-09-07 11:00:00,72,0.0,31,36,340,4.4
Baures,2026-09-07 11:00:00,75,0.0,34,56,320,5.0
Baures,2026-09-07 11:00:00,78,0.0,34,56,350,4.5
