estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Anzaldo,2026-07-27 09:00:00,5,0.0,25,37,334,5.7
Anzaldo,2026-07-27 09:00:00,8,0.0,25,37,352,4.8
Anzaldo,2026-07-27 09:00:00,11,0.0,14,26,5,3.8
Anzaldo,2026-07-27 09:00:00,14,0.0,8,27,1,4.0
Anzaldo,2026-07-27 09:00:00,17,0.0,2,26,351,4.2
Anzaldo,2026-07-27 09:00:00,20,0.0,2,26,1,3.7
Anzaldo,2026-07-27 09:00:00,23,0.0,10,26,352,3.5
Anzaldo,2026-07-27 09:00:00,26,0.0,15,26,335,4.2
Anzaldo,2026-07-27 09:00:00,29,0.0,26,36,313,4.8
Anzaldo,2026-07-27 09:00:00,32,0.0,26,36,353,4.0
Anzaldo,2026-07-27 09:00:00,35,0.0,15,27,28,3.1
Anzaldo,2026-07-27 09:00:00,38,0.0,7,27,13,3.3
Anzaldo,2026-07-27 09:00:00,41,0.0,2,25,356,3.6
Anzaldo,2026-07-27 09:00:00,44,0.0,2,26,1,2.6
Anzaldo,2026-07-27 09:00:00,47,0.0,10,26,356,2.4
Anzaldo,2026-07-27 09:00:00,50,0.0,15,26,303,2.6
Anzaldo,2026-07-27 09:00:00,53,0.0,26,26,247,2.8
Anzaldo,2026-07-27 09:00:00,56,0.0,26,26,320,2.7
Anzaldo,2026-07-27 09:00:00,59,0.0,16,26,31,2.5
Anzaldo,2026-07-27 09:00:00,62,0.0,10,26,59,1.6
Anzaldo,2026-07-27 09:00:00,65,0.0,1,36,82,0.7
Anzaldo,2026-07-27 09:00:00,68,0.0,2,36,350,1.1
Anzaldo,2026-07-27 09:00:00,71,0.0,9,36,2,1.4
Anzaldo,2026-07-27 09:00:00,74,0.0,14,36,308,2.1
Anzaldo,2026-07-27 09:00:00,77,0.0,25,36,247,2.9
Anzaldo,2026-07-27 09:00:00,80,0.0,25,35,320,2.5
Anzaldo,2026-07-27 09:00:00,83,0.0,11,36,31,2.0
Anzaldo,2026-07-27 09:00:00,86,0.0,2,36,23,2.3
Anzaldo,2026-07-27 09:00:00,89,0.0,2,36,11,2.5
Anzaldo,2026-07-27 09:00:00,92,0.0,9,36,353,3.0
Anzaldo,2026-07-27 09:00:00,95,0.0,9,36,343,3.4
Anzaldo,2026-07-27 09:00:00,98,0.0,14,37,340,4.3
Anzaldo,2026-07-27 09:00:00,101,0.0,20,56,334,5.3
Anzaldo,2026-07-27 09:00:00,104,0.0,15,56,352,4.5
Anzaldo,2026-07-27 09:00:00,107,0.0,11,35,6,3.6
Anzaldo,2026-07-27 09:00:00,110,0.0,10,36,6,3.6
Anzaldo,2026-07-27 09:00:00,113,0.0,9,36,1,3.5
Apolo Chupiluzani,2026-07-27 09:00:00,5,0.0,27,36,359,2.8
Apolo Chupiluzani,2026-07-27 09:00:00,8,0.0,27,35,8,2.1
Apolo Chupiluzani,2026-07-27 09:00:00,11,0.0,22,36,8,1.5
Apolo Chupiluzani,2026-07-27 09:00:00,14,0.0,19,37,358,1.6
Apolo Chupiluzani,2026-07-27 09:00:00,17,0.0,17,37,345,1.6
Apolo Chupiluzani,2026-07-27 09:00:00,20,0.0,17,36,339,1.3
Apolo Chupiluzani,2026-07-27 09:00:00,23,0.0,20,36,323,1.1
Apolo Chupiluzani,2026-07-27 09:00:00,26,0.0,24,36,349,2.4
Apolo Chupiluzani,2026-07-27 09:00:00,29,0.0,27,56,9,3.6
Apolo Chupiluzani,2026-07-27 09:00:00,32,0.0,27,56,359,2.6
Apolo Chupiluzani,2026-07-27 09:00:00,35,0.0,23,35,348,1.6
Apolo Chupiluzani,2026-07-27 09:00:00,38,0.0,20,36,348,1.4
Apolo Chupiluzani,2026-07-27 09:00:00,41,0.0,17,36,338,1.2
Apolo Chupiluzani,2026-07-27 09:00:00,44,0.0,17,35,332,1.2
Apolo Chupiluzani,2026-07-27 09:00:00,47,0.0,20,36,322,1.0
Apolo Chupiluzani,2026-07-27 09:00:00,50,0.0,23,36,353,1.9
Apolo Chupiluzani,2026-07-27 09:00:00,53,0.0,26,55,20,2.7
Apolo Chupiluzani,2026-07-27 09:00:00,56,0.0,26,56,9,2.0
Apolo Chupiluzani,2026-07-27 09:00:00,59,0.0,23,37,348,1.3
Apolo Chupiluzani,2026-07-27 09:00:00,62,0.0,20,36,348,1.3
Apolo Chupiluzani,2026-07-27 09:00:00,65,0.0,17,36,344,1.2
Apolo Chupiluzani,2026-07-27 09:00:00,68,0.0,17,36,335,0.9
Apolo Chupiluzani,2026-07-27 09:00:00,71,0.0,18,35,319,0.7
Apolo Chupiluzani,2026-07-27 09:00:00,74,0.0,20,37,356,1.7
Apolo Chupiluzani,2026-07-27 09:00:00,77,0.0,25,56,33,2.5
Apolo Chupiluzani,2026-07-27 09:00:00,80,0.0,25,56,18,1.8
Apolo Chupiluzani,2026-07-27 09:00:00,83,0.0,19,56,3,1.0
Apolo Chupiluzani,2026-07-27 09:00:00,86,0.0,17,56,347,1.2
Apolo Chupiluzani,2026-07-27 09:00:00,89,0.0,17,57,331,1.4
Apolo Chupiluzani,2026-07-27 09:00:00,92,0.0,16,56,331,1.2
Apolo Chupiluzani,2026-07-27 09:00:00,95,0.0,16,55,322,1.1
Apolo Chupiluzani,2026-07-27 09:00:00,98,0.0,20,55,352,1.9
Apolo Chupiluzani,2026-07-27 09:00:00,101,0.0,23,56,12,2.7
Apolo Chupiluzani,2026-07-27 09:00:00,104,0.0,19,56,337,2.0
Apolo Chupiluzani,2026-07-27 09:00:00,107,0.0,15,56,301,1.3
Apolo Chupiluzani,2026-07-27 09:00:00,110,0.0,15,56,316,1.2
Apolo Chupiluzani,2026-07-27 09:00:00,113,0.0,14,57,331,1.2
Ascencion de Guarayos,2026-07-27 09:00:00,5,0.0,32,36,320,3.7
Ascencion de Guarayos,2026-07-27 09:00:00,8,0.0,32,36,310,2.4
Ascencion de Guarayos,2026-07-27 09:00:00,11,0.0,26,36,300,1.1
Ascencion de Guarayos,2026-07-27 09:00:00,14,0.0,23,35,330,1.2
Ascencion de Guarayos,2026-07-27 09:00:00,17,0.0,22,26,355,1.4
