estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vi,vientos
Anzaldo,2026-08-10 07:00:00,1,56.0,0.0,8.0,2.8,358.0
Anzaldo,2026-08-10 07:00:00,4,55.0,0.0,12.0,4.8,358.0
Anzaldo,2026-08-10 07:00:00,7,89.0,2.1,19.0,6.7,357.0
Anzaldo,2026-08-10 07:00:00,10,89.0,1.9,19.0,4.5,10.0
Anzaldo,2026-08-10 07:00:00,13,56.0,0.0,17.0,2.3,13.0
Anzaldo,2026-08-10 07:00:00,16,56.0,0.0,11.0,2.0,18.0
Anzaldo,2026-08-10 07:00:00,19,56.0,0.0,5.0,1.6,18.0
Anzaldo,2026-08-10 07:00:00,22,56.0,0.0,5.0,1.7,5.0
Anzaldo,2026-08-10 07:00:00,25,55.0,0.0,9.0,1.6,5.0
Anzaldo,2026-08-10 07:00:00,28,56.0,0.0,13.0,3.5,15.0
Anzaldo,2026-08-10 07:00:00,31,55.0,0.0,22.0,5.5,20.0
Anzaldo,2026-08-10 07:00:00,34,56.0,0.0,22.0,4.5,5.0
Anzaldo,2026-08-10 07:00:00,37,55.0,0.0,16.0,3.4,350.0
Anzaldo,2026-08-10 07:00:00,40,56.0,0.0,9.0,3.2,360.0
Anzaldo,2026-08-10 07:00:00,43,37.0,0.0,5.0,2.8,5.0
Anzaldo,2026-08-10 07:00:00,46,36.0,0.0,5.0,3.4,356.0
Anzaldo,2026-08-10 07:00:00,49,36.0,0.0,8.0,3.5,352.0
Anzaldo,2026-08-10 07:00:00,52,37.0,0.0,12.0,6.0,351.0
Anzaldo,2026-08-10 07:00:00,55,36.0,0.0,25.0,8.5,341.0
Anzaldo,2026-08-10 07:00:00,58,36.0,0.0,25.0,6.1,351.0
Anzaldo,2026-08-10 07:00:00,61,36.0,0.0,18.0,3.7,356.0
Anzaldo,2026-08-10 07:00:00,64,36.0,0.0,12.0,3.4,6.0
Anzaldo,2026-08-10 07:00:00,67,26.0,0.0,4.0,3.2,6.0
Anzaldo,2026-08-10 07:00:00,70,27.0,0.0,4.0,3.0,358.0
Anzaldo,2026-08-10 07:00:00,73,26.0,0.0,9.0,2.6,350.0
Anzaldo,2026-08-10 07:00:00,76,26.0,0.0,12.0,4.8,350.0
Anzaldo,2026-08-10 07:00:00,79,37.0,0.0,25.0,7.0,342.0
Anzaldo,2026-08-10 07:00:00,82,36.0,0.0,25.0,4.6,3.0
Anzaldo,2026-08-10 07:00:00,85,36.0,0.0,10.0,2.1,21.0
Anzaldo,2026-08-10 07:00:00,88,35.0,0.0,4.0,2.1,13.0
Anzaldo,2026-08-10 07:00:00,91,56.0,0.0,4.0,2.2,2.0
Anzaldo,2026-08-10 09:00:00,89,37.0,,,,
Anzaldo,2026-08-10 09:00:00,92,37.0,0.0,8.0,3.0,2.0
Anzaldo,2026-08-10 09:00:00,95,36.0,0.0,9.0,3.4,351.0
Anzaldo,2026-08-10 09:00:00,98,37.0,0.0,13.0,5.3,341.0
Anzaldo,2026-08-10 09:00:00,101,36.0,0.0,17.0,7.1,331.0
Anzaldo,2026-08-10 09:00:00,104,36.0,0.0,14.0,5.1,351.0
Anzaldo,2026-08-10 09:00:00,107,36.0,0.0,10.0,3.1,1.0
Anzaldo,2026-08-10 09:00:00,110,36.0,0.0,9.0,3.3,6.0
Anzaldo,2026-08-10 09:00:00,113,36.0,0.0,8.0,3.3,6.0
Anzaldo,2026-08-10 15:00:00,11,,,8.0,,
Anzaldo,2026-08-10 15:00:00,14,,,8.0,,
Anzaldo,2026-08-10 15:00:00,17,,,12.0,,
Anzaldo,2026-08-10 15:00:00,20,,,16.0,,
Anzaldo,2026-08-10 15:00:00,23,,,21.0,,
Anzaldo,2026-08-10 15:00:00,26,,,21.0,,
Anzaldo,2026-08-10 15:00:00,29,,,17.0,,
Anzaldo,2026-08-10 15:00:00,32,,,13.0,,
Anzaldo,2026-08-10 15:00:00,35,,,9.0,,
Anzaldo,2026-08-10 15:00:00,38,,,9.0,,
Anzaldo,2026-08-10 15:00:00,41,,,12.0,,
Anzaldo,2026-08-10 15:00:00,44,,,16.0,,
Anzaldo,2026-08-10 15:00:00,47,,,23.0,,
Anzaldo,2026-08-10 15:00:00,50,,,23.0,,
Anzaldo,2026-08-10 15:00:00,56,,,14.0,,
Anzaldo,2026-08-10 15:00:00,59,,,9.0,,
Anzaldo,2026-08-10 15:00:00,62,,,9.0,,
Anzaldo,2026-08-10 15:00:00,65,,,13.0,,
Anzaldo,2026-08-10 15:00:00,68,,,18.0,,
Anzaldo,2026-08-10 15:00:00,71,,,24.0,,
Anzaldo,2026-08-10 15:00:00,74,,,23.0,,
Anzaldo,2026-08-10 15:00:00,77,,,18.0,,
Anzaldo,2026-08-10 15:00:00,80,,,13.0,,
Anzaldo,2026-08-10 15:00:00,83,,,8.0,,
Anzaldo,2026-08-10 15:00:00,89,,,13.0,,
