estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vi,vientos
Anzaldo,2026-06-01 12:00:00,2,36.0,0.0,23.0,2.5,219.0
Anzaldo,2026-06-01 12:00:00,5,37.0,0.0,23.0,2.7,163.0
Anzaldo,2026-06-01 12:00:00,8,56.0,0.0,17.0,2.7,101.0
Anzaldo,2026-06-01 12:00:00,11,56.0,0.0,13.0,1.7,104.0
Anzaldo,2026-06-01 12:00:00,14,26.0,0.0,2.0,0.8,103.0
Anzaldo,2026-06-01 12:00:00,17,26.0,0.0,2.0,1.0,51.0
Anzaldo,2026-06-01 12:00:00,20,26.0,0.0,11.0,1.0,11.0
Anzaldo,2026-06-01 12:00:00,23,26.0,0.0,18.0,1.8,298.0
Anzaldo,2026-06-01 12:00:00,26,36.0,0.0,23.0,2.6,223.0
Anzaldo,2026-06-01 12:00:00,29,36.0,0.0,23.0,2.4,158.0
Anzaldo,2026-06-01 12:00:00,32,26.0,0.0,18.0,2.2,83.0
Anzaldo,2026-06-01 12:00:00,35,26.0,0.0,14.0,1.6,41.0
Anzaldo,2026-06-01 12:00:00,38,26.0,0.0,2.0,0.9,350.0
Anzaldo,2026-06-01 12:00:00,41,36.0,0.0,2.0,1.0,54.0
Anzaldo,2026-06-01 12:00:00,44,37.0,0.0,11.0,0.9,1.0
Anzaldo,2026-06-01 12:00:00,47,37.0,0.0,15.0,1.4,293.0
Anzaldo,2026-06-01 12:00:00,50,56.0,0.0,22.0,1.8,221.0
Anzaldo,2026-06-01 12:00:00,53,56.0,0.0,22.0,1.6,53.0
Anzaldo,2026-06-01 12:00:00,56,56.0,0.0,16.0,1.4,41.0
Anzaldo,2026-06-01 12:00:00,59,56.0,0.0,11.0,1.3,21.0
Anzaldo,2026-06-01 12:00:00,62,36.0,0.0,1.0,1.1,1.0
Anzaldo,2026-06-01 12:00:00,65,35.0,0.0,1.0,1.6,8.0
Anzaldo,2026-06-01 12:00:00,68,36.0,0.0,9.0,1.8,1.0
Anzaldo,2026-06-01 12:00:00,71,36.0,0.0,16.0,2.0,291.0
Anzaldo,2026-06-01 12:00:00,74,36.0,0.0,23.0,2.2,221.0
Anzaldo,2026-06-01 12:00:00,77,36.0,0.0,23.0,2.0,159.0
Anzaldo,2026-06-01 12:00:00,80,36.0,0.0,14.0,1.8,91.0
Anzaldo,2026-06-01 12:00:00,83,36.0,0.0,10.0,1.2,51.0
Anzaldo,2026-06-01 12:00:00,86,37.0,0.0,1.0,0.8,11.0
Anzaldo,2026-06-01 12:00:00,89,37.0,0.0,1.0,1.8,352.0
Anzaldo,2026-06-01 12:00:00,92,36.0,0.0,8.0,2.0,352.0
Anzaldo,2026-06-01 12:00:00,95,36.0,0.0,12.0,2.1,308.0
Anzaldo,2026-06-01 12:00:00,98,36.0,0.0,24.0,2.3,257.0
Anzaldo,2026-06-01 12:00:00,101,36.0,0.0,24.0,1.5,320.0
Anzaldo,2026-06-01 12:00:00,104,36.0,0.0,10.0,0.8,21.0
Anzaldo,2026-06-01 12:00:00,107,36.0,0.0,0.0,0.9,71.0
Anzaldo,2026-06-01 12:00:00,110,36.0,0.0,0.0,0.9,114.0
Anzaldo,2026-06-02 15:00:00,11,36.0,,,,
Anzaldo,2026-06-02 15:00:00,17,36.0,,,,
Anzaldo,2026-06-02 15:00:00,20,36.0,,,,
Anzaldo,2026-06-02 15:00:00,23,36.0,,23.0,,
Anzaldo,2026-06-02 15:00:00,26,36.0,,23.0,,
Anzaldo,2026-06-02 15:00:00,29,26.0,,,,
Anzaldo,2026-06-02 15:00:00,32,26.0,,,,
Anzaldo,2026-06-02 15:00:00,35,,,3.0,,
Anzaldo,2026-06-02 15:00:00,38,,,3.0,,
Anzaldo,2026-06-02 15:00:00,53,,,15.0,,
Anzaldo,2026-06-02 15:00:00,56,,,11.0,,
Anzaldo,2026-06-02 15:00:00,59,,,4.0,,
Anzaldo,2026-06-02 15:00:00,62,,,4.0,,
Anzaldo,2026-06-02 15:00:00,68,,,14.0,,
Anzaldo,2026-06-02 15:00:00,71,,,23.0,,
Anzaldo,2026-06-02 15:00:00,74,,,23.0,,
Anzaldo,2026-06-02 15:00:00,77,,,15.0,,
Anzaldo,2026-06-02 15:00:00,80,,,8.0,,
Anzaldo,2026-06-02 15:00:00,83,26.0,,4.0,,
Anzaldo,2026-06-02 15:00:00,86,26.0,0.0,4.0,1.4,351.0
Anzaldo,2026-06-02 15:00:00,89,26.0,0.0,8.0,2.0,353.0
Anzaldo,2026-06-02 15:00:00,92,26.0,0.0,12.0,2.5,323.0
Anzaldo,2026-06-02 15:00:00,95,36.0,0.0,24.0,2.8,287.0
Anzaldo,2026-06-02 15:00:00,98,36.0,0.0,24.0,2.2,325.0
Anzaldo,2026-06-02 15:00:00,101,36.0,0.0,10.0,1.5,356.0
Anzaldo,2026-06-02 15:00:00,104,36.0,0.0,5.0,1.8,356.0
Anzaldo,2026-06-02 15:00:00,107,37.0,0.0,5.0,2.0,354.0
Anzaldo,2026-06-03 11:00:00,15,56.0,,,,
Anzaldo,2026-06-03 11:00:00,18,56.0,,,,
Anzaldo,2026-06-03 11:00:00,21,56.0,,,,
Anzaldo,2026-06-03 11:00:00,24,56.0,,,,
Anzaldo,2026-06-03 11:00:00,87,36.0,,,,
Anzaldo,2026-06-03 11:00:00,90,36.0,0.0,8.0,2.2,351.0
Anzaldo,2026-06-03 11:00:00,93,37.0,0.0,9.0,2.5,351.0
Anzaldo,2026-06-03 11:00:00,96,36.0,0.0,13.0,3.2,323.0
Anzaldo,2026-06-03 11:00:00,99,56.0,0.0,16.0,3.8,293.0
Anzaldo,2026-06-03 11:00:00,102,56.0,0.0,13.0,2.5,353.0
Anzaldo,2026-06-03 11:00:00,105,36.0,0.0,9.0,1.1,46.0
Anzaldo,2026-06-03 11:00:00,108,36.0,0.0,8.0,1.1,36.0
Anzaldo,2026-06-03 11:00:00,111,36.0,0.0,6.0,1.1,24.0
Anzaldo,2026-06-03 16:00:00,10,,,6.0,,
Anzaldo,2026-06-03 16:00:00,13,,,6.0,,
Anzaldo,2026-06-03 16:00:00,79,,,7.0,,
Anzaldo,2026-06-03 16:00:00,85,,,5.0,,
Anzaldo,2026-06-03 16:00:00,94,,,23.0,,
Anzaldo,2026-06-03 16:00:00,97,,,23.0,,
Anzaldo,2026-06-03 16:00:00,106,,,5.0,,
Anzaldo,2026-06-04 09:00:00,17,26.0,,,,
Anzaldo,2026-06-04 09:00:00,20,26.0,,,,
Anzaldo,2026-06-04 09:00:00,23,26.0,,,,
Anzaldo,2026-06-04 09:00:00,26,26.0,,,,
Anzaldo,2026-06-04 09:00:00,29,26.0,,,,
Anzaldo,2026-06-04 09:00:00,32,26.0,,,,
Anzaldo,2026-06-04 09:00:00,35,25.0,,,,
Anzaldo,2026-06-04 09:00:00,38,26.0,,,,
Anzaldo,2026-06-04 09:00:00,89,37.0,,,,
Anzaldo,2026-06-04 09:00:00,92,37.0,0.0,7.0,0.8,207.0
Anzaldo,2026-06-04 09:00:00,95,35.0,0.0,7.0,1.0,338.0
Anzaldo,2026-06-04 09:00:00,98,36.0,0.0,11.0,2.0,318.0
