estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Anzaldo,2026-05-18 10:00:00,1,0.0,11,56,339,2.3
Anzaldo,2026-05-18 10:00:00,4,0.0,16,56,317,3.1
Anzaldo,2026-05-18 10:00:00,7,0.0,16,56,264,2.2
Anzaldo,2026-05-18 10:00:00,10,0.0,11,57,211,1.2
Anzaldo,2026-05-18 10:00:00,13,0.0,5,56,279,2.0
Anzaldo,2026-05-18 10:00:00,16,0.0,1,56,346,2.7
Anzaldo,2026-05-18 10:00:00,19,0.0,1,56,341,2.1
Anzaldo,2026-05-18 10:00:00,22,0.0,9,56,341,2.3
Anzaldo,2026-05-18 10:00:00,25,0.0,13,56,335,3.0
Anzaldo,2026-05-18 10:00:00,28,0.0,17,36,327,3.7
Anzaldo,2026-05-18 10:00:00,31,0.0,17,36,23,2.8
Anzaldo,2026-05-18 10:00:00,34,0.0,12,56,71,1.9
Anzaldo,2026-05-18 10:00:00,37,0.0,6,56,101,1.7
Anzaldo,2026-05-18 10:00:00,40,0.0,2,26,131,1.6
Anzaldo,2026-05-18 10:00:00,43,0.0,2,26,342,0.7
Anzaldo,2026-05-18 10:00:00,46,0.0,6,26,342,0.8
Anzaldo,2026-05-18 10:00:00,49,0.0,11,26,272,1.9
Anzaldo,2026-05-18 10:00:00,52,0.0,16,36,198,2.8
Anzaldo,2026-05-18 10:00:00,55,0.0,16,36,153,2.4
Anzaldo,2026-05-18 10:00:00,58,0.0,9,36,102,1.9
Anzaldo,2026-05-18 10:00:00,61,0.0,3,36,43,1.9
Anzaldo,2026-05-18 10:00:00,64,0.0,1,36,343,1.9
Anzaldo,2026-05-18 10:00:00,67,0.0,1,36,334,1.3
Anzaldo,2026-05-18 10:00:00,70,0.0,6,36,360,1.6
Anzaldo,2026-05-18 10:00:00,73,0.0,11,36,340,2.0
Anzaldo,2026-05-18 10:00:00,76,0.0,15,36,317,2.4
Anzaldo,2026-05-18 10:00:00,79,0.0,16,36,324,1.8
Anzaldo,2026-05-18 10:00:00,82,0.0,10,36,332,1.3
Anzaldo,2026-05-18 10:00:00,85,0.0,8,36,344,1.5
Anzaldo,2026-05-18 10:00:00,88,0.0,1,36,350,1.6
Anzaldo,2026-05-18 10:00:00,1,0.0,11,56,339,2.3
Anzaldo,2026-05-18 10:00:00,4,0.0,16,56,317,3.1
Anzaldo,2026-05-18 10:00:00,7,0.0,16,56,264,2.2
Anzaldo,2026-05-18 10:00:00,10,0.0,11,57,211,1.2
Anzaldo,2026-05-18 10:00:00,13,0.0,5,56,279,2.0
Anzaldo,2026-05-18 10:00:00,16,0.0,1,56,346,2.7
Anzaldo,2026-05-18 10:00:00,19,0.0,1,56,341,2.1
Anzaldo,2026-05-18 10:00:00,22,0.0,9,56,341,2.3
Anzaldo,2026-05-18 10:00:00,25,0.0,13,56,335,3.0
Anzaldo,2026-05-18 10:00:00,28,0.0,17,36,327,3.7
Anzaldo,2026-05-18 10:00:00,31,0.0,17,36,23,2.8
Anzaldo,2026-05-18 10:00:00,34,0.0,12,56,71,1.9
Anzaldo,2026-05-18 10:00:00,37,0.0,6,56,101,1.7
Anzaldo,2026-05-18 10:00:00,40,0.0,2,26,131,1.6
Anzaldo,2026-05-18 10:00:00,43,0.0,2,26,342,0.7
Anzaldo,2026-05-18 10:00:00,46,0.0,6,26,342,0.8
Anzaldo,2026-05-18 10:00:00,49,0.0,11,26,272,1.9
Anzaldo,2026-05-18 10:00:00,52,0.0,16,36,198,2.8
Anzaldo,2026-05-18 10:00:00,55,0.0,16,36,153,2.4
Anzaldo,2026-05-18 10:00:00,58,0.0,9,36,102,1.9
Anzaldo,2026-05-18 10:00:00,61,0.0,3,36,43,1.9
Anzaldo,2026-05-18 10:00:00,64,0.0,1,36,343,1.9
Anzaldo,2026-05-18 10:00:00,67,0.0,1,36,334,1.3
Anzaldo,2026-05-18 10:00:00,70,0.0,6,36,360,1.6
Anzaldo,2026-05-18 10:00:00,73,0.0,11,36,340,2.0
Anzaldo,2026-05-18 10:00:00,76,0.0,15,36,317,2.4
Anzaldo,2026-05-18 10:00:00,79,0.0,16,36,324,1.8
Anzaldo,2026-05-18 10:00:00,82,0.0,10,36,332,1.3
Anzaldo,2026-05-18 10:00:00,85,0.0,8,36,344,1.5
Anzaldo,2026-05-18 10:00:00,88,0.0,1,36,350,1.6
Apolo Chupiluzani,2026-05-18 10:00:00,1,1.4,17,83,71,1.3
Apolo Chupiluzani,2026-05-18 10:00:00,4,0.9,18,89,92,1.5
Apolo Chupiluzani,2026-05-18 10:00:00,7,2.8,18,89,140,1.1
Apolo Chupiluzani,2026-05-18 10:00:00,10,1.3,17,89,181,0.9
Apolo Chupiluzani,2026-05-18 10:00:00,13,2.1,15,89,183,0.7
Apolo Chupiluzani,2026-05-18 10:00:00,16,0.0,13,56,184,0.6
Apolo Chupiluzani,2026-05-18 10:00:00,19,0.0,13,56,21,0.6
