fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion
2012-06-01 00:00:00,Arbieto (GPRS),10.0,3.19,13.63,45.5,0.0
2012-06-01 00:00:00,Cochabamba,11.0,3.0,11.0,63.0,
2012-06-01 00:00:00,El Alto,3.0,8.0,1.0,91.0,
2012-06-01 00:00:00,Viru Viru,8.0,6.0,20.0,90.0,
2012-06-01 00:15:00,Arbieto (GPRS),9.0,2.55,13.03,46.15,0.0
2012-06-01 00:30:00,Arbieto (GPRS),14.0,0.91,12.2,46.59,0.0
2012-06-01 00:45:00,Arbieto (GPRS),15.0,0.91,10.8,49.22,0.0
2012-06-01 01:00:00,Abapo (Satelital),12.0,4.1,23.0,76.0,
2012-06-01 01:00:00,Arbieto (GPRS),10.0,0.05,10.84,49.24,0.0
2012-06-01 01:00:00,Azurduy (Satelital),0.0,0.0,14.0,86.0,
2012-06-01 01:00:00,Calacoto LP (Satelital),5.0,0.22,4.0,44.0,
2012-06-01 01:00:00,Capinota (Satelital),5.0,0.49,15.0,50.0,
2012-06-01 01:00:00,Caranavi (Satelital),6.0,0.65,21.0,97.0,
2012-06-01 01:00:00,Entre Rios (Satelital),7.0,1.24,-26.0,100.0,
2012-06-01 01:00:00,Irupana (Satelital),6.0,1.35,16.0,82.0,
2012-06-01 01:00:00,La Violeta (Satelital),2.0,1.08,11.0,62.0,
2012-06-01 01:00:00,Laguna Colorada (Satelital),0.0,0.27,-1.0,19.0,
2012-06-01 01:00:00,Laykacota LP (Satelital),7.0,0.81,9.0,67.0,
2012-06-01 01:00:00,Luribay (Satelital),10.0,1.24,16.0,58.0,
2012-06-01 01:00:00,Oruro (Satelital),9.0,1.78,5.0,,
2012-06-01 01:00:00,Padilla (Satelital),8.0,1.03,14.0,94.0,
2012-06-01 01:00:00,Posta Ãaurenda (Satelital),9.0,4.59,14.0,97.0,
2012-06-01 01:00:00,PotosÃ­ (Satelital),11.0,1.03,8.0,39.0,
2012-06-01 01:00:00,Salinas de Garci M.(Satelital),12.0,0.32,4.0,28.0,
2012-06-01 01:00:00,San Pablo de Lipez (Satelital),5.0,12.41,0.0,18.0,
2012-06-01 01:00:00,San Roque (Satelital),12.0,0.92,12.0,58.0,
