fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion
2000-01-01,Achiri,18.0,18.0,18.0,18.0,18.0
2000-01-01,Aguaraycito,44.0,44.0,44.0,44.0,44.0
2000-01-01,Aiquile,31.0,31.0,31.0,31.0,31.0
2000-01-01,Alto Achachicala,14.0,14.0,14.0,14.0,14.0
2000-01-01,Anzaldo,22.2,22.2,22.2,22.2,22.2
2000-01-01,Apolo Aeropuerto,32.8,32.8,32.8,32.8,32.8
2000-01-01,Arani,28.8,28.8,28.8,28.8,28.8
2000-01-01,AscensiÃ³n de Guarayos Aerop,35.5,35.5,35.5,35.5,35.5
2000-01-01,Ayo Ayo,19.2,19.2,19.2,19.2,19.2
2000-01-01,Azurduy,27.5,27.5,27.5,27.5,27.5
2000-01-01,Bermejo Aeropuerto,44.3,44.3,44.3,44.3,44.3
2000-01-01,Bermejo Aeropuerto (F),44.3,44.3,44.3,44.3,44.3
2000-01-01,CabaÃ±a Forestal Oruro,21.5,21.5,21.5,21.5,21.5
2000-01-01,Calacoto,21.0,21.0,21.0,21.0,21.0
2000-01-01,Calcha Nor Chichas,31.4,31.4,31.4,31.4,31.4
2000-01-01,Camata,30.0,30.0,30.0,30.0,30.0
2000-01-01,Camiri Aeropuerto,37.2,37.2,37.2,37.2,37.2
2000-01-01,Campanario,20.5,20.5,20.5,20.5,20.5
2000-01-01,Capinota,31.2,31.2,31.2,31.2,31.2
2000-01-01,Caquiaviri,22.1,22.1,22.1,22.1,22.1
2000-01-01,Carabuco,17.7,17.7,17.7,17.7,17.7
2000-01-01,Caranavi,36.0,36.0,36.0,36.0,36.0
2000-01-01,Casin,28.0,28.0,28.0,28.0,28.0
2000-01-01,Catacora,14.5,14.5,14.5,14.5,14.5
2000-01-01,CaÃ±as,29.5,29.5,29.5,29.5,29.5
2000-01-01,Ce.Na.Vit.,33.0,33.0,33.0,33.0,33.0
2000-01-01,Challviri,19.8,19.8,19.8,19.8,19.8
2000-01-01,Charahuayto,23.0,23.0,23.0,23.0,23.0
2000-01-01,CharaÃ±a,22.4,22.4,22.4,22.4,22.4
2000-01-01,Chico Chico,22.1,22.1,22.1,22.1,22.1
2000-01-01,Chillca,17.2,17.2,17.2,17.2,17.2
2000-01-01,Chimboco,29.0,29.0,29.0,29.0,29.0
2000-01-01,Chinoli,19.4,19.4,19.4,19.4,19.4
2000-01-01,Chipiriri,39.0,39.0,39.0,39.0,39.0
2000-01-01,Chirapaca,19.2,19.2,19.2,19.2,19.2
2000-01-01,Chocloca,31.0,31.0,31.0,31.0,31.0
2000-01-01,Choquecota,18.5,18.5,18.5,18.5,18.5
2000-01-01,Chorocona,30.0,30.0,30.0,30.0,30.0
2000-01-01,Chulumani,34.5,34.5,34.5,34.5,34.5
2000-01-01,Chuqui Chuqui,37.0,37.0,37.0,37.0,37.0
2000-01-01,ChuquiÃ±a,20.5,20.5,20.5,20.5,20.5
2000-01-01,Cobija Aeropuerto,33.7,33.7,33.7,33.7,33.7
2000-01-01,Cochabamba Aeropuerto,30.0,30.0,30.0,30.0,30.0
2000-01-01,Coimata,31.0,31.0,31.0,31.0,31.0
2000-01-01,Colcha K,22.6,22.6,22.6,22.6,22.6
2000-01-01,Collana,21.0,21.0,21.0,21.0,21.0
2000-01-01,Comarapa,32.0,32.0,32.0,32.0,32.0
2000-01-01,Concepcion,36.0,36.0,36.0,36.0,36.0
2000-01-01,Concepcion Aeropuerto SCZ,36.0,36.0,36.0,36.0,36.0
2000-01-01,Copacabana,16.5,16.5,16.5,16.5,16.5
2000-01-01,Copacati,17.0,17.0,17.0,17.0,17.0
2000-01-01,Copancara,17.0,17.0,17.0,17.0,17.0
2000-01-01,Coripata,30.5,30.5,30.5,30.5,30.5
2000-01-01,Cosapa,19.6,19.6,19.6,19.6,19.6
2000-01-01,Cotagaita Mosoj Llajta,31.5,31.5,31.5,31.5,31.5
2000-01-01,Cotoca,39.2,39.2,39.2,39.2,39.2
2000-01-01,Culpina,25.0,25.0,25.0,25.0,25.0
2000-01-01,El Alto Aeropuerto,19.3,19.3,19.3,19.3,19.3
2000-01-01,El Belen,16.8,16.8,16.8,16.8,16.8
2000-01-01,El Salvador,39.0,39.0,39.0,39.0,39.0
2000-01-01,El Tejar (Tarija),33.0,33.0,33.0,33.0,33.0
2000-01-01,El Villar,31.0,31.0,31.0,31.0,31.0
2000-01-01,Emborozu,39.0,39.0,39.0,39.0,39.0
2000-01-01,Escara,25.2,25.2,25.2,25.2,25.2
2000-01-01,General Saavedra,37.5,37.5,37.5,37.5,37.5
2000-01-01,Guapilo,40.0,40.0,40.0,40.0,40.0
2000-01-01,Guayaramerin Aeropuerto,34.4,34.4,34.4,34.4,34.4
2000-01-01,Hichucota,14.5,14.5,14.5,14.5,14.5
2000-01-01,Huachacalla,21.0,21.0,21.0,21.0,21.0
2000-01-01,Huallamarca,17.5,17.5,17.5,17.5,17.5
2000-01-01,Huaraco,19.5,19.5,19.5,19.5,19.5
2000-01-01,Huarina Cota Cota,16.8,16.8,16.8,16.8,16.8
2000-01-01,Huayrocondo,17.0,17.0,17.0,17.0,17.0
2000-01-01,Incahuasi_CHUQ,25.0,25.0,25.0,25.0,25.0
2000-01-01,Independencia,26.7,26.7,26.7,26.7,26.7
2000-01-01,Independencia (Satelital),27.6,27.6,27.6,27.6,27.6
2000-01-01,Irupana,27.5,27.5,27.5,27.5,27.5
2000-01-01,Isla Del Sol,18.0,18.0,18.0,18.0,18.0
2000-01-01,Itau,41.0,41.0,41.0,41.0,41.0
2000-01-01,Juntas,31.5,31.5,31.5,31.5,31.5
2000-01-01,Koa Koa,28.3,28.3,28.3,28.3,28.3
2000-01-01,La Jota (Chimore),38.9,38.9,38.9,38.9,38.9
2000-01-01,La Merced,34.5,34.5,34.5,34.5,34.5
2000-01-01,La Tamborada,30.0,30.0,30.0,30.0,30.0
2000-01-01,La Torre,34.0,34.0,34.0,34.0,34.0
2000-01-01,La Vertiente,41.0,41.0,41.0,41.0,41.0
2000-01-01,La Violeta,29.0,29.0,29.0,29.0,29.0
2000-01-01,Laboratorio Hidraulica UMSS,29.1,29.1,29.1,29.1,29.1
2000-01-01,Laguna Colorada,18.1,18.1,18.1,18.1,18.1
2000-01-01,Laykacota,22.5,22.5,22.5,22.5,22.5
2000-01-01,Locotal,31.0,31.0,31.0,31.0,31.0
2000-01-01,Luribay,29.0,29.0,29.0,29.0,29.0
2000-01-01,Macha,22.0,22.0,22.0,22.0,22.0
2000-01-01,Macharety,40.0,40.0,40.0,40.0,40.0
2000-01-01,Magdalena Aeropuerto,34.4,34.4,34.4,34.4,34.4
2000-01-01,Minero (Unagro),38.0,38.0,38.0,38.0,38.0
2000-01-01,Misicuni,24.0,24.0,24.0,24.0,24.0
2000-01-01,Mizque,32.0,32.0,32.0,32.0,32.0
2000-01-01,Mojo,27.7,27.7,27.7,27.7,27.7
2000-01-01,Monte Puncu,23.0,23.0,23.0,23.0,23.0
2000-01-01,Monteagudo_El BaÃ±ado,36.1,36.1,36.1,36.1,36.1
2000-01-01,Montero_Muyurina,39.0,39.0,39.0,39.0,39.0
2000-01-01,Muyupampa,35.5,35.5,35.5,35.5,35.5
2000-01-01,Oruro Aeropuerto,22.3,22.3,22.3,22.3,22.3
2000-01-01,Otavi,24.2,24.2,24.2,24.2,24.2
2000-01-01,Padilla,29.0,29.0,29.0,29.0,29.0
2000-01-01,Pairumani,32.0,32.0,32.0,32.0,32.0
2000-01-01,Palca Higueras,35.1,35.1,35.1,35.1,35.1
2000-01-01,Palmar Grande,43.0,43.0,43.0,43.0,43.0
2000-01-01,Pampa Soico,30.3,30.3,30.3,30.3,30.3
2000-01-01,Parotani,33.0,33.0,33.0,33.0,33.0
2000-01-01,Patacamaya,19.0,19.0,19.0,19.0,19.0
2000-01-01,Piso Firme,36.0,36.0,36.0,36.0,36.0
2000-01-01,Poco Poco,34.0,34.0,34.0,34.0,34.0
2000-01-01,Portachuelo,36.1,36.1,36.1,36.1,36.1
2000-01-01,Potosi Aeropuerto,19.0,19.0,19.0,19.0,19.0
2000-01-01,Potosi Los Pinos,21.2,21.2,21.2,21.2,21.2
2000-01-01,PotosÃ­ (Satelital),23.1,23.1,23.1,23.1,23.1
