fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2023-08-01 00:00:00,4 Esquinas (GPRS),,,-9.38,70.35,0.0,
2023-08-01 00:00:00,Aeropueto Copacabana_M (GPRS),16.0,2.99,2.62,65.5,0.0,648.9
2023-08-01 00:00:00,Aguadas (GPRS),,,-5.81,54.3,0.0,
2023-08-01 00:00:00,Aiquile (GPRS),11.0,0.61,6.44,72.97,0.0,966.0
2023-08-01 00:00:00,Alto PeÃ±as (GPRS),6.0,0.51,0.23,31.14,0.0,631.3
2023-08-01 00:00:00,Anzaldo_M (GPRS),270.0,0.0,1.38,64.47,0.0,713.77
2023-08-01 00:00:00,Apolo_M (GPRS),15.0,5.47,15.09,90.34,0.0,856.48
2023-08-01 00:00:00,Aroma (GPRS),6.0,0.0,-2.73,15.9,0.0,657.4
2023-08-01 00:00:00,Bulo Bulo_M (GPRS),12.0,0.32,18.31,99.87,0.0,988.34
2023-08-01 00:00:00,Camargo_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Camargo_M (GPRS),2.0,3.17,11.14,18.24,0.0,768.39
2023-08-01 00:00:00,Caranavi_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Carura_M (GPRS),4.0,0.49,18.21,97.49,0.0,959.64
2023-08-01 00:00:00,Chua Cocani_M (GPRS),16.0,0.98,-1.09,82.7,0.0,647.9
2023-08-01 00:00:00,Cochabamba,0.0,0.0,10.0,31.7,,756.0
2023-08-01 00:00:00,Coroico_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Cota Cota Baja_M (GPRS),16.0,2.14,-3.97,75.46,0.0,648.8
2023-08-01 00:00:00,Cotagaita (GPRS),5.0,0.27,-2.58,32.19,0.0,749.64
2023-08-01 00:00:00,Cotagaita_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Covendo_M (GPRS),5.0,0.85,18.12,100.0,0.0,960.0
2023-08-01 00:00:00,Cuatro CaÃ±adas - CEA-2 (GPRS),2.0,1.7,20.39,89.8,0.0,987.0
2023-08-01 00:00:00,Desaguadero_M,16.0,1.83,-3.3,65.22,0.0,650.0
2023-08-01 00:00:00,El Alto,17.0,2.0,1.0,26.7,,634.3
2023-08-01 00:00:00,El Puente_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Guanay_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Huacata_M (GPRS),1.0,2.79,9.96,35.97,0.0,731.5
2023-08-01 00:00:00,Huancane Corapata_M (GPRS),16.0,1.94,-5.58,40.07,0.0,643.3
2023-08-01 00:00:00,Huarisuyo (GPRS),1.0,2.99,-8.69,59.3,0.0,647.3
2023-08-01 00:00:00,Incapampa - Coroico_M (GPRS),9.0,1.38,14.83,82.3,0.0,819.48
2023-08-01 00:00:00,Isla Suriqui_M (GPRS),16.0,0.54,0.54,72.86,0.0,649.5
2023-08-01 00:00:00,Ixiamas_M (GPRS),10.0,3.82,18.65,99.3,0.0,984.68
2023-08-01 00:00:00,JesÃºs de Machaca_M (GPRS),16.0,2.71,-9.5,54.76,0.0,648.6
2023-08-01 00:00:00,La Asunta_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Linkupata_M (GPRS),16.0,1.64,3.33,39.51,0.0,633.5
2023-08-01 00:00:00,Mecapaca_M (GPRS),1.0,2.99,6.52,85.22,0.0,731.28
2023-08-01 00:00:00,Mizque - SDC (GPRS),11.0,0.37,3.91,80.6,0.0,804.0
2023-08-01 00:00:00,Palos Blancos_M (GPRS),9.0,0.49,18.55,100.0,0.0,970.42
2023-08-01 00:00:00,PampasAzurduy_EM (SAT),14.0,1.05,-1.42,92.2,0.0,764.8
2023-08-01 00:00:00,Paniagua_M (GPRS),13.0,7.08,16.9,90.34,0.0,898.6
2023-08-01 00:00:00,Parotani - Sipe Sipe (GPRS),14.0,0.24,7.62,35.23,0.0,761.4
2023-08-01 00:00:00,Pico de loro_H- SDC (GPRS),,,,,0.0,
2023-08-01 00:00:00,Pocona - SDC (GPRS),7.0,0.43,-1.07,80.8,0.0,500.8
2023-08-01 00:00:00,Pojo - SDC (GPRS),15.0,4.17,10.79,38.96,0.0,805.0
2023-08-01 00:00:00,Potolo_M (GPRS),16.0,1.2,0.0,0.0,0.0,708.7
2023-08-01 00:00:00,Presa Calderas_M (GPRS),12.0,3.4,9.15,55.22,0.0,789.4
2023-08-01 00:00:00,Presa El Peral_M (GPRS),6.0,4.16,6.32,64.13,0.0,747.1
2023-08-01 00:00:00,Presa Misicuni (GPRS),7.0,0.83,-1.97,66.47,0.0,653.04
2023-08-01 00:00:00,Presa Yana Khakha_M (GPRS),11.0,0.09,3.27,37.69,0.0,712.7
2023-08-01 00:00:00,Puente Cajon_H- SDC (GPRS),,,,,0.0,
2023-08-01 00:00:00,Puente ChiÃ±ata_H- SDC (GPRS),,,,,0.0,
2023-08-01 00:00:00,Puerto Villarroel (GPRS),0.0,0.0,18.8,91.2,0.0,608.8
2023-08-01 00:00:00,Puerto Villarroel_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Putucuni Calientes (GPRS),,,-1.46,38.06,0.0,
2023-08-01 00:00:00,Quila Quila_M (GPRS),7.0,0.56,6.1,45.17,0.0,722.6
2023-08-01 00:00:00,Riberalta_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Rurrenabaque_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Sacacani_M (GPRS),16.0,1.33,-5.93,52.63,0.0,642.2
2023-08-01 00:00:00,Salo_M (GPRS),15.0,6.0,-8.93,39.5,0.0,696.0
2023-08-01 00:00:00,San Andres de Machaca_M (GPRS),16.0,2.13,-0.74,38.97,0.0,641.1
2023-08-01 00:00:00,San Buenaventura_M (GPRS),9.0,9.1,22.7,88.87,0.0,988.19
2023-08-01 00:00:00,San Jacinto_M (GPRS),4.0,0.26,4.11,87.3,0.0,815.0
2023-08-01 00:00:00,San Julian - Comunidad Los Angeles (GPRS),2.0,1.14,20.4,89.1,0.0,989.0
2023-08-01 00:00:00,San Julian - Nucleo 32 (GPRS),2.0,0.71,19.44,96.9,0.0,991.0
2023-08-01 00:00:00,San Pedro - RÃ­o Victoria (GPRS),10.0,1.94,19.24,94.1,0.0,994.0
2023-08-01 00:00:00,San Pedro - San Antonio (GPRS),8.0,0.25,19.82,93.7,0.0,993.0
2023-08-01 00:00:00,San Pedro de Buena Vista (GPRS),0.0,0.0,10.46,32.46,0.0,733.9
2023-08-01 00:00:00,San Pedro de Tiquina_M (GPRS),16.0,1.4,3.23,65.07,0.0,649.9
2023-08-01 00:00:00,San Roque - El Alto (GPRS),0.0,0.0,-2.22,61.89,0.0,636.8
2023-08-01 00:00:00,Sauce Pilata - SDC (GPRS),14.0,2.12,11.78,41.9,0.0,736.7
2023-08-01 00:00:00,Sena_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Sichez_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Sultaca_M (GPRS),14.0,7.07,7.57,15.19,0.0,672.79
2023-08-01 00:00:00,Sunjani (GPRS),,,-4.44,56.12,0.0,
2023-08-01 00:00:00,Tacagua_M (GPRS),2.0,3.52,-0.5,22.44,0.0,655.7
2023-08-01 00:00:00,Templo (GPRS),,,-2.7,26.66,0.0,
2023-08-01 00:00:00,Temporal - SDC (GPRS),2.0,0.5,9.35,23.82,0.0,734.0
2023-08-01 00:00:00,Tiahuanaco_M (GPRS),16.0,0.81,-7.56,62.01,0.0,648.8
2023-08-01 00:00:00,Tiraque_M (GPRS),15.0,0.52,2.44,13.5,0.0,693.7
2023-08-01 00:00:00,Toma Ravelo_H (GPRS),1.0,1.35,-0.92,70.33,0.0,711.1
2023-08-01 00:00:00,Totora i_M (GPRS),10.0,6.25,0.28,27.4,0.0,724.69
2023-08-01 00:00:00,Tupiza_1_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Tupiza_2_H (GPRS),,,,,0.0,
2023-08-01 00:00:00,Vacas - SDC (GPRS),9.0,0.53,0.64,33.69,0.0,676.0
2023-08-01 00:00:00,Viacha_M (GPRS),16.0,1.51,-6.05,65.88,0.0,646.5
2023-08-01 00:00:00,Vila Vila - SDC (GPRS),0.0,1.49,8.47,41.13,0.0,755.3
2023-08-01 00:00:00,Villa Rivero_M (GPRS),7.0,1.77,2.5,40.05,0.0,740.66
2023-08-01 00:00:00,Viru Viru,13.0,5.0,22.0,77.4,,972.2
2023-08-01 00:00:00,Viscachas Chirage (GPRS),,,-1.86,53.72,0.0,
2023-08-01 00:00:00,Vivero Chimboco - SDC (GPRS),3.0,1.02,4.79,30.95,0.0,741.0
2023-08-01 00:00:00,Vivero Viloma - SDC (GPRS),12.0,1.24,7.54,33.63,0.0,746.8
2023-08-01 00:05:00,Presa Misicuni (GPRS),7.0,3.25,-2.1,63.9,0.0,653.05
2023-08-01 00:10:00,4 Esquinas (GPRS),,,-9.29,68.3,0.0,
