fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion
2012-05-01 00:00:00,Abapo (Satelital),12.0,1.08,31.0,88.0,
2012-05-01 00:00:00,Azurduy (Satelital),0.0,0.0,6.0,86.0,
2012-05-01 00:00:00,Calacoto LP (Satelital),5.0,1.19,7.0,35.0,
2012-05-01 00:00:00,Capinota (Satelital),13.0,0.43,17.0,47.0,
2012-05-01 00:00:00,Caranavi (Satelital),12.0,1.08,20.0,94.0,
2012-05-01 00:00:00,Chimeo-Villa Montes (GPRS),15.0,0.12,12.49,83.67,0.0
2012-05-01 00:00:00,Cochabamba,6.0,6.0,13.0,67.0,
2012-05-01 00:00:00,Colcha-K (GPRS),13.0,7.71,1.23,18.07,0.0
2012-05-01 00:00:00,El Alto,4.0,9.0,4.0,99.0,
2012-05-01 00:00:00,Entre Rios (Satelital),2.0,0.43,-26.0,100.0,
2012-05-01 00:00:00,Gutierrez (GPRS),16.0,0.1,7.48,92.04,0.0
2012-05-01 00:00:00,Irupana (Satelital),13.0,0.27,15.0,93.0,
2012-05-01 00:00:00,Kocani (GPRS),6.0,8.72,3.74,13.5,0.0
2012-05-01 00:00:00,La Violeta (Satelital),2.0,0.76,13.0,64.0,
2012-05-01 00:00:00,Laguna Colorada (Satelital),0.0,0.38,4.0,19.0,
2012-05-01 00:00:00,Laykacota LP (Satelital),7.0,0.97,9.0,81.0,
2012-05-01 00:00:00,Luribay (Satelital),11.0,3.35,16.0,64.0,
2012-05-01 00:00:00,Muyupampa (GPRS),8.0,1.98,8.36,100.0,0.0
2012-05-01 00:00:00,Oruro (Satelital),10.0,1.94,10.0,,
2012-05-01 00:00:00,Padilla (Satelital),9.0,0.81,8.0,87.0,
2012-05-01 00:00:00,Posta Ãaurenda (Satelital),0.0,0.0,9.0,95.0,
2012-05-01 00:00:00,PotosÃ­ (Satelital),5.0,0.43,8.0,54.0,
2012-05-01 00:00:00,Salinas de Garci M.(Satelital),4.0,5.34,4.0,31.0,
2012-05-01 00:00:00,San Javier (GPRS),8.0,1.44,17.66,86.65,0.0
2012-05-01 00:00:00,San Pablo de Lipez (Satelital),5.0,6.69,0.0,32.0,
2012-05-01 00:00:00,San Roque (Satelital),4.0,0.59,13.0,37.0,
2012-05-01 00:00:00,Sucre (Satelital),0.0,0.27,11.0,59.0,
2012-05-01 00:00:00,Turco (Satelital),0.0,5.29,6.0,33.0,
2012-05-01 00:00:00,Ulla Ulla (Satelital),0.0,0.0,3.0,94.0,
2012-05-01 00:00:00,Villa Macharety (Satelital),3.0,1.46,11.0,96.0,
2012-05-01 00:00:00,Villazon (Satelital),0.0,0.32,9.0,22.0,
2012-05-01 00:00:00,Viru Viru,8.0,10.0,13.0,87.0,
2012-05-01 00:15:00,Chimeo-Villa Montes (GPRS),11.0,0.05,12.21,83.97,0.0
2012-05-01 00:15:00,Colcha-K (GPRS),13.0,9.29,1.79,16.5,0.0
2012-05-01 00:15:00,Gutierrez (GPRS),16.0,0.1,7.19,92.62,0.0
2012-05-01 00:15:00,Kocani (GPRS),7.0,8.72,3.99,12.79,0.0
2012-05-01 00:15:00,Muyupampa (GPRS),8.0,1.88,8.09,100.0,0.0
2012-05-01 00:15:00,San Javier (GPRS),8.0,1.46,17.61,86.85,0.0
2012-05-01 00:30:00,Chimeo-Villa Montes (GPRS),15.0,0.81,12.13,84.91,0.0
2012-05-01 00:30:00,Colcha-K (GPRS),13.0,8.64,0.97,18.03,0.0
2012-05-01 00:30:00,Gutierrez (GPRS),16.0,0.1,6.85,93.25,0.0
2012-05-01 00:30:00,Kocani (GPRS),7.0,7.9,2.52,14.79,0.0
2012-05-01 00:30:00,Muyupampa (GPRS),11.0,2.14,7.96,100.0,0.0
2012-05-01 00:30:00,San Javier (GPRS),12.0,1.54,17.59,86.25,0.0
2012-05-01 00:45:00,Chimeo-Villa Montes (GPRS),15.0,1.39,12.02,85.16,0.0
2012-05-01 00:45:00,Colcha-K (GPRS),13.0,6.61,0.39,18.65,0.0
2012-05-01 00:45:00,Gutierrez (GPRS),16.0,0.1,6.58,93.66,0.0
2012-05-01 00:45:00,Kocani (GPRS),6.0,9.26,2.58,15.48,0.0
2012-05-01 00:45:00,Muyupampa (GPRS),12.0,1.94,7.72,100.0,0.0
2012-05-01 00:45:00,San Javier (GPRS),7.0,1.48,17.38,86.53,0.0
2012-05-01 01:00:00,Abapo (Satelital),11.0,0.22,29.0,91.0,
2012-05-01 01:00:00,Azurduy (Satelital),0.0,0.0,5.0,90.0,
2012-05-01 01:00:00,Calacoto LP (Satelital),9.0,0.22,7.0,51.0,
2012-05-01 01:00:00,Capinota (Satelital),14.0,0.22,16.0,51.0,
2012-05-01 01:00:00,Caranavi (Satelital),8.0,0.54,19.0,96.0,
2012-05-01 01:00:00,Chimeo-Villa Montes (GPRS),14.0,0.5,11.9,85.79,0.0
2012-05-01 01:00:00,Cochabamba,0.0,0.0,12.0,66.0,
2012-05-01 01:00:00,Colcha-K (GPRS),13.0,6.51,0.18,19.25,0.0
2012-05-01 01:00:00,El Alto,4.0,7.0,3.0,99.0,
2012-05-01 01:00:00,Entre Rios (Satelital),1.0,1.19,-26.0,100.0,
2012-05-01 01:00:00,Gutierrez (GPRS),16.0,0.1,6.36,94.05,0.0
2012-05-01 01:00:00,Irupana (Satelital),12.0,0.43,14.0,95.0,
2012-05-01 01:00:00,Kocani (GPRS),7.0,9.65,2.31,15.86,0.0
2012-05-01 01:00:00,La Violeta (Satelital),6.0,0.76,13.0,64.0,
2012-05-01 01:00:00,Laguna Colorada (Satelital),0.0,0.76,,,
2012-05-01 01:00:00,Laykacota LP (Satelital),8.0,1.73,8.0,86.0,
2012-05-01 01:00:00,Luribay (Satelital),14.0,1.56,15.0,69.0,
2012-05-01 01:00:00,Muyupampa (GPRS),8.0,1.92,7.58,100.0,0.0
2012-05-01 01:00:00,Oruro (Satelital),7.0,0.27,8.0,,
2012-05-01 01:00:00,Padilla (Satelital),4.0,1.08,6.0,92.0,
2012-05-01 01:00:00,Posta Ãaurenda (Satelital),8.0,1.19,8.0,95.0,
2012-05-01 01:00:00,PotosÃ­ (Satelital),7.0,0.27,7.0,59.0,
