fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2024-11-01 00:00:00,Aguadas (GPRS),,,6.37,90.3,0.2,
2024-11-01 00:00:00,Anzaldo_M (GPRS),3.0,7.08,15.19,66.96,0.0,706.45
2024-11-01 00:00:00,Apolo_M (GPRS),15.0,12.77,18.75,88.5,0.0,847.22
2024-11-01 00:00:00,Baures S.(GPRS),0.0,0.0,26.3,86.4,0.0,989.1
2024-11-01 00:00:00,Buena Vista S.(GPRS),13.0,0.3,27.2,80.4,0.0,962.0
2024-11-01 00:00:00,Bulo Bulo_M (GPRS),2.0,3.16,25.24,90.85,0.0,975.37
2024-11-01 00:00:00,Camargo_H (GPRS),,,,,0.0,
2024-11-01 00:00:00,Camargo_M (GPRS),5.0,9.84,20.88,45.45,0.0,758.33
2024-11-01 00:00:00,Caranavi_H (GPRS),,,,,0.0,
2024-11-01 00:00:00,Carura_M (GPRS),15.0,1.22,24.83,95.16,0.0,946.72
2024-11-01 00:00:00,Chua Cocani_M (GPRS),16.0,2.74,8.94,62.98,0.0,643.6
2024-11-01 00:00:00,Coroico_H (GPRS),,,,,0.0,
2024-11-01 00:00:00,Cotagaita (GPRS),5.0,1.38,16.56,58.14,0.0,739.84
2024-11-01 00:00:00,Covendo_M (GPRS),7.0,1.76,24.11,96.96,0.0,946.91
2024-11-01 00:00:00,Cuatro Ca̱adas - CEA-2 (GPRS),1.0,0.91,26.51,76.69,0.0,977.0
2024-11-01 00:00:00,Cuatro Ca̱adas - Colonia Chihuahua (GPRS),16.0,1.3,25.64,87.2,0.0,978.0
2024-11-01 00:00:00,Desaguadero_M,16.0,4.6,6.98,27.2,0.0,645.8
2024-11-01 00:00:00,El Puente_H (GPRS),,,,,0.0,
2024-11-01 00:00:00,Guanay_H (GPRS),,,,,0.0,
2024-11-01 00:00:00,Guayaramerin_M (GPRS),2.0,6.08,27.0,92.09,0.0,990.81
2024-11-01 00:00:00,Huancane Corapata_M (GPRS),16.0,3.27,6.65,45.78,0.0,639.2
2024-11-01 00:00:00,Incapampa - Coroico_M (GPRS),9.0,5.45,17.41,97.62,0.0,811.91
2024-11-01 00:00:00,Isla Suriqui_M (GPRS),16.0,0.38,8.94,39.68,0.0,645.1
2024-11-01 00:00:00,Ixiamas S.(GPRS),12.0,2.52,25.8,86.8,0.0,972.0
2024-11-01 00:00:00,Ixiamas_M (GPRS),2.0,3.04,-18.11,88.73,0.0,973.36
2024-11-01 00:00:00,Jes̼s de Machaca_M (GPRS),16.0,3.98,2.02,44.87,0.0,644.4
2024-11-01 00:00:00,La Asunta_H (GPRS),,,,,0.0,
2024-11-01 00:00:00,Mairana_M (GPRS),2.0,1.84,21.88,77.05,0.0,865.0
2024-11-01 00:00:00,Mecapaca_M (GPRS),4.0,0.25,14.18,97.02,0.0,724.57
2024-11-01 00:00:00,Pailon - Pozo del Tigre (GPRS),16.0,1.91,24.33,91.3,0.0,975.0
2024-11-01 00:00:00,Palos Blancos S.(GPRS),2.0,3.35,25.0,80.3,0.0,948.7
2024-11-01 00:00:00,Palos Blancos_M (GPRS),11.0,1.48,23.38,98.55,0.0,956.46
2024-11-01 00:00:00,PampasAzurduy_EM (SAT),8.0,1.0,13.46,94.5,0.0,758.1
2024-11-01 00:00:00,Paniagua_M (GPRS),12.0,6.48,22.16,88.8,0.0,888.32
2024-11-01 00:00:00,Parotani - Sipe Sipe (GPRS),14.0,0.62,17.19,70.39,0.0,752.6
2024-11-01 00:00:00,Presa Misicuni (GPRS),6.0,2.5,8.06,93.1,0.4,647.48
2024-11-01 00:00:00,Presa aItavicua_EM (SAT),4.0,2.28,24.17,73.12,0.0,501.3
2024-11-01 00:00:00,Puerto Rico S.(GPRS),2.0,0.0,25.1,96.9,0.0,985.9
2024-11-01 00:00:00,Putucuni Calientes (GPRS),,,3.21,84.8,0.2,
2024-11-01 00:00:00,Riberalta_H (GPRS),,,,,0.0,
