fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2025-01-01 00:00:00,4 Esquinas (GPRS),93.2,93.2,6.22,93.2,0.0,93.2
2025-01-01 00:00:00,Aguadas (GPRS),90.9,90.9,7.3,90.9,0.0,90.9
2025-01-01 00:00:00,Aiquile (GPRS),70.11,70.11,17.59,70.11,0.0,70.11
2025-01-01 00:00:00,Alto PeÃ±as (GPRS),96.7,96.7,3.95,96.7,0.0,96.7
2025-01-01 00:00:00,Anzaldo_M (GPRS),68.75,68.75,15.26,68.75,0.0,68.75
2025-01-01 00:00:00,Apolo_M (GPRS),87.07,87.07,19.41,87.07,0.0,87.07
2025-01-01 00:00:00,Baures S.(GPRS),96.4,96.4,25.9,96.4,0.0,96.4
2025-01-01 00:00:00,Buena Vista S.(GPRS),76.8,76.8,26.3,76.8,0.0,76.8
2025-01-01 00:00:00,Bulo Bulo_M (GPRS),98.22,98.22,24.23,98.22,0.0,98.22
2025-01-01 00:00:00,Camargo_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Camargo_M (GPRS),58.74,58.74,18.1,58.74,0.0,58.74
2025-01-01 00:00:00,Caranavi_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Carura_M (GPRS),82.06,82.06,24.84,82.06,0.0,82.06
2025-01-01 00:00:00,Chua Cocani_M (GPRS),63.3,63.3,8.93,63.3,0.0,63.3
2025-01-01 00:00:00,Coroico_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Cota Cota Baja_M (GPRS),86.1,86.1,6.58,86.1,0.0,86.1
2025-01-01 00:00:00,Cotagaita (GPRS),58.5,58.5,16.91,58.5,0.0,58.5
2025-01-01 00:00:00,Cotagaita_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Covendo_M (GPRS),83.85,83.85,25.99,83.85,0.0,83.85
2025-01-01 00:00:00,Cuatro CaÃ±adas - CEA-2 (GPRS),77.8,77.8,27.09,77.8,0.0,77.8
2025-01-01 00:00:00,Cuatro CaÃ±adas - Colonia Chihuahua (GPRS),76.83,76.83,27.68,76.83,0.0,76.83
2025-01-01 00:00:00,Desaguadero_M,60.33,60.33,9.66,60.33,0.0,60.33
2025-01-01 00:00:00,El Puente_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Guanay_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Huacata_M (GPRS),99.8,99.8,12.19,99.8,0.0,99.8
2025-01-01 00:00:00,Huancane Corapata_M (GPRS),91.9,91.9,5.56,91.9,0.0,91.9
2025-01-01 00:00:00,Huarisuyo (GPRS),91.9,91.9,4.96,91.9,0.0,91.9
2025-01-01 00:00:00,Incapampa - Coroico_M (GPRS),92.18,92.18,17.9,92.18,0.0,92.18
2025-01-01 00:00:00,Isla Suriqui_M (GPRS),66.02,66.02,10.18,66.02,0.0,66.02
2025-01-01 00:00:00,Ixiamas S.(GPRS),93.5,93.5,24.5,93.5,0.0,93.5
2025-01-01 00:00:00,Ixiamas_M (GPRS),99.69,99.69,24.84,99.69,0.0,99.69
2025-01-01 00:00:00,JesÃºs de Machaca_M (GPRS),62.69,62.69,9.98,62.69,0.0,62.69
2025-01-01 00:00:00,La Asunta_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Linkupata_M (GPRS),85.5,85.5,7.72,85.5,0.0,85.5
2025-01-01 00:00:00,Mairana_M (GPRS),83.8,83.8,20.72,83.8,0.0,83.8
2025-01-01 00:00:00,Mecapaca_M (GPRS),72.26,72.26,15.82,72.26,0.0,72.26
2025-01-01 00:00:00,Mizque - SDC (GPRS),68.32,68.32,16.85,68.32,0.0,68.32
2025-01-01 00:00:00,Omereque - SDC (GPRS),46.42,46.42,25.71,46.42,0.0,46.42
2025-01-01 00:00:00,Pailon - Pozo del Tigre (GPRS),69.72,69.72,28.85,69.72,0.0,69.72
2025-01-01 00:00:00,Palos Blancos_M (GPRS),99.96,99.96,23.35,99.96,0.0,99.96
2025-01-01 00:00:00,PampasAzurduy_EM (SAT),90.0,90.0,13.98,90.0,0.0,90.0
2025-01-01 00:00:00,Paniagua_M (GPRS),78.71,78.71,22.55,78.71,0.0,78.71
2025-01-01 00:00:00,Parotani - Sipe Sipe (GPRS),47.06,47.06,20.76,47.06,0.0,47.06
2025-01-01 00:00:00,Pocona - SDC (GPRS),67.47,67.47,16.1,67.47,0.0,67.47
2025-01-01 00:00:00,Pojo - SDC (GPRS),70.83,70.83,17.39,70.83,0.0,70.83
2025-01-01 00:00:00,Presa Misicuni (GPRS),90.6,90.6,8.49,90.6,0.0,90.6
2025-01-01 00:00:00,Presa aItavicua_EM (SAT),68.41,68.41,25.61,68.41,0.0,68.41
2025-01-01 00:00:00,Puente Cajon_H- SDC (GPRS),,,,,0.0,
2025-01-01 00:00:00,Puerto Rico S.(GPRS),97.5,97.5,24.9,97.5,0.0,97.5
2025-01-01 00:00:00,Putucuni Calientes (GPRS),89.5,89.5,2.72,89.5,0.0,89.5
2025-01-01 00:00:00,Riberalta_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Rurrenabaque_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Sacacani_M (GPRS),74.62,74.62,5.84,74.62,0.0,74.62
2025-01-01 00:00:00,Salo_M (GPRS),83.57,83.57,8.44,83.57,0.0,83.57
2025-01-01 00:00:00,San Buenaventura_M (GPRS),99.88,99.88,25.04,99.88,0.0,99.88
2025-01-01 00:00:00,San Ignacio S.(GPRS),100.0,100.0,23.9,100.0,0.0,100.0
2025-01-01 00:00:00,San Jacinto_M (GPRS),95.1,95.1,15.94,95.1,0.0,95.1
2025-01-01 00:00:00,San Julian - Comunidad Los Angeles (GPRS),77.33,77.33,27.14,77.33,0.0,77.33
2025-01-01 00:00:00,San Julian - Nucleo 32 (GPRS),84.5,84.5,27.06,84.5,0.0,84.5
2025-01-01 00:00:00,San Pedro - RÃ­o Victoria (GPRS),85.3,85.3,26.08,85.3,0.0,85.3
2025-01-01 00:00:00,San Pedro - San Antonio (GPRS),86.2,86.2,26.29,86.2,0.0,86.2
2025-01-01 00:00:00,San Pedro de Buena Vista (GPRS),66.9,66.9,14.65,66.9,0.0,66.9
2025-01-01 00:00:00,San Pedro de Tiquina_M (GPRS),71.15,71.15,8.94,71.15,0.0,71.15
2025-01-01 00:00:00,San Roque - El Alto (GPRS),88.0,88.0,6.25,88.0,0.0,88.0
2025-01-01 00:00:00,Sauce Pilata - SDC (GPRS),72.85,72.85,13.84,72.85,0.0,72.85
2025-01-01 00:00:00,Sichez_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Sultaca_M (GPRS),88.56,88.56,9.35,88.56,0.0,88.56
2025-01-01 00:00:00,Sunjani (GPRS),96.0,96.0,5.99,96.0,0.0,96.0
2025-01-01 00:00:00,Templo (GPRS),94.5,94.5,3.9,94.5,0.0,94.5
2025-01-01 00:00:00,Temporal - SDC (GPRS),54.36,54.36,16.75,54.36,0.0,54.36
2025-01-01 00:00:00,Tiraque_M (GPRS),71.5,71.5,10.54,71.5,0.0,71.5
2025-01-01 00:00:00,Toma Ravelo_M (GPRS),81.6,81.6,12.18,81.6,0.0,81.6
2025-01-01 00:00:00,Totora Qhocha_M,94.7,94.7,6.12,94.7,0.0,94.7
2025-01-01 00:00:00,Totora i_M (GPRS),81.77,81.77,10.41,81.77,0.0,81.77
2025-01-01 00:00:00,Tupiza_1_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Tupiza_2_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Viacha_M (GPRS),75.84,75.84,6.88,75.84,0.0,75.84
2025-01-01 00:00:00,Vila Vila - SDC (GPRS),62.16,62.16,16.92,62.16,0.0,62.16
2025-01-01 00:00:00,Villa Rivero_M (GPRS),59.63,59.63,16.2,59.63,0.0,59.63
2025-01-01 00:00:00,Villa Tunari_H (GPRS),,,,,0.0,
2025-01-01 00:00:00,Viru Viru,82.8,82.8,26.0,82.8,,82.8
2025-01-01 00:00:00,Viscachas Chirage (GPRS),91.2,91.2,7.87,91.2,0.0,91.2
2025-01-01 00:00:00,Vivero Chimboco - SDC (GPRS),65.33,65.33,15.34,65.33,0.0,65.33
2025-01-01 00:00:00,Vivero Viloma - SDC (GPRS),52.62,52.62,18.77,52.62,0.0,52.62
2025-01-01 00:05:00,Presa Misicuni (GPRS),89.4,89.4,8.61,89.4,0.0,89.4
2025-01-01 00:10:00,4 Esquinas (GPRS),93.7,93.7,6.33,93.7,0.0,93.7
2025-01-01 00:10:00,Aguadas (GPRS),90.9,90.9,7.37,90.9,0.0,90.9
2025-01-01 00:10:00,Presa Misicuni (GPRS),89.7,89.7,8.68,89.7,0.0,89.7
2025-01-01 00:10:00,Putucuni Calientes (GPRS),90.9,90.9,2.76,90.9,0.0,90.9
2025-01-01 00:10:00,Sunjani (GPRS),94.6,94.6,6.51,94.6,0.0,94.6
