fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion
2012-09-01 00:00:00,Arbieto (GPRS),11.0,1.39,11.61,9.21,0.0
2012-09-01 00:00:00,Charagua SC (GPRS),12.0,0.1,28.86,30.2,0.0
2012-09-01 00:00:00,Chimeo-Villa Montes (GPRS),15.0,2.35,26.47,19.71,0.0
2012-09-01 00:00:00,Chimore (GPRS),11.0,0.48,20.64,95.7,0.0
2012-09-01 00:00:00,Cochabamba,0.0,0.0,8.0,23.0,
2012-09-01 00:00:00,Colcha-K (GPRS),12.0,3.0,2.43,9.05,0.0
2012-09-01 00:00:00,El Alto,4.0,5.0,1.0,34.0,
2012-09-01 00:00:00,Guarayos SC (GPRS),7.0,0.12,26.23,47.08,0.0
2012-09-01 00:00:00,Kocani (GPRS),6.0,7.87,5.04,5.3,0.0
2012-09-01 00:00:00,Muyupampa (GPRS),14.0,2.7,23.1,29.74,0.0
2012-09-01 00:00:00,San Javier (GPRS),10.0,1.45,25.12,59.13,0.0
2012-09-01 00:00:00,UrubichÃ¡ (GPRS),9.0,50.26,22.02,78.26,0.0
2012-09-01 00:00:00,Villa Tunari (GPRS),9.0,0.2,21.74,98.39,0.0
2012-09-01 00:00:00,Viru Viru,12.0,8.0,20.0,68.0,
2012-09-01 00:00:00,Yapacani (GPRS),8.0,0.02,20.77,82.34,0.0
2012-09-01 00:15:00,Arbieto (GPRS),12.0,2.76,11.58,9.92,0.0
2012-09-01 00:15:00,Charagua SC (GPRS),12.0,0.1,28.52,31.3,0.0
2012-09-01 00:15:00,Chimeo-Villa Montes (GPRS),14.0,1.06,26.49,19.91,0.0
2012-09-01 00:15:00,Chimore (GPRS),9.0,0.02,20.47,96.63,0.0
2012-09-01 00:15:00,Colcha-K (GPRS),12.0,3.51,2.0,9.05,0.0
2012-09-01 00:15:00,Guarayos SC (GPRS),12.0,0.12,26.6,46.18,0.0
2012-09-01 00:15:00,Kocani (GPRS),6.0,9.15,4.85,5.22,0.0
2012-09-01 00:15:00,Muyupampa (GPRS),15.0,2.76,21.24,33.49,0.0
2012-09-01 00:15:00,San Javier (GPRS),12.0,1.49,24.74,61.08,0.0
2012-09-01 00:15:00,UrubichÃ¡ (GPRS),4.0,50.1,21.7,77.74,0.0
2012-09-01 00:15:00,Villa Tunari (GPRS),5.0,0.37,21.57,99.24,0.0
2012-09-01 00:15:00,Yapacani (GPRS),8.0,0.09,20.29,84.71,0.0
2012-09-01 00:30:00,Arbieto (GPRS),8.0,1.63,11.14,12.19,0.0
2012-09-01 00:30:00,Charagua SC (GPRS),12.0,0.1,28.25,32.11,0.0
2012-09-01 00:30:00,Chimeo-Villa Montes (GPRS),15.0,1.4,26.75,19.7,0.0
2012-09-01 00:30:00,Chimore (GPRS),10.0,0.13,20.5,96.89,0.0
2012-09-01 00:30:00,Colcha-K (GPRS),13.0,2.21,2.07,8.94,0.0
2012-09-01 00:30:00,Guarayos SC (GPRS),13.0,0.12,27.67,43.54,0.0
2012-09-01 00:30:00,Kocani (GPRS),7.0,8.79,4.42,5.26,0.0
2012-09-01 00:30:00,Muyupampa (GPRS),10.0,2.97,19.63,37.87,0.0
2012-09-01 00:30:00,San Javier (GPRS),13.0,1.67,24.22,63.33,0.0
2012-09-01 00:30:00,UrubichÃ¡ (GPRS),7.0,50.28,21.47,80.68,0.0
2012-09-01 00:30:00,Villa Tunari (GPRS),9.0,0.21,21.35,99.96,0.0
2012-09-01 00:30:00,Yapacani (GPRS),8.0,0.02,19.92,88.45,0.0
2012-09-01 00:45:00,Arbieto (GPRS),10.0,2.14,10.95,14.09,0.0
2012-09-01 00:45:00,Charagua SC (GPRS),11.0,0.1,28.1,33.48,0.0
2012-09-01 00:45:00,Chimeo-Villa Montes (GPRS),15.0,1.93,26.62,19.75,0.0
2012-09-01 00:45:00,Chimore (GPRS),11.0,0.38,20.42,96.38,0.0
2012-09-01 00:45:00,Colcha-K (GPRS),10.0,2.4,2.01,9.13,0.0
2012-09-01 00:45:00,Guarayos SC (GPRS),13.0,0.12,27.62,43.97,0.0
2012-09-01 00:45:00,Kocani (GPRS),5.0,7.12,3.85,5.6,0.0
2012-09-01 00:45:00,Muyupampa (GPRS),12.0,2.62,18.41,41.27,0.0
2012-09-01 00:45:00,San Javier (GPRS),15.0,1.6,23.96,65.78,0.0
2012-09-01 00:45:00,UrubichÃ¡ (GPRS),5.0,50.8,21.59,78.9,0.0
2012-09-01 00:45:00,Villa Tunari (GPRS),4.0,0.66,21.11,99.92,0.0
2012-09-01 00:45:00,Yapacani (GPRS),8.0,0.02,19.72,90.0,0.0
2012-09-01 01:00:00,Arbieto (GPRS),9.0,1.81,8.91,15.2,0.0
2012-09-01 01:00:00,Charagua SC (GPRS),7.0,0.1,26.84,36.39,0.0
2012-09-01 01:00:00,Chimeo-Villa Montes (GPRS),14.0,1.49,26.45,20.37,0.0
2012-09-01 01:00:00,Chimore (GPRS),11.0,0.5,20.51,95.27,0.0
2012-09-01 01:00:00,Cochabamba,0.0,0.0,6.0,30.0,
2012-09-01 01:00:00,Colcha-K (GPRS),12.0,3.97,1.42,10.17,0.0
2012-09-01 01:00:00,El Alto,4.0,7.0,1.0,43.0,
2012-09-01 01:00:00,Guarayos SC (GPRS),13.0,0.12,23.5,60.4,0.0
2012-09-01 01:00:00,Kocani (GPRS),6.0,7.28,2.91,5.94,0.0
