fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1989-01-01,Magdalena Aeropuerto,31.5,20.8,,,8.4
1989-01-01,Trinidad Aeropuerto,32.0,24.0,85.0,85.0,
1989-01-01,Rurrenabaque Aeropuerto,32.4,22.0,,,28.0
1989-01-01,San Borja Aeropuerto,32.5,22.0,,,19.6
1989-01-01,Calderillas,,,,,15.0
1989-01-01,Presto,,,,,8.2
1989-01-01,Punilla,,,,,6.2
1989-01-01,Redencion Pampa,20.0,13.0,91.0,68.0,5.0
1989-01-01,San Lucas,19.0,6.0,91.0,61.0,
1989-01-01,San Roque CHQ,,,,,20.9
1989-01-01,Santa Elena,,,,,4.0
1989-01-01,Talula_Tako Tako,22.0,10.0,,,13.5
1989-01-01,Taperillas,,,,,2.0
1989-01-01,Tarabuco,20.0,6.0,94.0,68.0,
1989-01-01,Tomina,,,,,4.2
1989-01-01,Urriolagoytia,,,,,7.2
1989-01-01,Villa Abecia,,,,,3.0
1989-01-01,Villa Alcala,,,,,8.0
1989-01-01,Villa Serrano,20.0,13.5,,,3.5
1989-01-01,Viña Quemada,,,,,14.2
1989-01-01,Yotala,24.0,10.9,89.0,63.0,6.3
1989-01-01,Zudañez,22.3,11.5,95.0,57.0,11.0
1989-01-01,Achiri,,,,,6.4
1989-01-01,Copacabana,12.0,3.2,76.0,73.0,5.5
1989-01-01,Calacoto,19.0,4.5,88.0,53.0,20.0
1989-01-01,Coripata,22.0,15.0,97.0,75.0,6.0
1989-01-01,Collana,13.0,4.0,,,10.5
1989-01-01,Camata,27.0,17.0,,,22.3
1989-01-01,Copacati,16.0,5.0,91.0,72.0,9.0
1989-01-01,Chulumani,23.0,15.0,,,23.5
1989-01-01,Chorocona,21.0,7.5,,,9.7
1989-01-01,Chuma,,,,,4.0
1989-01-01,Huarina Cota Cota,,4.4,76.0,62.0,8.2
1989-01-01,Hichucota,12.5,1.0,82.0,68.0,
1989-01-01,Irupana,22.5,14.5,,,6.0
1989-01-01,Luribay,26.0,,71.0,37.0,4.8
1989-01-01,Ovejuyo,,,,,23.6
1989-01-01,Puerto Acosta,,,,,2.3
1989-01-01,Santiago de Machaca,18.0,4.0,79.0,47.0,4.5
1989-01-01,Sapecho,,,,,19.0
1989-01-01,Santiago de Huata,17.0,5.0,,,17.2
1989-01-01,San Juan Huancollo,,,,,5.0
1989-01-01,San Calixto,,,,,7.9
1989-01-01,Actara,,,,,4.2
1989-01-01,Ampa Ampa,,,,,3.2
1989-01-01,Charaja,,,,,3.1
1989-01-01,Alto Lima,,,,,8.4
1989-01-01,Antaquilla,,,,,2.3
1989-01-01,Ancohoma,,,,,23.0
1989-01-01,Achocalla,,,,,10.7
1989-01-01,Ancoraimes,,,,,8.0
1989-01-01,Berenguela,,,,,2.1
1989-01-01,Batallas,,,,,5.4
1989-01-01,Mina Bolsa Negra,,,,,7.1
1989-01-01,Corpaputo,,,,,2.1
1989-01-01,Calamarca,,,,,15.0
1989-01-01,Caracato,,,,,13.0
1989-01-01,Conchamarca,,,,,2.1
1989-01-01,Chuquiaguillo_LP,,,,,0.5
1989-01-01,El Tejar (La Paz),,,,,8.0
1989-01-01,Italaque,,,,,14.4
1989-01-01,Inquisivi,,,,,10.3
1989-01-01,Jihuacuta,,,,,8.7
1989-01-01,Lambate,,,,,8.1
1989-01-01,Mecapaca,,,,,8.1
