fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1950-01-01,Trinidad Aeropuerto,,,72.0,72.0,
1950-01-01,San Borja Aeropuerto,,,,,17.0
1950-01-01,Charaña,19.0,-1.7,35.0,35.0,
1950-01-01,Redencion Pampa,26.0,15.0,,,
1950-01-01,Tarabuco,18.3,7.8,,,
1950-01-01,Yotala,27.0,10.0,,,5.0
1950-01-01,Apolo SENAMHI,24.0,16.0,,,5.0
1950-01-01,Copacabana,,,,,14.0
1950-01-01,San Calixto,,,,,3.5
1950-01-01,Concepcion Aeropuerto SCZ,30.0,20.4,,,21.0
1950-01-01,Yacuiba Aeropuerto,,,,,2.5
1950-01-01,Aiquile,,,,,9.0
1950-01-01,Anzaldo,26.0,7.0,,,
1950-01-01,Totora_CBBA,20.0,13.0,,,
1950-01-01,Padcaya,17.0,7.0,,,5.0
1950-01-01,Mairana,28.9,13.3,,,
1950-01-01,Puerto Suarez Aeropuerto,34.0,21.0,,,
1950-01-01,San Ignacio de Velasco Aerop,,16.7,,,
1950-01-01,Mizque,31.0,12.0,,,
1950-01-01,Morochata,21.0,,,,35.0
1950-01-01,Tiquina,,,,,17.0
1950-01-01,Sucre SENAMHI,20.3,10.6,94.0,39.0,20.3
1950-01-01,Turuchipa,13.0,10.0,,,
1950-01-01,San Jose de Pampa Grande,24.0,6.0,,,
1950-01-01,Sacaba,21.0,14.0,,,60.0
1950-01-01,Trompillo Aeropuerto,31.2,20.0,,,
1950-01-01,Puerto Camacho_SC,32.2,21.7,,,
1950-01-01,La Angostura,28.0,11.0,,,
1950-01-01,Apolo Aeropuerto,,,,,1.0
1950-01-01,San Jose de Chiquitos Aerop,32.8,21.9,,,
1950-01-01,Oruro Aeropuerto,17.0,2.0,,,15.0
1950-01-01,Potosi Los Pinos,18.0,,,,15.0
1950-01-01,Mojo,24.0,3.0,,,25.0
1950-01-01,Yocalla,13.0,8.0,,,8.0
1950-01-01,El Alto Aeropuerto,,1.6,77.0,77.0,10.9
1950-01-01,Cochabamba Aeropuerto,26.4,12.4,,,
1950-01-01,Salinas G. De Mendoza,20.0,5.56,,,7.0
1950-01-01,Tupiza,30.0,9.0,80.0,51.0,
1950-01-01,Guayaramerin Aeropuerto,33.2,,86.0,86.0,
1950-01-02,Trinidad Aeropuerto,,,83.0,83.0,14.0
1950-01-02,Rurrenabaque Aeropuerto,,,,,8.0
1950-01-02,Charaña,15.4,1.0,32.0,32.0,
1950-01-02,Padilla,,,,,12.4
1950-01-02,Redencion Pampa,24.0,13.0,,,60.0
1950-01-02,Tarabuco,20.6,6.7,,,9.0
1950-01-02,Yotala,28.0,9.5,,,
1950-01-02,Apolo SENAMHI,23.0,16.0,,,
1950-01-02,Copacabana,,,,,3.0
1950-01-02,San Calixto,,,,,6.0
1950-01-02,Sica Sica,,,,,2.0
1950-01-02,Ascensión de Guarayos Aerop,,,,,25.0
1950-01-02,Concepcion Aeropuerto SCZ,29.0,19.0,,,8.0
1950-01-02,Aiquile,,,,,10.0
1950-01-02,Anzaldo,25.0,7.0,,,
1950-01-02,Capinota,,,,,5.5
1950-01-02,Totora_CBBA,22.0,13.0,,,12.0
1950-01-02,Covendo,,,,,5.2
1950-01-02,Padcaya,15.0,6.0,,,
1950-01-02,Mairana,28.9,17.8,,,
1950-01-02,Puerto Suarez Aeropuerto,35.2,21.3,,,
1950-01-02,Roboré Aeropuerto,,,,,6.0
1950-01-02,San Ignacio de Velasco Aerop,,16.0,,,
1950-01-02,San Javier Aeropuerto,,,,,9.7
1950-01-02,Vallegrande Aeropuerto,,,80.0,80.0,
1950-01-02,Mizque,32.0,11.0,,,
1950-01-02,Morochata,22.0,,,,38.0
1950-01-02,Tiquina,,,,,4.0
1950-01-02,Sucre SENAMHI,20.4,8.4,81.0,53.0,3.7
1950-01-02,Turuchipa,19.0,15.0,,,
1950-01-02,San Jose de Pampa Grande,25.0,6.0,,,
1950-01-02,Angostura_sc,,,,,20.0
1950-01-02,Sacaba,21.0,14.0,,,4.0
1950-01-02,Guaqui,12.0,,,,6.0
1950-01-02,Trompillo Aeropuerto,28.6,20.1,,,56.1
1950-01-02,Puerto Camacho_SC,36.7,20.0,,,
1950-01-02,La Angostura,26.0,11.0,,,5.5
1950-01-02,Apolo Aeropuerto,,,,,2.0
1950-01-02,San Jose de Chiquitos Aerop,30.3,21.2,,,4.0
1950-01-02,Oruro Aeropuerto,19.3,1.0,,,
1950-01-02,Potosi Los Pinos,16.0,,80.0,63.0,3.0
1950-01-02,Mojo,20.0,4.0,,,
1950-01-02,Yocalla,15.0,7.0,,,11.8
1950-01-02,Santa Ana del Yacuma Aerop,,,,,5.0
1950-01-02,Riberalta Aeropuerto,,,95.0,95.0,17.4
1950-01-02,San Ignacio de Moxos Aerop,,,,,8.7
1950-01-02,El Alto Aeropuerto,,0.7,82.0,82.0,3.2
1950-01-02,Cochabamba Aeropuerto,24.2,12.0,,,
1950-01-02,Cobija Aeropuerto,,,88.0,88.0,
1950-01-02,Salinas G. De Mendoza,21.11,6.67,,,
1950-01-02,Tupiza,30.0,9.0,97.0,70.0,20.2
1950-01-02,Guayaramerin Aeropuerto,33.7,,85.0,85.0,27.2
1950-01-03,Trinidad Aeropuerto,,,81.0,81.0,7.7
1950-01-03,Charaña,,-1.2,25.0,25.0,
1950-01-03,Redencion Pampa,25.0,18.0,,,
1950-01-03,Tarabuco,15.6,8.3,,,5.0
1950-01-03,Yotala,25.5,11.0,,,
1950-01-03,Apolo SENAMHI,25.0,16.0,,,
1950-01-03,Copacabana,,,,,4.0
1950-01-03,San Calixto,,,,,7.5
1950-01-03,Peñas,,,,,11.0
1950-01-03,Ascensión de Guarayos Aerop,,,,,28.0
1950-01-03,Concepcion Aeropuerto SCZ,30.0,18.3,,,
1950-01-03,Anzaldo,24.0,6.0,,,
1950-01-03,Capinota,,,,,0.5
1950-01-03,Totora_CBBA,18.0,13.0,,,5.0
1950-01-03,Covendo,,,,,5.2
1950-01-03,Padcaya,16.0,7.0,,,
1950-01-03,Mairana,30.0,17.8,,,
1950-01-03,Puerto Suarez Aeropuerto,34.7,21.8,,,12.0
1950-01-03,San Ignacio de Velasco Aerop,30.0,16.5,,,
1950-01-03,Vallegrande Aeropuerto,,,78.0,78.0,
1950-01-03,Mizque,30.0,12.0,,,
1950-01-03,Morochata,23.0,,,,
1950-01-03,Tiquina,,,,,4.5
1950-01-03,Sucre SENAMHI,17.6,9.1,76.0,44.0,
1950-01-03,Turuchipa,12.0,10.0,,,
1950-01-03,San Jose de Pampa Grande,27.0,10.0,,,
1950-01-03,Sacaba,20.0,12.0,,,
1950-01-03,Guaqui,13.0,1.0,,,
1950-01-03,Trompillo Aeropuerto,29.9,19.5,,,1.2
1950-01-03,Puerto Camacho_SC,27.8,21.1,,,
1950-01-03,La Angostura,23.0,11.0,,,3.0
1950-01-03,San Jose de Chiquitos Aerop,31.3,21.0,,,57.0
1950-01-03,Laykacota,22.0,2.5,,,
1950-01-03,Oruro Aeropuerto,16.9,6.5,,,16.0
1950-01-03,Potosi Los Pinos,13.0,,80.0,64.0,1.0
1950-01-03,Mojo,21.0,3.0,,,
1950-01-03,Yocalla,15.0,9.0,,,
1950-01-03,Riberalta Aeropuerto,,,82.0,82.0,2.3
1950-01-03,El Alto Aeropuerto,,2.0,79.0,79.0,3.3
1950-01-03,Cochabamba Aeropuerto,24.2,10.0,,,3.8
1950-01-03,Cobija Aeropuerto,,,82.0,82.0,12.0
1950-01-03,Salinas G. De Mendoza,21.11,5.56,,,
1950-01-03,Tupiza,29.0,11.0,90.0,48.0,
1950-01-03,Guayaramerin Aeropuerto,35.0,,83.0,83.0,
1950-01-04,Trinidad Aeropuerto,,,75.0,75.0,15.0
1950-01-04,Rurrenabaque Aeropuerto,,,,,12.0
1950-01-04,San Borja Aeropuerto,,,,,1.2
1950-01-04,Charaña,16.4,3.4,45.0,45.0,5.8
1950-01-04,Redencion Pampa,25.0,14.0,,,
1950-01-04,Tarabuco,17.2,7.8,,,4.0
1950-01-04,Yotala,27.5,11.5,,,
1950-01-04,Apolo SENAMHI,24.0,17.0,,,8.5
1950-01-04,Copacabana,,,,,13.0
1950-01-04,Calacoto,,,,,12.4
1950-01-04,San Calixto,,,,,10.2
1950-01-04,Peñas,,,,,5.0
1950-01-04,Concepcion Aeropuerto SCZ,29.3,18.0,,,12.0
1950-01-04,Tarija Aeropuerto,,,,,17.5
1950-01-04,Yacuiba Aeropuerto,,,,,12.0
1950-01-04,Aiquile,,,,,26.0
1950-01-04,Anzaldo,24.0,5.0,,,23.0
1950-01-04,Capinota,,,,,11.5
1950-01-04,Totora_CBBA,19.0,13.0,,,
1950-01-04,Covendo,,,,,1.5
1950-01-04,Patacamaya ,,,,,3.8
1950-01-04,Padcaya,18.0,8.0,,,
1950-01-04,Mairana,24.4,15.6,,,26.0
1950-01-04,Puerto Suarez Aeropuerto,34.5,21.6,,,
1950-01-04,San Ignacio de Velasco Aerop,30.5,16.2,,,
1950-01-04,Vallegrande Aeropuerto,,,86.0,86.0,
1950-01-04,El Belen,14.3,3.2,,,10.1
1950-01-04,Mizque,31.0,12.0,,,
1950-01-04,Morochata,21.0,,,,
1950-01-04,Tiquina,,,,,13.0
1950-01-04,Sucre SENAMHI,20.1,11.3,78.0,44.0,23.4
1950-01-04,Turuchipa,11.0,10.0,,,
1950-01-04,San Jose de Pampa Grande,25.0,7.0,,,
1950-01-04,Angostura_sc,,,,,88.0
1950-01-04,Sacaba,21.0,12.0,,,
1950-01-04,Guaqui,13.0,2.0,,,
1950-01-04,Trompillo Aeropuerto,30.4,19.3,,,1.0
1950-01-04,Puerto Camacho_SC,37.2,19.4,,,24.0
1950-01-04,La Angostura,23.0,11.0,,,7.5
1950-01-04,Apolo Aeropuerto,,,,,22.0
1950-01-04,San Jose de Chiquitos Aerop,33.3,21.5,,,
1950-01-04,Laykacota,13.6,5.0,,,8.0
1950-01-04,Oruro Aeropuerto,17.3,2.0,,,
1950-01-04,Potosi Los Pinos,16.0,,71.0,54.0,31.0
1950-01-04,Mojo,20.0,5.0,,,8.0
1950-01-04,Yocalla,14.0,7.0,,,20.5
1950-01-04,San Joaquin Aeropuerto,,,,,0.6
1950-01-04,Santa Ana del Yacuma Aerop,,,,,4.0
1950-01-04,Riberalta Aeropuerto,,,87.0,87.0,6.0
1950-01-04,El Alto Aeropuerto,,1.0,79.0,79.0,13.4
1950-01-04,Camiri Aeropuerto,,,,,7.5
1950-01-04,Cochabamba Aeropuerto,25.6,11.1,,,1.1
1950-01-04,Cobija Aeropuerto,,,84.0,84.0,
1950-01-04,Salinas G. De Mendoza,20.0,6.67,,,
1950-01-04,Tupiza,31.0,10.0,80.0,74.0,3.1
1950-01-04,Guayaramerin Aeropuerto,33.9,,75.0,75.0,26.7
1950-01-05,Trinidad Aeropuerto,,,96.0,96.0,47.2
1950-01-05,Rurrenabaque Aeropuerto,,,,,12.5
1950-01-05,San Borja Aeropuerto,,,,,45.5
1950-01-05,Charaña,,1.0,44.0,44.0,1.7
1950-01-05,Padilla,,,,,28.4
1950-01-05,Redencion Pampa,24.0,10.0,,,0.3
