fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1951-01-01,Magdalena Aeropuerto,,,,,2.0
1951-01-01,Trinidad Aeropuerto,,,73.0,73.0,
1951-01-01,San Borja Aeropuerto,,,,,5.0
1951-01-01,Charaña,16.8,2.4,53.0,53.0,
1951-01-01,Redencion Pampa,26.0,12.0,,,
1951-01-01,Tarabuco,16.1,3.3,,,
1951-01-01,Yotala,24.5,4.5,,,
1951-01-01,Apolo SENAMHI,23.0,17.0,,,3.0
1951-01-01,San Calixto,,,,,15.6
1951-01-01,Peñas,,,,,15.65
1951-01-01,Aiquile,,,,,13.0
1951-01-01,Anzaldo,23.0,10.0,,,
1951-01-01,Totora_CBBA,19.5,12.2,,,
1951-01-01,Mairana,30.0,13.3,,,
1951-01-01,San Ignacio de Velasco Aerop,,,,,50.0
1951-01-01,Vallegrande Aeropuerto,,,52.0,52.0,
1951-01-01,Mizque,21.0,18.0,,,
1951-01-01,Morochata,24.0,,,,
1951-01-01,Sucre SENAMHI,,7.9,,,
1951-01-01,Turuchipa,22.0,15.0,,,
1951-01-01,San Jose de Pampa Grande,29.4,9.8,,,9.5
1951-01-01,Sacaba,23.0,15.0,,,
1951-01-01,Guaqui,14.0,4.0,,,3.0
1951-01-01,Trompillo Aeropuerto,37.1,19.0,,,
1951-01-01,Mcal Estigarribia Paraguay,,,,,13.7
1951-01-01,Puerto Camacho_SC,40.6,20.0,,,
1951-01-01,La Angostura,24.5,11.0,,,
1951-01-01,San Jose de Chiquitos Aerop,,,,,34.2
1951-01-01,Chuquiña,,,,,3.5
1951-01-01,Oruro Aeropuerto,,6.9,,,0.3
1951-01-01,Potosi Los Pinos,14.5,6.0,81.0,50.0,2.0
1951-01-01,Mojo,28.0,5.0,,,8.0
1951-01-01,Yocalla,,,,,7.0
1951-01-01,El Alto Aeropuerto,,2.4,74.0,74.0,
1951-01-01,Cochabamba Aeropuerto,25.4,12.0,,,
1951-01-01,Cobija Aeropuerto,,,,,4.0
1951-01-01,Pazña,,,,,10.2
1951-01-01,Salinas G. De Mendoza,20.0,4.4,,,
1951-01-01,Tupiza,29.0,7.0,85.0,60.0,
1951-01-01,Guayaramerin Aeropuerto,35.0,,92.0,92.0,
1951-01-02,Magdalena Aeropuerto,,,,,62.0
1951-01-02,Trinidad Aeropuerto,,,82.0,82.0,
1951-01-02,Rurrenabaque Aeropuerto,,,,,7.5
1951-01-02,San Borja Aeropuerto,,,,,46.0
1951-01-02,Charaña,,5.0,23.0,23.0,
1951-01-02,Redencion Pampa,27.0,13.0,,,
1951-01-02,Tarabuco,18.9,5.6,,,
1951-01-02,Yotala,24.0,5.5,,,
1951-01-02,Apolo SENAMHI,23.0,17.0,,,7.5
1951-01-02,San Calixto,,,,,1.1
1951-01-02,Sica Sica,,,,,9.0
1951-01-02,Concepcion Aeropuerto SCZ,,,,,21.0
1951-01-02,Yacuiba Aeropuerto,,,,,10.0
1951-01-02,Aiquile,,,,,6.0
1951-01-02,Anzaldo,24.0,11.0,,,20.0
1951-01-02,Totora_CBBA,21.0,12.9,,,
1951-01-02,Covendo,,,,,39.0
1951-01-02,Patacamaya ,,,,,15.6
1951-01-02,Mairana,31.1,14.4,,,6.0
1951-01-02,Puerto Suarez Aeropuerto,,,,,14.6
1951-01-02,Roboré Aeropuerto,,,,,25.0
1951-01-02,Vallegrande Aeropuerto,,,63.0,63.0,
1951-01-02,Camargo,,,,,1.3
1951-01-02,Betanzos,,,,,7.5
1951-01-02,El Belen,,,,,20.0
1951-01-02,Mizque,27.0,12.0,,,12.0
1951-01-02,Morochata,23.0,,,,24.0
1951-01-02,Sucre SENAMHI,19.2,8.0,,,0.2
1951-01-02,Turuchipa,25.0,15.0,,,9.0
1951-01-02,San Jose de Pampa Grande,27.0,9.8,,,7.0
1951-01-02,Sacaba,23.0,14.0,,,
1951-01-02,Guaqui,15.0,4.0,,,6.0
1951-01-02,Trompillo Aeropuerto,,20.5,,,2.0
1951-01-02,Mcal Estigarribia Paraguay,,,,,4.5
1951-01-02,Puerto Camacho_SC,41.1,21.1,,,18.0
1951-01-02,La Angostura,27.0,11.5,,,
1951-01-02,San Jose de Chiquitos Aerop,,,,,12.0
1951-01-02,Chuquiña,,,,,0.5
1951-01-02,Oruro Aeropuerto,,3.3,,,20.0
1951-01-02,Potosi Los Pinos,12.5,5.0,88.0,70.0,10.0
1951-01-02,Mojo,28.0,8.0,,,
1951-01-02,Yocalla,,,,,3.8
1951-01-02,San Joaquin Aeropuerto,,,,,10.4
1951-01-02,Santa Ana del Yacuma Aerop,,,,,37.0
1951-01-02,San Ignacio de Moxos Aerop,,,,,24.8
1951-01-02,El Alto Aeropuerto,,3.2,75.0,75.0,3.2
1951-01-02,Cochabamba Aeropuerto,25.6,12.4,,,0.6
1951-01-02,Cobija Aeropuerto,,,,,1.3
1951-01-02,Salinas G. De Mendoza,20.0,4.4,,,
1951-01-02,Tupiza,30.0,8.5,80.0,48.0,
1951-01-02,Guayaramerin Aeropuerto,31.3,,84.0,84.0,2.1
1951-01-03,Magdalena Aeropuerto,,,,,4.0
1951-01-03,Trinidad Aeropuerto,,,84.0,84.0,35.0
1951-01-03,Rurrenabaque Aeropuerto,,,,,25.9
1951-01-03,San Borja Aeropuerto,,,,,31.8
1951-01-03,Charaña,16.5,-1.4,38.0,38.0,7.3
1951-01-03,Padilla,,,,,17.8
1951-01-03,Redencion Pampa,26.0,12.0,,,5.0
1951-01-03,Tarabuco,15.6,6.1,,,4.3
1951-01-03,Yotala,22.0,8.0,,,3.5
1951-01-03,Apolo SENAMHI,21.0,16.8,,,4.1
1951-01-03,San Calixto,,,,,3.5
1951-01-03,Peñas,,,,,9.5
1951-01-03,Sica Sica,,,,,1.0
1951-01-03,Concepcion Aeropuerto SCZ,,,,,7.6
1951-01-03,Yacuiba Aeropuerto,,,,,16.4
1951-01-03,Anzaldo,24.0,10.0,,,
1951-01-03,Capinota,,,,,4.0
1951-01-03,Totora_CBBA,21.2,14.5,,,8.5
1951-01-03,Covendo,,,,,33.5
1951-01-03,Mairana,30.0,16.7,,,3.0
1951-01-03,Puerto Suarez Aeropuerto,,,,,10.2
1951-01-03,Roboré Aeropuerto,,,,,28.0
1951-01-03,San Ignacio de Velasco Aerop,,,,,19.0
1951-01-03,San Javier Aeropuerto,,,,,0.8
1951-01-03,Vallegrande Aeropuerto,,,69.0,69.0,3.0
1951-01-03,Camargo,,,,,7.3
1951-01-03,El Belen,16.0,,,,
1951-01-03,Mizque,28.0,18.0,,,3.0
1951-01-03,Morochata,22.0,,,,28.0
1951-01-03,Sucre SENAMHI,16.7,11.1,,,15.2
1951-01-03,Turuchipa,26.0,17.0,,,
1951-01-03,San Jose de Pampa Grande,26.0,10.0,,,5.0
1951-01-03,Sacaba,24.0,16.0,,,
1951-01-03,Guaqui,15.0,4.0,,,4.0
1951-01-03,Trompillo Aeropuerto,,20.0,,,24.5
1951-01-03,Mcal Estigarribia Paraguay,,,,,2.4
1951-01-03,Puerto Camacho_SC,36.1,20.0,,,15.0
1951-01-03,La Angostura,24.5,13.5,,,8.5
1951-01-03,Muyupampa,,,,,11.0
1951-01-03,Sucre Aeropuerto,,,,,13.5
1951-01-03,Apolo Aeropuerto,,,,,5.0
1951-01-03,San Jose de Chiquitos Aerop,,,,,10.1
1951-01-03,Chuquiña,,,,,0.9
1951-01-03,Oruro Aeropuerto,,5.0,,,4.5
1951-01-03,Potosi Los Pinos,13.5,3.0,76.0,49.0,4.0
1951-01-03,Mojo,27.0,5.0,,,
1951-01-03,Yocalla,,,,,2.7
1951-01-03,San Joaquin Aeropuerto,,,,,112.6
1951-01-03,Santa Ana del Yacuma Aerop,,,,,25.0
1951-01-03,San Ignacio de Moxos Aerop,,,,,32.4
1951-01-03,El Alto Aeropuerto,,2.4,81.0,81.0,2.1
1951-01-03,Cochabamba Aeropuerto,21.2,15.4,,,4.8
1951-01-03,Cobija Aeropuerto,,,,,13.2
1951-01-03,Pazña,,,,,1.7
1951-01-03,Salinas G. De Mendoza,21.1,2.2,,,
1951-01-03,Tupiza,29.5,9.0,82.0,50.0,
1951-01-03,Guayaramerin Aeropuerto,28.3,,91.0,91.0,
1951-01-04,Magdalena Aeropuerto,,,,,5.0
1951-01-04,Trinidad Aeropuerto,,,88.0,88.0,9.6
1951-01-04,Rurrenabaque Aeropuerto,,,,,27.0
1951-01-04,San Borja Aeropuerto,,,,,23.0
1951-01-04,Charaña,,-1.2,39.0,39.0,4.2
1951-01-04,Padilla,,,,,4.7
1951-01-04,Redencion Pampa,27.0,12.0,,,2.0
1951-01-04,Tarabuco,16.7,5.0,,,7.0
1951-01-04,Yotala,23.5,6.5,,,
1951-01-04,Apolo SENAMHI,22.8,16.0,,,
1951-01-04,San Calixto,,,,,0.2
1951-01-04,Peñas,,,,,1.7
1951-01-04,Concepcion Aeropuerto SCZ,,,,,51.0
1951-01-04,Yacuiba Aeropuerto,,,,,0.6
1951-01-04,Anzaldo,23.0,10.0,,,
1951-01-04,Totora_CBBA,18.5,13.0,,,18.0
1951-01-04,Covendo,,,,,3.5
1951-01-04,Mairana,29.4,17.8,,,
1951-01-04,Puerto Suarez Aeropuerto,,,,,2.6
1951-01-04,Roboré Aeropuerto,,,,,5.0
1951-01-04,San Javier Aeropuerto,,,,,28.8
1951-01-04,Vallegrande Aeropuerto,,,58.0,58.0,5.6
1951-01-04,El Belen,13.0,3.0,,,0.6
1951-01-04,Mizque,28.0,13.0,,,
1951-01-04,Morochata,22.0,,,,
1951-01-04,Sucre SENAMHI,22.0,8.8,,,
1951-01-04,Turuchipa,20.0,16.0,,,
1951-01-04,San Jose de Pampa Grande,30.6,10.0,,,
1951-01-04,Sacaba,24.0,15.0,,,
1951-01-04,Guaqui,16.0,5.0,,,
1951-01-04,Trompillo Aeropuerto,32.1,20.4,,,
1951-01-04,Puerto Camacho_SC,37.2,21.1,,,
1951-01-04,La Angostura,17.0,11.0,,,
1951-01-04,Muyupampa,,,,,3.0
1951-01-04,Oruro Aeropuerto,,5.4,,,
1951-01-04,Potosi Los Pinos,15.0,4.0,81.0,55.0,1.0
1951-01-04,Mojo,22.0,6.0,,,
1951-01-04,San Joaquin Aeropuerto,,,,,54.6
1951-01-04,Santa Ana del Yacuma Aerop,,,,,92.0
1951-01-04,San Ignacio de Moxos Aerop,,,,,52.1
1951-01-04,El Alto Aeropuerto,,2.8,67.0,67.0,
1951-01-04,Cochabamba Aeropuerto,25.4,10.6,,,
1951-01-04,Cobija Aeropuerto,,,,,25.2
1951-01-04,Salinas G. De Mendoza,21.1,4.4,,,
1951-01-04,Tupiza,28.0,8.0,86.0,49.0,
1951-01-04,Guayaramerin Aeropuerto,32.0,,83.0,83.0,34.4
