fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
2020-01-01,Magdalena Aeropuerto,31.3,22.3,96.0,72.0,26.9
2020-01-01,Trinidad Aeropuerto,29.1,23.5,97.0,78.0,3.9
2020-01-01,Rurrenabaque Aeropuerto,29.6,24.1,97.0,84.0,75.2
2020-01-01,San Borja Aeropuerto,29.6,22.8,96.0,83.0,50.2
2020-01-01,Huarisuyo (GPRS),14.02,5.08,100.0,65.71,2.5
2020-01-01,Padilla,25.0,15.0,,,2.8
2020-01-01,Poroma (CHQ),,,,,11.0
2020-01-01,Potolo,,,,,7.3
2020-01-01,Puente Sucre,,,,,9.0
2020-01-01,Punilla,,,,,4.6
2020-01-01,Redencion Pampa,20.0,10.0,67.0,55.0,5.4
2020-01-01,San Lucas,21.0,12.0,69.0,42.0,
2020-01-01,Santa Elena,,,,,1.5
2020-01-01,Sopachuy,25.0,13.5,,,1.6
2020-01-01,Talula_Tako Tako,22.7,11.0,,,11.8
2020-01-01,Tarabuco,17.4,8.5,,,10.0
2020-01-01,Villa Serrano,,,,,12.3
2020-01-01,Yamparaez,,,,,1.2
2020-01-01,Yotala,24.3,13.0,98.0,37.0,22.5
2020-01-01,Zudañez,21.0,12.0,88.0,84.0,0.8
2020-01-01,Andamarca,19.0,6.0,,,
2020-01-01,Igachi (GPRS),14.05,6.41,91.7,63.51,
2020-01-01,Achiri,14.5,7.0,90.0,57.0,
2020-01-01,Copacabana,,,,,12.6
2020-01-01,Calacoto,22.0,0.0,,,11.5
2020-01-01,Coripata,26.0,15.0,87.0,78.0,
2020-01-01,Collana,16.0,4.0,91.0,89.0,2.5
2020-01-01,Camata,28.0,16.0,,,
2020-01-01,Carabuco,,6.3,78.0,48.0,12.4
2020-01-01,Catacora,11.5,4.0,,,7.5
2020-01-01,Chorocona,23.0,11.0,,,10.3
2020-01-01,Chirapaca,13.5,,,,1.0
2020-01-01,Hichucota,13.0,0.0,,,7.0
2020-01-01,Isla Del Sol,16.3,4.6,90.0,47.0,12.3
2020-01-01,Luribay,20.0,15.0,84.0,68.0,10.0
2020-01-01,Santiago de Machaca,,,,,15.2
2020-01-01,Santiago de Huata,16.0,2.0,,,7.3
2020-01-01,San Juan Huancollo,13.0,6.0,,,11.5
2020-01-01,San Calixto,16.4,7.8,92.0,61.0,12.2
2020-01-01,Villa Puni,13.0,6.5,,,7.8
2020-01-01,Incahuasi (GPRS),18.41,8.88,93.2,42.88,
2020-01-01,Alto Obrajes_Barrio Magisterio,,,,,4.5
2020-01-01,Achocalla,,,,,1.7
2020-01-01,Ancoraimes,,,,,10.5
2020-01-01,INAC Cochabamba - (GPRS),20.38,12.1,94.2,57.24,19.4
