fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1959-01-01,Trinidad Aeropuerto,30.3,22.0,79.0,79.0,
1959-01-01,Rurrenabaque Aeropuerto,31.5,23.0,,,
1959-01-01,San Borja Aeropuerto,,,,,36.0
1959-01-01,Charaña,,-5.8,43.0,43.0,
1959-01-01,Padilla,,,,,1.1
1959-01-01,Tarabuco,20.0,6.7,,,3.0
1959-01-01,Villa Serrano,,,,,0.5
1959-01-01,Yotala,29.0,10.0,,,27.0
1959-01-01,Apolo SENAMHI,20.0,16.3,,,2.7
1959-01-01,Copacabana,16.0,6.0,95.0,83.0,23.0
1959-01-01,Chulumani,25.0,19.0,,,6.0
1959-01-01,Irupana,24.0,20.0,,,13.0
1959-01-01,Ovejuyo,,,,,11.0
1959-01-01,San Calixto,15.0,6.9,90.0,40.0,6.0
1959-01-01,Calamarca,17.0,5.0,,,5.0
1959-01-01,Sica Sica,18.0,1.0,,,0.2
1959-01-01,Concepcion Aeropuerto SCZ,31.6,22.9,,,12.4
1959-01-01,Yacuiba Aeropuerto,,,,,11.0
1959-01-01,Arani,29.0,12.0,,,
1959-01-01,Capinota,23.0,17.0,,,
1959-01-01,Tarata,22.0,14.5,,,
1959-01-01,Totora_CBBA,19.9,8.0,,,16.0
1959-01-01,El Puente,24.0,18.0,,,
1959-01-01,Patacamaya ,23.0,7.0,,,
1959-01-01,Mairana,27.8,16.7,,,
1959-01-01,Roboré Aeropuerto,,24.5,,,
1959-01-01,Vallegrande Aeropuerto,,,65.0,65.0,9.1
1959-01-01,Reyes Aeropuerto,,,,,104.0
1959-01-01,Sorata,17.0,13.5,,,10.6
1959-01-01,Mizque,26.0,17.0,,,
1959-01-01,Alcoche,27.5,21.3,,,14.5
1959-01-01,Tiquina,20.0,7.0,,,18.0
1959-01-01,Colquiri,18.0,1.0,,,
1959-01-01,Vinto,29.0,13.0,,,
1959-01-01,Sucre SENAMHI,18.4,10.8,100.0,71.0,36.9
1959-01-01,Angostura_sc,,,,,15.0
1959-01-01,Guaqui,17.5,13.5,,,
1959-01-01,Trompillo Aeropuerto,30.1,22.5,,,
1959-01-01,Cliza,30.0,13.0,,,
1959-01-01,Corani Represa,,,,,16.0
1959-01-01,Teoponte,,,,,3.28
