fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1972-01-01,Trinidad Aeropuerto,,20.4,72.0,72.0,
1972-01-01,Rurrenabaque Aeropuerto,,21.0,,,
1972-01-01,San Borja Aeropuerto,,22.0,,,13.2
1972-01-01,Charaña,,1.3,,,5.8
1972-01-01,Padilla,26.5,15.5,,,5.8
1972-01-01,Tarabuco,17.0,7.0,,,15.0
1972-01-01,Villa Serrano,26.5,8.5,,,
1972-01-01,Yotala,22.0,10.0,,,
1972-01-01,Apolo SENAMHI,24.0,17.5,,,
1972-01-01,Copacabana,14.0,6.0,,,
1972-01-01,Calacoto,,,,,7.3
1972-01-01,Chulumani,29.5,15.1,,,
1972-01-01,Irupana,25.8,12.8,,,
1972-01-01,Sapecho,,,,,13.0
1972-01-01,San Calixto,,,,,0.1
1972-01-01,Calamarca,19.3,3.0,,,
1972-01-01,Peñas,,,,,1.4
1972-01-01,Sica Sica,18.5,3.5,,,
1972-01-01,Tarija Aeropuerto,,13.0,,,
1972-01-01,Yacuiba Aeropuerto,35.4,21.0,,,
1972-01-01,Aguirre,,,,,0.2
1972-01-01,Aiquile,26.0,17.5,,,
1972-01-01,Anzaldo,31.4,10.5,,,
1972-01-01,Arani,26.5,10.6,,,
1972-01-01,Capinota,24.5,13.0,,,6.8
1972-01-01,Chipiriri,35.0,22.0,,,
1972-01-01,Ramadas Cbba,,,,,16.5
1972-01-01,Misicuni,,,,,0.2
1972-01-01,San Benito,26.0,12.0,74.0,74.0,
1972-01-01,Tarata,25.0,6.5,,,10.0
1972-01-01,Tiraque,15.8,4.8,,,
1972-01-01,Totora_CBBA,26.8,9.5,,,2.0
1972-01-01,El Puente,32.5,14.0,,,
1972-01-01,Patacamaya ,18.0,3.0,70.0,49.0,
1972-01-01,Mairana,32.0,14.0,,,
1972-01-01,Sorata,22.4,11.4,,,
1972-01-01,Viacha,16.0,3.0,,,
1972-01-01,Mizque,23.0,11.2,,,
1972-01-01,Morochata,23.0,5.0,,,
1972-01-01,Tiquina,14.0,5.0,,,
1972-01-01,Vinto,24.0,10.0,,,
1972-01-01,Avaroa,,,,,14.0
1972-01-01,Ravelo,24.0,6.0,,,
1972-01-01,Turuchipa,28.0,15.0,,,
1972-01-01,San Jose de Pampa Grande,22.0,8.0,,,
1972-01-01,Ingenio Santa Cecilia,,,,,23.0
1972-01-01,Sacaba,26.0,12.0,,,
1972-01-01,Escalerani,,,,,3.5
1972-01-01,El Tejar (Tarija),31.5,13.0,,,
1972-01-01,Entre Rios (TJA),31.9,24.3,,,
1972-01-01,Bolivar_CBBA,,,,,0.3
1972-01-01,Desaguadero,13.0,4.5,,,4.0
1972-01-01,Trompillo Aeropuerto,35.0,22.0,,,
1972-01-01,Candelaria,14.0,-8.0,,,
1972-01-01,Machacamarca_ENFE,,,,,1.0
1972-01-01,Oruro_ENFE,,,,,3.7
1972-01-01,Viacha_ENFE,,,,,0.2
1972-01-01,Charaña_ENFE,,,,,10.0
1972-01-01,Estación Central_LP_ENFE,,,,,0.5
1972-01-01,Sucre_ENFE,,,,,1.5
1972-01-01,Sivingani - Misicuni ,,,,,0.2
1972-01-01,Cuatro Esquinas Misicuni,,,,,2.0
1972-01-01,Mayca Mayu,,,,,8.0
1972-01-01,Corani Represa,,,,,1.7
1972-01-01,Incachaca Chapare,,,,,1.7
1972-01-01,Irpa Irpa,,,,,2.0
1972-01-01,Chiguana_ENFE,,,,,5.0
1972-01-01,Condor_ENFE,,,,,15.0
1972-01-01,Riberalta SENAMHI,32.5,21.5,,,6.1
1972-01-01,Sivingani_Mizque,,,,,0.2
1972-01-01,Templo Misicuni,,,,,1.2
1972-01-01,Santa Cruz SENAMHI,25.4,16.2,,,
1972-01-01,Potosi_ENFE,,,,,4.0
1972-01-01,Aguas Calientes_ENFE,,,,,20.0
1972-01-01,Changolla_ENFE,,,,,20.0
1972-01-01,Buen Retiro_ENFE,,,,,19.0
1972-01-01,Monteagudo_El Bañado,30.0,20.0,,,
1972-01-01,Ayo Ayo,16.0,3.0,,,
1972-01-01,Sucre Aeropuerto,24.0,9.4,,,
1972-01-01,Apolo Aeropuerto,,15.3,,,
1972-01-01,San Jose de Chiquitos Aerop,,23.6,,,
1972-01-01,Bermejo Aeropuerto,40.0,21.5,,,
1972-01-01,Laykacota,15.8,5.0,,,
1972-01-01,Oruro Aeropuerto,,5.0,,,1.8
1972-01-01,Potosi Los Pinos,17.0,3.0,,,1.0
1972-01-01,Mojo,25.0,12.0,,,
1972-01-01,Santa Ana del Yacuma Aerop,30.0,23.0,,,
1972-01-01,Riberalta Aeropuerto,32.0,21.5,,,6.1
1972-01-01,Canasmoro,29.0,12.0,55.0,35.0,
1972-01-01,El Alto Aeropuerto,10.0,2.4,82.0,82.0,
1972-01-01,Cochabamba Aeropuerto,26.3,15.3,,,
1972-01-01,Cobija Aeropuerto,,20.2,85.0,85.0,3.2
1972-01-01,Puna,17.5,7.8,83.0,64.0,1.0
1972-01-01,Coroico,25.0,19.0,,,4.0
1972-01-01,General Saavedra,37.5,21.0,52.0,18.0,
1972-01-01,Villazon,18.7,10.5,,,1.9
1972-01-01,Guayaramerin Aeropuerto,0.0,22.0,90.0,90.0,
1972-01-02,Trinidad Aeropuerto,31.0,22.4,73.0,73.0,22.2
1972-01-02,Rurrenabaque Aeropuerto,,23.0,,,13.2
1972-01-02,San Borja Aeropuerto,31.0,24.6,,,7.0
1972-01-02,Charaña,14.0,1.4,,,2.4
1972-01-02,Padilla,28.8,14.8,,,
1972-01-02,Tarabuco,14.0,7.5,,,5.0
1972-01-02,Villa Serrano,27.5,11.0,,,
1972-01-02,Yotala,22.5,12.5,,,
1972-01-02,Apolo SENAMHI,24.0,15.3,,,
1972-01-02,Copacabana,15.0,5.0,,,
1972-01-02,Calacoto,,,,,3.7
1972-01-02,Chulumani,29.0,15.0,,,
1972-01-02,Irupana,26.0,13.5,,,12.0
1972-01-02,San Calixto,,,,,7.7
1972-01-02,Calamarca,20.0,3.8,,,
1972-01-02,Sica Sica,19.0,4.0,,,
1972-01-02,Tarija Aeropuerto,,15.0,,,
1972-01-02,Yacuiba Aeropuerto,33.0,20.0,,,
1972-01-02,Aguirre,,,,,0.5
1972-01-02,Aiquile,29.0,11.6,,,
1972-01-02,Anzaldo,30.0,8.0,,,
1972-01-02,Arani,27.2,9.2,,,
1972-01-02,Capinota,28.5,15.0,,,
1972-01-02,Chipiriri,30.0,20.0,,,51.0
1972-01-02,Misicuni,,,,,0.1
1972-01-02,San Benito,25.0,6.5,82.0,82.0,
1972-01-02,Tarata,23.0,4.5,,,
1972-01-02,Tiraque,18.5,2.5,,,
1972-01-02,Totora_CBBA,27.0,9.6,,,
1972-01-02,El Puente,28.6,16.1,,,
1972-01-02,Patacamaya ,16.0,4.0,70.0,55.0,
1972-01-02,Mairana,30.0,16.0,,,
1972-01-02,El Belen,15.0,4.0,81.0,39.0,
