fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
2025-01-01, Paniagua_M (GPRS),30.21,21.12,93.51,53.88,
2025-01-01,4 Esquinas (GPRS),5.76,5.76,,,0.1
2025-01-01,Acasio,,,,,3.2
2025-01-01,Achiri,20.5,2.5,20.5,,
2025-01-01,Aguadas (GPRS),7.45,7.45,86.2,86.2,
2025-01-01,Aiquile (GPRS),19.69,19.69,68.51,68.51,
2025-01-01,Alcantarí_Aeropuerto,22.8,10.2,,,
2025-01-01,Alto Peñas (GPRS),9.4,9.4,70.22,70.22,
2025-01-01,Andamarca,,6.2,,,
2025-01-01,Anzaldo_M (GPRS),25.81,11.99,92.34,19.18,
2025-01-01,Apolo_M (GPRS),28.13,19.2,92.13,36.66,
2025-01-01,Arani,29.0,17.0,,,
2025-01-01,Ayoma,,,,,0.6
2025-01-01,Azurduy,23.0,9.0,,,
2025-01-01,Buena Vista S.(GPRS),33.3,25.9,88.8,56.4,
2025-01-01,Cabaña Forestal Oruro,,,,,2.0
2025-01-01,Cachimayu,,,,,0.3
2025-01-01,Caiza D,,,,,1.4
2025-01-01,Camargo_H (GPRS),,,,,0.2
2025-01-01,Camargo_M (GPRS),,,,,0.3
2025-01-01,Camata,28.0,17.0,,,12.3
2025-01-01,Camiri,25.0,25.0,68.8,68.8,
2025-01-01,Campamento 2 - Suñasivi,,,,,5.0
2025-01-01,Campamento Villa Tunari,,,,,40.3
2025-01-01,Campanario,,,,,10.0
2025-01-01,Capinota,28.0,28.0,,,
2025-01-01,Carabuco,,3.9,,,
2025-01-01,Carura_M - Guanay (GPRS),35.68,24.68,86.09,38.93,
2025-01-01,Cayarani,,,,,0.5
2025-01-01,Cañas,32.0,14.0,,,27.0
2025-01-01,Chaqui,,,,,9.8
2025-01-01,Chinoli,22.4,8.1,,,
2025-01-01,Chipaya - GPRS,23.1,6.5,,,1.9
2025-01-01,Chirapaca,19.1,2.0,,,
2025-01-01,Chua Cocani_M (GPRS),11.23,11.23,58.86,58.86,
2025-01-01,Chuqui Chuqui,38.0,22.0,,,
2025-01-01,Chuquiago,33.2,12.2,,,
2025-01-01,Circuata,,,,,6.4
2025-01-01,Ciudadela Univ GPRS UTO,,,,,1.8
2025-01-01,Ckochas,,,,,7.4
2025-01-01,Coimata,28.0,13.0,,,
2025-01-01,Colcha K,30.0,5.2,,,
2025-01-01,Collana,18.0,4.0,,,
2025-01-01,Colomi,15.0,,,,
