fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
1970-01-01,Magdalena Aeropuerto,,,,,0.8
1970-01-01,Trinidad Aeropuerto,34.5,25.0,64.0,64.0,
1970-01-01,Rurrenabaque Aeropuerto,34.2,24.2,,,20.8
1970-01-01,San Borja Aeropuerto,33.8,23.4,,,
1970-01-01,Charaña,18.5,4.2,55.0,55.0,1.0
1970-01-01,Padilla,26.0,15.0,,,3.1
1970-01-01,Tarabuco,22.0,7.0,,,
1970-01-01,Villa Serrano,32.0,15.0,,,2.5
1970-01-01,Yotala,24.0,16.0,,,7.0
1970-01-01,Apolo SENAMHI,29.0,16.8,,,
1970-01-01,Chulumani,,16.5,,,15.0
1970-01-01,Irupana,26.0,14.0,,,
1970-01-01,Sapecho,35.0,21.5,,,
1970-01-01,San Calixto,,,,,20.0
1970-01-01,Calamarca,21.2,5.0,,,7.0
1970-01-01,Sica Sica,23.5,4.2,,,
1970-01-01,Concepcion Aeropuerto SCZ,,18.8,,,
1970-01-01,Tarija Aeropuerto,,13.4,,,5.6
1970-01-01,Yacuiba Aeropuerto,36.2,20.5,,,
1970-01-01,Aguirre,,,,,7.1
1970-01-01,Aiquile,0.0,0.0,,,
1970-01-01,Anzaldo,20.5,10.5,,,
1970-01-01,Arani,29.0,11.0,,,
1970-01-01,Capinota,35.0,16.0,,,
1970-01-01,San Benito,26.5,12.0,75.0,75.0,3.0
1970-01-01,Tarata,29.5,11.0,,,
1970-01-01,Tiraque,16.0,10.0,,,
1970-01-01,Totora_CBBA,28.0,9.0,,,
1970-01-01,El Puente,35.0,17.0,,,6.0
1970-01-01,Mairana,31.0,18.0,,,
1970-01-01,El Belen,14.0,3.0,,,
1970-01-01,Sorata,29.8,3.1,,,
1970-01-01,Viacha,16.0,4.0,,,6.3
1970-01-01,Mizque,29.0,14.0,,,3.0
1970-01-01,Cotani Alto,,,,,1.8
1970-01-01,Morochata,26.0,10.0,,,
1970-01-01,Alcoche,33.4,19.7,,,
1970-01-01,Vinto,27.0,13.0,,,
