estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vientos
Anzaldo,2025-12-01 06:00:00,2,57.0,0.0,14.0,1.0
Anzaldo,2025-12-01 06:00:00,5,56.0,0.0,16.0,2.0
Anzaldo,2025-12-01 06:00:00,8,88.0,1.6,21.0,3.0
Anzaldo,2025-12-01 06:00:00,11,88.0,1.6,21.0,2.0
Anzaldo,2025-12-01 06:00:00,14,94.0,3.4,14.0,1.0
Anzaldo,2025-12-01 06:00:00,17,55.0,0.0,10.0,1.0
Anzaldo,2025-12-01 06:00:00,20,88.0,2.1,7.0,1.0
Anzaldo,2025-12-01 06:00:00,23,88.0,1.9,7.0,1.0
Anzaldo,2025-12-01 06:00:00,26,88.0,1.6,9.0,2.0
Anzaldo,2025-12-01 06:00:00,29,88.0,2.1,12.0,3.0
Anzaldo,2025-12-01 06:00:00,32,89.0,1.0,17.0,4.0
Anzaldo,2025-12-01 06:00:00,35,88.0,1.7,17.0,3.0
Anzaldo,2025-12-01 06:00:00,38,56.0,0.0,13.0,2.0
Anzaldo,2025-12-01 06:00:00,41,56.0,0.0,12.0,2.0
Anzaldo,2025-12-01 06:00:00,44,56.0,0.0,8.0,1.0
Anzaldo,2025-12-01 06:00:00,47,56.0,0.0,9.0,2.0
Anzaldo,2025-12-01 06:00:00,50,56.0,0.0,12.0,3.0
Anzaldo,2025-12-01 06:00:00,53,56.0,0.0,14.0,4.0
Anzaldo,2025-12-01 06:00:00,56,88.0,0.9,16.0,5.0
Anzaldo,2025-12-01 06:00:00,59,88.0,1.2,16.0,4.0
Anzaldo,2025-12-01 06:00:00,62,94.0,2.1,12.0,3.0
Anzaldo,2025-12-01 06:00:00,65,94.0,2.1,11.0,3.0
Anzaldo,2025-12-01 06:00:00,68,94.0,1.9,8.0,2.0
Anzaldo,2025-12-01 06:00:00,71,94.0,3.7,9.0,3.0
Anzaldo,2025-12-01 06:00:00,74,94.0,2.0,12.0,3.0
Anzaldo,2025-12-01 06:00:00,77,94.0,1.8,13.0,4.0
Anzaldo,2025-12-01 06:00:00,80,88.0,1.6,16.0,5.0
Anzaldo,2025-12-01 06:00:00,83,88.0,1.1,15.0,4.0
Anzaldo,2025-12-01 06:00:00,86,94.0,3.6,11.0,2.0
Anzaldo,2025-12-01 06:00:00,89,95.0,2.8,11.0,2.0
Anzaldo,2025-12-01 06:00:00,92,95.0,2.2,8.0,3.0
Anzaldo,2025-12-01 10:00:00,88,55.0,0.0,,
Anzaldo,2025-12-01 10:00:00,91,56.0,0.0,10.0,1.0
Anzaldo,2025-12-01 10:00:00,94,57.0,0.0,11.0,2.0
Anzaldo,2025-12-01 10:00:00,97,57.0,0.0,11.0,2.0
Anzaldo,2025-12-01 10:00:00,100,88.0,2.1,12.0,3.0
Anzaldo,2025-12-01 10:00:00,103,88.0,2.1,11.0,2.0
Anzaldo,2025-12-01 10:00:00,106,94.0,2.2,11.0,2.0
Anzaldo,2025-12-01 10:00:00,109,93.0,2.4,10.0,2.0
Anzaldo,2025-12-01 10:00:00,112,94.0,2.5,10.0,1.0
Anzaldo,2025-12-01 14:00:00,9,,,11.0,
Anzaldo,2025-12-01 14:00:00,18,,,10.0,
Anzaldo,2025-12-01 14:00:00,24,,,18.0,
Anzaldo,2025-12-01 14:00:00,27,,,18.0,
Anzaldo,2025-12-01 14:00:00,48,,,17.0,
Anzaldo,2025-12-01 14:00:00,51,,,17.0,
Anzaldo,2025-12-01 14:00:00,75,,,16.0,
Anzaldo,2025-12-01 14:00:00,78,,,12.0,
Anzaldo,2025-12-01 14:00:00,93,,,12.0,
Anzaldo,2025-12-01 14:00:00,96,,,13.0,
Anzaldo,2025-12-01 14:00:00,99,,,13.0,
Anzaldo,2025-12-01 14:00:00,105,,,11.0,
Anzaldo,2025-12-01 16:00:00,1,,,22.0,
Anzaldo,2025-12-01 16:00:00,4,,,15.0,
Anzaldo,2025-12-01 16:00:00,7,,,14.0,
Anzaldo,2025-12-01 16:00:00,10,,,10.0,
Anzaldo,2025-12-01 16:00:00,13,,,10.0,
Anzaldo,2025-12-01 16:00:00,16,,,13.0,
Anzaldo,2025-12-01 16:00:00,19,,,16.0,
Anzaldo,2025-12-01 16:00:00,22,,,23.0,
Anzaldo,2025-12-01 16:00:00,25,,,23.0,
Anzaldo,2025-12-01 16:00:00,28,,,14.0,
Anzaldo,2025-12-01 16:00:00,34,,,9.0,
Anzaldo,2025-12-01 16:00:00,40,,,15.0,
Anzaldo,2025-12-01 16:00:00,43,,,16.0,
Anzaldo,2025-12-01 16:00:00,46,,,22.0,
Anzaldo,2025-12-01 16:00:00,49,,,22.0,
Anzaldo,2025-12-01 16:00:00,55,,,12.0,
Anzaldo,2025-12-01 16:00:00,64,,,13.0,
Anzaldo,2025-12-01 16:00:00,67,,,14.0,
Anzaldo,2025-12-01 16:00:00,70,,,22.0,
Anzaldo,2025-12-01 16:00:00,73,,,21.0,
Anzaldo,2025-12-01 16:00:00,76,,,15.0,
Anzaldo,2025-12-01 16:00:00,79,,,13.0,
Anzaldo,2025-12-01 16:00:00,82,,,9.0,
Anzaldo,2025-12-01 16:00:00,85,,,9.0,
Anzaldo,2025-12-01 16:00:00,88,,,13.0,
Anzaldo,2025-12-01 16:00:00,91,,,14.0,
Anzaldo,2025-12-01 16:00:00,94,,,20.0,
Anzaldo,2025-12-01 16:00:00,97,,,20.0,
Anzaldo,2025-12-01 16:00:00,100,,,15.0,
Anzaldo,2025-12-01 16:00:00,103,,,14.0,
Anzaldo,2025-12-02 10:00:00,88,57.0,0.0,,
Anzaldo,2025-12-02 10:00:00,91,55.0,0.0,10.0,2.0
Anzaldo,2025-12-02 10:00:00,94,56.0,0.0,11.0,2.0
Anzaldo,2025-12-02 10:00:00,97,56.0,0.0,12.0,4.0
Anzaldo,2025-12-02 10:00:00,100,94.0,1.5,13.0,5.0
Anzaldo,2025-12-02 10:00:00,103,94.0,1.8,12.0,5.0
Anzaldo,2025-12-02 10:00:00,106,56.0,0.0,11.0,4.0
Anzaldo,2025-12-02 10:00:00,109,56.0,0.0,11.0,3.0
Anzaldo,2025-12-02 10:00:00,112,56.0,0.0,10.0,2.0
Apolo Chupiluzani,2025-12-01 06:00:00,2,94.0,1.5,20.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,5,94.0,2.1,23.0,2.0
Apolo Chupiluzani,2025-12-01 06:00:00,8,88.0,1.9,29.0,2.0
Apolo Chupiluzani,2025-12-01 06:00:00,11,88.0,2.7,29.0,2.0
Apolo Chupiluzani,2025-12-01 06:00:00,14,93.0,1.8,22.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,17,56.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,20,89.0,1.8,16.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,23,88.0,1.7,15.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,26,88.0,1.4,19.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,29,88.0,2.4,21.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,32,88.0,1.5,27.0,2.0
Apolo Chupiluzani,2025-12-01 06:00:00,35,88.0,1.0,27.0,2.0
Apolo Chupiluzani,2025-12-01 06:00:00,38,94.0,2.3,25.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,41,94.0,1.7,23.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,44,89.0,1.2,16.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,47,88.0,1.8,16.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,50,88.0,1.5,19.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,53,88.0,1.1,20.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,56,89.0,1.3,24.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,59,88.0,1.0,24.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,62,95.0,3.2,18.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,65,94.0,3.1,18.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,68,94.0,1.5,16.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,71,95.0,2.7,16.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,74,93.0,2.3,17.0,0.0
Apolo Chupiluzani,2025-12-01 06:00:00,77,94.0,4.0,19.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,80,89.0,1.7,26.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,83,88.0,0.8,26.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,86,94.0,2.7,18.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,89,94.0,1.0,17.0,1.0
Apolo Chupiluzani,2025-12-01 06:00:00,92,94.0,3.9,16.0,1.0
Apolo Chupiluzani,2025-12-01 10:00:00,88,57.0,0.0,,
Apolo Chupiluzani,2025-12-01 10:00:00,91,55.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-12-01 10:00:00,94,56.0,0.0,17.0,0.0
Apolo Chupiluzani,2025-12-01 10:00:00,97,56.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-12-01 10:00:00,100,95.0,1.7,22.0,2.0
Apolo Chupiluzani,2025-12-01 10:00:00,103,94.0,1.4,19.0,1.0
Apolo Chupiluzani,2025-12-01 10:00:00,106,88.0,1.3,16.0,1.0
Apolo Chupiluzani,2025-12-01 10:00:00,109,88.0,1.6,15.0,1.0
Apolo Chupiluzani,2025-12-01 10:00:00,112,88.0,2.7,15.0,1.0
Apolo Chupiluzani,2025-12-01 12:00:00,14,94.0,0.9,,
Apolo Chupiluzani,2025-12-01 12:00:00,17,93.0,1.9,,
Apolo Chupiluzani,2025-12-01 12:00:00,20,93.0,2.1,,
Apolo Chupiluzani,2025-12-01 12:00:00,23,94.0,1.3,,
Apolo Chupiluzani,2025-12-01 14:00:00,15,,,16.0,
Apolo Chupiluzani,2025-12-01 14:00:00,24,,,26.0,
Apolo Chupiluzani,2025-12-01 14:00:00,27,,,26.0,
Apolo Chupiluzani,2025-12-01 14:00:00,30,,,23.0,
Apolo Chupiluzani,2025-12-01 14:00:00,33,,,21.0,
Apolo Chupiluzani,2025-12-01 14:00:00,36,,,15.0,
Apolo Chupiluzani,2025-12-01 14:00:00,39,,,15.0,
Apolo Chupiluzani,2025-12-01 14:00:00,54,,,20.0,
Apolo Chupiluzani,2025-12-01 14:00:00,57,,,20.0,
Apolo Chupiluzani,2025-12-01 14:00:00,66,,,19.0,
Apolo Chupiluzani,2025-12-01 14:00:00,69,,,21.0,
Apolo Chupiluzani,2025-12-01 14:00:00,72,,,25.0,
Apolo Chupiluzani,2025-12-01 14:00:00,75,,,25.0,
Apolo Chupiluzani,2025-12-01 14:00:00,78,,,19.0,
Apolo Chupiluzani,2025-12-01 14:00:00,84,,,15.0,
Apolo Chupiluzani,2025-12-01 14:00:00,87,,,15.0,
Apolo Chupiluzani,2025-12-01 14:00:00,93,,,20.0,
Apolo Chupiluzani,2025-12-01 14:00:00,96,,,25.0,
Apolo Chupiluzani,2025-12-01 14:00:00,99,,,24.0,
Apolo Chupiluzani,2025-12-01 14:00:00,102,,,19.0,
