estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vientos
Anzaldo,2025-11-17 06:00:00,2,94.0,1.1,12.0,2.0
Anzaldo,2025-11-17 06:00:00,5,94.0,1.1,14.0,3.0
Anzaldo,2025-11-17 06:00:00,8,94.0,1.1,17.0,4.0
Anzaldo,2025-11-17 06:00:00,11,94.0,2.7,17.0,4.0
Anzaldo,2025-11-17 06:00:00,14,94.0,2.8,14.0,4.0
Anzaldo,2025-11-17 06:00:00,17,94.0,2.8,13.0,2.0
Anzaldo,2025-11-17 06:00:00,20,94.0,2.6,9.0,1.0
Anzaldo,2025-11-17 06:00:00,23,57.0,0.0,9.0,3.0
Anzaldo,2025-11-17 06:00:00,26,57.0,0.0,12.0,3.0
Anzaldo,2025-11-17 06:00:00,29,55.0,0.0,14.0,3.0
Anzaldo,2025-11-17 06:00:00,32,77.0,3.3,19.0,2.0
Anzaldo,2025-11-17 06:00:00,35,76.0,2.2,19.0,2.0
Anzaldo,2025-11-17 06:00:00,38,56.0,0.0,15.0,2.0
Anzaldo,2025-11-17 06:00:00,41,56.0,0.0,13.0,2.0
Anzaldo,2025-11-17 06:00:00,44,94.0,2.6,10.0,2.0
Anzaldo,2025-11-17 06:00:00,47,94.0,0.9,10.0,2.0
Anzaldo,2025-11-17 06:00:00,50,94.0,2.3,12.0,3.0
Anzaldo,2025-11-17 06:00:00,53,94.0,2.2,13.0,3.0
Anzaldo,2025-11-17 06:00:00,56,94.0,2.1,18.0,4.0
Anzaldo,2025-11-17 06:00:00,59,94.0,2.0,18.0,3.0
Anzaldo,2025-11-17 06:00:00,62,56.0,0.0,16.0,1.0
Anzaldo,2025-11-17 06:00:00,65,57.0,0.0,14.0,2.0
Anzaldo,2025-11-17 06:00:00,68,56.0,0.0,9.0,2.0
Anzaldo,2025-11-17 06:00:00,71,57.0,0.0,9.0,1.0
Anzaldo,2025-11-17 06:00:00,74,56.0,0.0,11.0,1.0
Anzaldo,2025-11-17 06:00:00,77,56.0,0.0,14.0,2.0
Anzaldo,2025-11-17 06:00:00,80,76.0,2.6,19.0,2.0
Anzaldo,2025-11-17 06:00:00,83,76.0,2.2,19.0,2.0
Anzaldo,2025-11-17 06:00:00,86,56.0,0.0,15.0,2.0
Anzaldo,2025-11-17 06:00:00,89,57.0,0.0,14.0,2.0
Anzaldo,2025-11-17 06:00:00,92,56.0,0.0,12.0,2.0
Anzaldo,2025-11-17 10:00:00,88,36.0,,,
Anzaldo,2025-11-17 10:00:00,91,37.0,0.0,12.0,3.0
Anzaldo,2025-11-17 10:00:00,94,36.0,0.0,14.0,3.0
Anzaldo,2025-11-17 10:00:00,97,36.0,0.0,18.0,4.0
Anzaldo,2025-11-17 10:00:00,100,37.0,0.0,21.0,4.0
Anzaldo,2025-11-17 10:00:00,103,37.0,0.0,18.0,3.0
Anzaldo,2025-11-17 10:00:00,106,36.0,0.0,14.0,3.0
Anzaldo,2025-11-17 10:00:00,109,37.0,0.0,13.0,2.0
Anzaldo,2025-11-17 10:00:00,112,37.0,0.0,11.0,2.0
Anzaldo,2025-11-17 16:00:00,4,,,17.0,
Anzaldo,2025-11-17 16:00:00,7,,,17.0,
Anzaldo,2025-11-17 16:00:00,10,,,12.0,
Anzaldo,2025-11-17 16:00:00,13,,,12.0,
Anzaldo,2025-11-17 16:00:00,16,,,16.0,
Anzaldo,2025-11-17 16:00:00,19,,,17.0,
Anzaldo,2025-11-17 16:00:00,22,,,24.0,
Anzaldo,2025-11-17 16:00:00,25,,,24.0,
Anzaldo,2025-11-17 16:00:00,28,,,17.0,
Anzaldo,2025-11-17 16:00:00,31,,,16.0,
Anzaldo,2025-11-17 16:00:00,34,,,11.0,
Anzaldo,2025-11-17 16:00:00,37,,,11.0,
Anzaldo,2025-11-17 16:00:00,40,,,14.0,
Anzaldo,2025-11-17 16:00:00,43,,,16.0,
Anzaldo,2025-11-17 16:00:00,46,,,24.0,
Anzaldo,2025-11-17 16:00:00,49,,,24.0,
Anzaldo,2025-11-17 16:00:00,58,,,12.0,
Anzaldo,2025-11-17 16:00:00,61,,,12.0,
Anzaldo,2025-11-17 16:00:00,64,,,15.0,
Anzaldo,2025-11-17 16:00:00,67,,,15.0,
Anzaldo,2025-11-17 16:00:00,70,,,25.0,
Anzaldo,2025-11-17 16:00:00,73,,,25.0,
Anzaldo,2025-11-17 16:00:00,76,,,17.0,
Anzaldo,2025-11-17 16:00:00,79,,,16.0,
Anzaldo,2025-11-17 16:00:00,82,,,13.0,
Anzaldo,2025-11-17 16:00:00,85,,,13.0,
Anzaldo,2025-11-17 16:00:00,88,,,17.0,
Anzaldo,2025-11-17 16:00:00,94,,,25.0,
Anzaldo,2025-11-17 16:00:00,97,,,25.0,
Anzaldo,2025-11-17 16:00:00,100,,,17.0,
Anzaldo,2025-11-17 16:00:00,103,,,16.0,
Anzaldo,2025-11-17 16:00:00,106,,,14.0,
Anzaldo,2025-11-17 18:00:00,2,,,20.0,
Anzaldo,2025-11-17 18:00:00,5,,,18.0,
Anzaldo,2025-11-17 18:00:00,8,,,13.0,
Anzaldo,2025-11-17 18:00:00,11,,,13.0,
Anzaldo,2025-11-17 18:00:00,14,,,17.0,
Anzaldo,2025-11-17 18:00:00,17,,,18.0,
Anzaldo,2025-11-17 18:00:00,20,,,25.0,
Anzaldo,2025-11-17 18:00:00,23,,,25.0,
Anzaldo,2025-11-17 18:00:00,26,,,18.0,
Anzaldo,2025-11-17 18:00:00,29,,,17.0,
Anzaldo,2025-11-17 18:00:00,32,,,12.0,
Anzaldo,2025-11-17 18:00:00,35,,,12.0,
Anzaldo,2025-11-17 18:00:00,38,,,15.0,
Anzaldo,2025-11-17 18:00:00,41,,,17.0,
Anzaldo,2025-11-17 18:00:00,44,,,25.0,
Anzaldo,2025-11-17 18:00:00,47,,,25.0,
Anzaldo,2025-11-17 18:00:00,68,,,26.0,
Anzaldo,2025-11-17 18:00:00,71,,,26.0,
Anzaldo,2025-11-17 18:00:00,92,,,26.0,
Anzaldo,2025-11-17 18:00:00,95,,,26.0,
Anzaldo,2025-11-18 10:00:00,88,55.0,,,
Anzaldo,2025-11-18 10:00:00,91,56.0,0.0,11.0,2.0
Anzaldo,2025-11-18 10:00:00,94,56.0,0.0,11.0,2.0
Anzaldo,2025-11-18 10:00:00,97,56.0,0.0,14.0,3.0
Anzaldo,2025-11-18 10:00:00,100,93.0,2.0,17.0,5.0
Anzaldo,2025-11-18 10:00:00,103,94.0,1.1,14.0,4.0
Anzaldo,2025-11-18 10:00:00,106,56.0,0.0,11.0,4.0
Anzaldo,2025-11-18 10:00:00,109,56.0,0.0,11.0,3.0
Anzaldo,2025-11-18 10:00:00,112,56.0,0.0,10.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,2,89.0,3.0,17.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,5,88.0,1.6,18.0,3.0
Apolo Chupiluzani,2025-11-17 06:00:00,8,94.0,1.9,20.0,3.0
Apolo Chupiluzani,2025-11-17 06:00:00,11,94.0,4.2,19.0,3.0
Apolo Chupiluzani,2025-11-17 06:00:00,14,94.0,4.9,18.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,17,94.0,2.3,15.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,20,94.0,2.3,12.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,23,94.0,1.8,12.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,26,94.0,2.9,12.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,29,94.0,3.0,13.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,32,55.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,35,56.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,38,56.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,41,56.0,0.0,13.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,44,56.0,0.0,12.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,47,56.0,0.0,12.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,50,56.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,53,56.0,0.0,17.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,56,95.0,2.9,19.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,59,95.0,1.5,19.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,62,94.0,2.4,17.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,65,94.0,1.1,16.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,68,94.0,1.5,14.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,71,55.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,74,56.0,0.0,18.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,77,56.0,0.0,21.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,80,94.0,2.5,23.0,3.0
Apolo Chupiluzani,2025-11-17 06:00:00,83,94.0,2.5,22.0,2.0
Apolo Chupiluzani,2025-11-17 06:00:00,86,55.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,89,56.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-11-17 06:00:00,92,56.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-11-17 10:00:00,91,56.0,0.0,17.0,1.0
Apolo Chupiluzani,2025-11-17 10:00:00,94,56.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-11-17 10:00:00,97,56.0,0.0,22.0,2.0
Apolo Chupiluzani,2025-11-17 10:00:00,100,94.0,2.0,24.0,3.0
Apolo Chupiluzani,2025-11-17 10:00:00,103,94.0,0.9,21.0,2.0
Apolo Chupiluzani,2025-11-17 10:00:00,106,56.0,0.0,17.0,2.0
Apolo Chupiluzani,2025-11-17 10:00:00,109,56.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-11-17 10:00:00,112,56.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-11-17 16:00:00,4,,,22.0,
Apolo Chupiluzani,2025-11-17 16:00:00,7,,,19.0,
Apolo Chupiluzani,2025-11-17 16:00:00,10,,,16.0,
Apolo Chupiluzani,2025-11-17 16:00:00,13,,,16.0,
Apolo Chupiluzani,2025-11-17 16:00:00,16,,,18.0,
Apolo Chupiluzani,2025-11-17 16:00:00,19,,,20.0,
Apolo Chupiluzani,2025-11-17 16:00:00,22,,,24.0,
Apolo Chupiluzani,2025-11-17 16:00:00,25,,,24.0,
Apolo Chupiluzani,2025-11-17 16:00:00,28,,,20.0,
Apolo Chupiluzani,2025-11-17 16:00:00,31,,,18.0,
