estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos
Anzaldo,2025-03-24,2,0.0,10,86,1
Anzaldo,2025-03-24,5,0.0,10,86,1
Anzaldo,2025-03-24,8,0.0,13,84,1
Anzaldo,2025-03-24,11,0.0,15,73,2
Anzaldo,2025-03-24,14,0.0,23,62,3
Anzaldo,2025-03-24,17,0.0,23,74,3
Anzaldo,2025-03-24,20,1.3,16,87,4
Anzaldo,2025-03-24,23,1.0,14,89,3
Anzaldo,2025-03-24,26,0.0,11,91,2
Anzaldo,2025-03-24,29,0.0,11,86,1
Anzaldo,2025-03-24,32,0.0,14,82,1
Anzaldo,2025-03-24,35,0.0,15,66,2
Anzaldo,2025-03-24,38,1.9,22,50,3
Anzaldo,2025-03-24,41,1.0,22,65,3
Anzaldo,2025-03-24,44,1.3,17,80,2
Anzaldo,2025-03-24,47,2.3,16,83,2
Anzaldo,2025-03-24,50,0.0,11,87,2
Anzaldo,2025-03-24,53,0.0,10,83,1
Anzaldo,2025-03-24,56,0.0,14,79,2
Anzaldo,2025-03-24,59,0.0,16,65,2
Anzaldo,2025-03-24,62,1.6,22,52,2
Anzaldo,2025-03-24,65,1.6,21,69,2
Anzaldo,2025-03-24,68,1.6,15,86,2
Anzaldo,2025-03-24,71,1.6,13,86,2
Anzaldo,2025-03-24,74,0.0,11,86,3
Anzaldo,2025-03-24,77,0.0,11,83,3
Anzaldo,2025-03-24,80,0.0,13,74,2
Anzaldo,2025-03-24,83,0.0,16,62,2
Anzaldo,2025-03-24,86,0.0,22,50,2
Anzaldo,2025-03-24,89,0.0,22,65,2
Anzaldo,2025-03-24,92,1.8,12,79,2
Anzaldo,2025-03-24,95,0.9,11,80,2
Anzaldo,2025-03-24,98,0.0,11,81,1
Apolo Chupiluzani,2025-03-24,2,0.0,18,99,1
Apolo Chupiluzani,2025-03-24,5,0.0,18,96,1
Apolo Chupiluzani,2025-03-24,8,0.0,20,93,1
Apolo Chupiluzani,2025-03-24,11,0.0,21,78,2
Apolo Chupiluzani,2025-03-24,14,1.3,27,62,2
Apolo Chupiluzani,2025-03-24,17,1.8,27,78,1
Apolo Chupiluzani,2025-03-24,20,1.3,23,93,1
Apolo Chupiluzani,2025-03-24,23,1.4,22,95,1
Apolo Chupiluzani,2025-03-24,26,0.0,17,97,1
Apolo Chupiluzani,2025-03-24,29,1.8,17,96,1
Apolo Chupiluzani,2025-03-24,32,0.9,20,95,2
Apolo Chupiluzani,2025-03-24,35,0.8,20,83,2
Apolo Chupiluzani,2025-03-24,38,0.0,28,72,2
Apolo Chupiluzani,2025-03-24,41,0.0,28,84,1
Apolo Chupiluzani,2025-03-24,44,1.9,21,97,1
Apolo Chupiluzani,2025-03-24,47,2.2,18,97,1
Apolo Chupiluzani,2025-03-24,50,1.8,17,98,1
Apolo Chupiluzani,2025-03-24,53,1.6,17,98,1
Apolo Chupiluzani,2025-03-24,56,2.7,20,97,0
Apolo Chupiluzani,2025-03-24,59,1.1,21,93,1
Apolo Chupiluzani,2025-03-24,62,0.0,27,89,1
Apolo Chupiluzani,2025-03-24,65,0.0,27,94,1
Apolo Chupiluzani,2025-03-24,68,1.5,20,98,1
Apolo Chupiluzani,2025-03-24,71,0.9,19,99,1
Apolo Chupiluzani,2025-03-24,74,0.0,18,99,1
Apolo Chupiluzani,2025-03-24,77,0.0,18,97,1
Apolo Chupiluzani,2025-03-24,80,0.0,19,96,2
Apolo Chupiluzani,2025-03-24,83,0.0,20,85,2
Apolo Chupiluzani,2025-03-24,86,1.4,27,73,3
Apolo Chupiluzani,2025-03-24,89,1.4,27,85,2
Apolo Chupiluzani,2025-03-24,92,1.2,18,97,1
Apolo Chupiluzani,2025-03-24,95,1.3,18,97,1
Apolo Chupiluzani,2025-03-24,98,0.0,18,98,1
Ascencion de Guarayos,2025-03-24,2,0.0,23,94,2
Ascencion de Guarayos,2025-03-24,5,0.0,23,97,1
Ascencion de Guarayos,2025-03-24,8,0.0,24,97,2
Ascencion de Guarayos,2025-03-24,11,0.0,27,83,2
Ascencion de Guarayos,2025-03-24,14,0.0,33,69,2
Ascencion de Guarayos,2025-03-24,17,0.0,33,81,2
Ascencion de Guarayos,2025-03-24,20,0.0,28,94,1
Ascencion de Guarayos,2025-03-24,23,0.0,27,96,1
Ascencion de Guarayos,2025-03-24,26,0.0,22,99,1
Ascencion de Guarayos,2025-03-24,29,0.0,22,95,2
Ascencion de Guarayos,2025-03-24,32,0.0,24,92,2
Ascencion de Guarayos,2025-03-24,35,0.0,26,85,2
Ascencion de Guarayos,2025-03-24,38,2.0,32,77,2
Ascencion de Guarayos,2025-03-24,41,1.9,32,87,2
Ascencion de Guarayos,2025-03-24,44,1.5,26,97,1
Ascencion de Guarayos,2025-03-24,47,2.9,26,98,1
Ascencion de Guarayos,2025-03-24,50,0.0,21,100,1
Ascencion de Guarayos,2025-03-24,53,0.0,21,99,1
Ascencion de Guarayos,2025-03-24,56,0.0,23,99,1
Ascencion de Guarayos,2025-03-24,59,0.0,24,98,1
Ascencion de Guarayos,2025-03-24,62,0.0,30,98,1
Ascencion de Guarayos,2025-03-24,65,0.0,30,97,1
Ascencion de Guarayos,2025-03-24,68,1.4,25,96,0
Ascencion de Guarayos,2025-03-24,71,1.1,23,97,0
Ascencion de Guarayos,2025-03-24,74,0.0,22,97,0
Ascencion de Guarayos,2025-03-24,77,0.0,22,95,1
Ascencion de Guarayos,2025-03-24,80,0.0,23,90,1
Ascencion de Guarayos,2025-03-24,83,0.0,26,85,2
Ascencion de Guarayos,2025-03-24,86,1.7,30,81,2
Ascencion de Guarayos,2025-03-24,89,1.8,30,90,2
Ascencion de Guarayos,2025-03-24,92,1.2,22,99,1
Ascencion de Guarayos,2025-03-24,95,1.7,22,99,1
Ascencion de Guarayos,2025-03-24,98,0.0,22,99,1
Baures,2025-03-24,2,0.0,25,97,2
Baures,2025-03-24,5,0.0,25,95,2
Baures,2025-03-24,8,0.0,26,94,3
Baures,2025-03-24,11,0.0,27,88,3
Baures,2025-03-24,14,0.0,34,81,3
Baures,2025-03-24,17,0.0,34,87,3
Baures,2025-03-24,20,1.2,28,92,2
Baures,2025-03-24,23,0.7,27,94,2
Baures,2025-03-24,26,0.0,25,97,2
Baures,2025-03-24,29,0.0,25,94,3
Baures,2025-03-24,32,0.0,27,92,3
Baures,2025-03-24,35,0.0,27,84,4
Baures,2025-03-24,38,1.6,33,75,4
Baures,2025-03-24,41,2.0,33,83,3
Baures,2025-03-24,44,2.0,27,91,1
Baures,2025-03-24,47,2.0,27,94,2
Baures,2025-03-24,50,0.7,24,97,2
Baures,2025-03-24,53,2.6,24,98,1
Baures,2025-03-24,56,2.6,26,98,1
Baures,2025-03-24,59,2.1,27,97,2
Baures,2025-03-24,62,2.6,31,96,2
Baures,2025-03-24,65,2.0,31,97,2
Baures,2025-03-24,68,2.0,27,98,1
Baures,2025-03-24,71,2.0,25,99,1
Baures,2025-03-24,74,0.0,24,99,1
Baures,2025-03-24,77,0.0,24,96,2
Baures,2025-03-24,80,0.0,25,94,2
Baures,2025-03-24,83,0.0,26,88,3
Baures,2025-03-24,86,2.6,30,81,4
Baures,2025-03-24,89,1.7,30,88,3
Baures,2025-03-24,92,2.2,24,94,2
Baures,2025-03-24,95,0.9,24,96,2
Baures,2025-03-24,98,0.0,24,97,2
Bulo Bulo,2025-03-24,2,0.0,23,99,1
Bulo Bulo,2025-03-24,5,0.0,23,99,1
Bulo Bulo,2025-03-24,8,0.0,24,98,1
Bulo Bulo,2025-03-24,11,0.0,27,81,2
Bulo Bulo,2025-03-24,14,0.3,31,64,3
Bulo Bulo,2025-03-24,17,0.3,31,80,2
Bulo Bulo,2025-03-24,20,1.2,26,96,1
Bulo Bulo,2025-03-24,23,1.2,25,98,1
Bulo Bulo,2025-03-24,26,0.0,24,100,1
Bulo Bulo,2025-03-24,29,1.5,24,99,1
Bulo Bulo,2025-03-24,32,1.5,25,100,1
Bulo Bulo,2025-03-24,35,1.5,25,97,1
Bulo Bulo,2025-03-24,38,1.8,29,94,1
Bulo Bulo,2025-03-24,41,1.5,29,97,2
Bulo Bulo,2025-03-24,44,1.6,26,99,2
Bulo Bulo,2025-03-24,47,1.5,24,100,1
Bulo Bulo,2025-03-24,50,0.0,23,100,1
Bulo Bulo,2025-03-24,53,0.0,23,99,0
Bulo Bulo,2025-03-24,56,0.0,25,99,0
Bulo Bulo,2025-03-24,59,0.0,25,96,0
Bulo Bulo,2025-03-24,62,0.0,28,93,0
Bulo Bulo,2025-03-24,65,0.0,28,96,1
Bulo Bulo,2025-03-24,68,0.0,25,98,1
Bulo Bulo,2025-03-24,71,0.0,23,99,1
Bulo Bulo,2025-03-24,74,0.0,22,99,1
Bulo Bulo,2025-03-24,77,0.0,22,94,1
Bulo Bulo,2025-03-24,80,0.0,23,89,1
Bulo Bulo,2025-03-24,83,0.0,25,76,2
Bulo Bulo,2025-03-24,86,0.0,28,63,2
Bulo Bulo,2025-03-24,89,0.0,28,80,2
Bulo Bulo,2025-03-24,92,0.8,22,97,1
Bulo Bulo,2025-03-24,95,1.4,22,98,1
Bulo Bulo,2025-03-24,98,0.0,22,99,1
Camargo,2025-03-24,2,0.0,13,80,2
Camargo,2025-03-24,5,0.0,13,82,2
Camargo,2025-03-24,8,0.0,17,78,1
Camargo,2025-03-24,11,0.0,19,63,2
Camargo,2025-03-24,14,0.0,30,47,3
Camargo,2025-03-24,17,0.0,30,63,3
Camargo,2025-03-24,20,0.0,20,79,4
Camargo,2025-03-24,23,0.0,19,82,3
Camargo,2025-03-24,26,0.0,14,85,2
Camargo,2025-03-24,29,0.0,14,79,2
Camargo,2025-03-24,32,0.0,17,73,2
Camargo,2025-03-24,35,0.0,18,60,3
Camargo,2025-03-24,38,1.0,28,47,3
Camargo,2025-03-24,41,1.9,28,64,3
Camargo,2025-03-24,44,1.9,18,80,3
Camargo,2025-03-24,47,1.9,17,81,3
Camargo,2025-03-24,50,0.0,13,83,2
Camargo,2025-03-24,53,0.0,12,79,1
Camargo,2025-03-24,56,0.0,16,76,1
Camargo,2025-03-24,59,0.0,17,52,2
Camargo,2025-03-24,62,1.0,28,28,2
Camargo,2025-03-24,65,1.0,27,48,3
Camargo,2025-03-24,68,0.8,16,68,3
Camargo,2025-03-24,71,1.1,15,74,2
Camargo,2025-03-24,74,0.0,13,81,1
Camargo,2025-03-24,77,0.0,13,76,1
Camargo,2025-03-24,80,0.0,14,70,2
Camargo,2025-03-24,83,0.0,17,51,2
Camargo,2025-03-24,86,0.0,27,32,2
Camargo,2025-03-24,89,0.0,26,52,3
Camargo,2025-03-24,92,0.0,13,71,4
Camargo,2025-03-24,95,0.0,13,76,3
Camargo,2025-03-24,98,0.0,13,80,2
Camiri,2025-03-24,2,0.0,20,99,1
Camiri,2025-03-24,5,0.0,20,98,1
Camiri,2025-03-24,8,0.0,22,96,1
Camiri,2025-03-24,11,0.0,23,91,2
Camiri,2025-03-24,14,0.0,26,87,2
Camiri,2025-03-24,17,0.0,26,93,2
Camiri,2025-03-24,20,0.0,23,98,1
Camiri,2025-03-24,23,0.0,21,98,1
Camiri,2025-03-24,26,0.0,19,98,1
Camiri,2025-03-24,29,1.0,19,99,1
Camiri,2025-03-24,32,1.1,21,99,1
Camiri,2025-03-24,35,1.1,22,98,2
Camiri,2025-03-24,38,1.1,24,97,2
Camiri,2025-03-24,41,1.5,24,97,2
Camiri,2025-03-24,44,0.0,22,97,2
Camiri,2025-03-24,47,0.0,20,98,1
Camiri,2025-03-24,50,0.0,18,98,1
Camiri,2025-03-24,53,0.0,18,95,1
Camiri,2025-03-24,56,0.0,19,94,0
Camiri,2025-03-24,59,0.0,20,78,1
Camiri,2025-03-24,62,0.0,24,61,2
Camiri,2025-03-24,65,0.0,24,72,2
Camiri,2025-03-24,68,0.0,21,82,1
Camiri,2025-03-24,71,0.0,19,84,1
Camiri,2025-03-24,74,0.0,18,86,0
Camiri,2025-03-24,77,0.0,18,91,1
Camiri,2025-03-24,80,0.0,20,85,0
Camiri,2025-03-24,83,0.0,23,70,2
Camiri,2025-03-24,86,0.0,25,56,3
Camiri,2025-03-24,89,0.0,25,67,2
Camiri,2025-03-24,92,0.0,19,79,2
Camiri,2025-03-24,95,0.0,19,87,1
Camiri,2025-03-24,98,0.0,18,96,1
Campanario,2025-03-24,2,0.0,6,87,2
Campanario,2025-03-24,5,0.0,6,85,2
Campanario,2025-03-24,8,0.0,11,83,2
Campanario,2025-03-24,11,0.0,14,71,3
Campanario,2025-03-24,14,0.0,19,59,4
Campanario,2025-03-24,17,0.0,19,74,4
Campanario,2025-03-24,20,0.0,14,88,4
Campanario,2025-03-24,23,0.0,13,90,3
Campanario,2025-03-24,26,0.0,7,92,2
Campanario,2025-03-24,29,0.0,7,83,2
Campanario,2025-03-24,32,0.0,10,79,3
Campanario,2025-03-24,35,0.0,13,73,4
Campanario,2025-03-24,38,0.0,20,66,5
Campanario,2025-03-24,41,0.0,20,78,4
Campanario,2025-03-24,44,0.0,11,90,4
Campanario,2025-03-24,47,0.0,8,88,3
Campanario,2025-03-24,50,0.0,6,86,1
Campanario,2025-03-24,53,0.0,6,82,1
Campanario,2025-03-24,56,0.0,9,81,2
Campanario,2025-03-24,59,0.0,14,56,3
Campanario,2025-03-24,62,0.0,21,32,4
Campanario,2025-03-24,65,0.0,21,54,4
Campanario,2025-03-24,68,0.0,11,76,3
Campanario,2025-03-24,71,0.0,7,74,2
Campanario,2025-03-24,74,0.0,7,73,2
Campanario,2025-03-24,77,0.0,8,63,2
Campanario,2025-03-24,80,0.0,13,48,3
Campanario,2025-03-24,83,0.0,16,37,3
Campanario,2025-03-24,86,0.0,20,26,2
Campanario,2025-03-24,89,0.0,20,56,3
Campanario,2025-03-24,92,0.0,8,85,4
Campanario,2025-03-24,95,0.0,7,85,3
Campanario,2025-03-24,98,0.0,7,86,1
Carura,2025-03-24,2,0.0,23,99,1
Carura,2025-03-24,5,0.0,23,99,0
Carura,2025-03-24,8,0.0,24,98,0
Carura,2025-03-24,11,0.0,25,92,1
Carura,2025-03-24,14,1.6,30,86,1
Carura,2025-03-24,17,0.8,30,91,1
Carura,2025-03-24,20,1.4,27,97,1
Carura,2025-03-24,23,1.5,25,98,1
Carura,2025-03-24,26,0.0,22,100,0
Carura,2025-03-24,29,1.0,22,99,0
Carura,2025-03-24,32,1.8,27,99,0
Carura,2025-03-24,35,2.1,25,94,1
Carura,2025-03-24,38,0.0,31,89,1
Carura,2025-03-24,41,0.0,31,94,1
Carura,2025-03-24,44,1.4,25,99,1
Carura,2025-03-24,47,1.8,25,99,1
Carura,2025-03-24,50,1.8,23,100,0
Carura,2025-03-24,53,1.9,23,100,0
Carura,2025-03-24,56,1.2,25,100,0
Carura,2025-03-24,59,2.6,24,93,1
Carura,2025-03-24,62,0.0,30,86,2
Carura,2025-03-24,65,0.0,30,92,1
Carura,2025-03-24,68,0.0,25,98,1
Carura,2025-03-24,71,0.0,24,98,0
Carura,2025-03-24,74,0.0,23,98,0
Carura,2025-03-24,77,0.0,23,99,0
Carura,2025-03-24,80,0.0,24,98,0
Carura,2025-03-24,83,0.0,24,81,1
Carura,2025-03-24,86,1.3,29,65,2
Carura,2025-03-24,89,1.4,29,82,1
Carura,2025-03-24,92,1.5,23,99,1
Carura,2025-03-24,95,1.4,23,99,1
Carura,2025-03-24,98,0.0,23,100,0
Chacala (INIAF),2025-03-24,2,0.0,2,30,2
Chacala (INIAF),2025-03-24,5,0.0,2,27,2
Chacala (INIAF),2025-03-24,8,0.0,10,22,2
Chacala (INIAF),2025-03-24,11,0.0,13,22,3
Chacala (INIAF),2025-03-24,14,0.0,17,22,4
Chacala (INIAF),2025-03-24,17,0.0,17,26,3
Chacala (INIAF),2025-03-24,20,0.0,14,30,1
Chacala (INIAF),2025-03-24,23,0.0,12,38,2
Chacala (INIAF),2025-03-24,26,0.0,1,46,2
Chacala (INIAF),2025-03-24,29,0.0,1,29,2
Chacala (INIAF),2025-03-24,32,0.0,9,28,2
Chacala (INIAF),2025-03-24,35,0.0,12,26,4
Chacala (INIAF),2025-03-24,38,0.0,18,25,6
Chacala (INIAF),2025-03-24,41,0.0,18,30,4
Chacala (INIAF),2025-03-24,44,0.0,12,34,1
Chacala (INIAF),2025-03-24,47,0.0,7,39,2
Chacala (INIAF),2025-03-24,50,0.0,1,44,2
Chacala (INIAF),2025-03-24,53,0.0,1,46,3
Chacala (INIAF),2025-03-24,56,0.0,8,47,2
Chacala (INIAF),2025-03-24,59,0.0,11,39,4
Chacala (INIAF),2025-03-24,62,0.0,17,31,7
Chacala (INIAF),2025-03-24,65,0.0,17,30,5
