estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vientos
Anzaldo,2025-10-06 06:00:00,2,82.0,1.8,15.0,1.0
Anzaldo,2025-10-06 06:00:00,5,81.0,2.4,18.0,2.0
Anzaldo,2025-10-06 06:00:00,8,82.0,1.9,20.0,4.0
Anzaldo,2025-10-06 06:00:00,11,82.0,0.8,20.0,3.0
Anzaldo,2025-10-06 06:00:00,14,36.0,0.0,15.0,3.0
Anzaldo,2025-10-06 06:00:00,17,37.0,0.0,13.0,3.0
Anzaldo,2025-10-06 06:00:00,20,36.0,0.0,8.0,2.0
Anzaldo,2025-10-06 06:00:00,23,56.0,0.0,8.0,2.0
Anzaldo,2025-10-06 06:00:00,26,55.0,0.0,13.0,2.0
Anzaldo,2025-10-06 06:00:00,29,57.0,0.0,16.0,4.0
Anzaldo,2025-10-06 06:00:00,32,57.0,0.0,18.0,6.0
Anzaldo,2025-10-06 06:00:00,35,57.0,0.0,18.0,4.0
Anzaldo,2025-10-06 06:00:00,38,56.0,0.0,14.0,2.0
Anzaldo,2025-10-06 06:00:00,41,56.0,0.0,13.0,2.0
Anzaldo,2025-10-06 06:00:00,44,36.0,0.0,9.0,2.0
Anzaldo,2025-10-06 06:00:00,47,36.0,0.0,9.0,1.0
Anzaldo,2025-10-06 06:00:00,50,37.0,0.0,13.0,1.0
Anzaldo,2025-10-06 06:00:00,53,36.0,0.0,15.0,2.0
Anzaldo,2025-10-06 06:00:00,56,55.0,0.0,21.0,3.0
Anzaldo,2025-10-06 06:00:00,59,56.0,0.0,21.0,3.0
Anzaldo,2025-10-06 06:00:00,62,56.0,0.0,16.0,3.0
Anzaldo,2025-10-06 06:00:00,65,56.0,0.0,12.0,2.0
Anzaldo,2025-10-06 06:00:00,68,56.0,0.0,8.0,1.0
Anzaldo,2025-10-06 06:00:00,71,56.0,0.0,9.0,2.0
Anzaldo,2025-10-06 06:00:00,74,56.0,0.0,14.0,2.0
Anzaldo,2025-10-06 06:00:00,77,56.0,0.0,16.0,2.0
Anzaldo,2025-10-06 06:00:00,80,94.0,4.1,22.0,3.0
Anzaldo,2025-10-06 06:00:00,83,95.0,4.2,22.0,2.0
Anzaldo,2025-10-06 06:00:00,86,94.0,2.7,15.0,2.0
Anzaldo,2025-10-06 06:00:00,89,93.0,1.1,15.0,1.0
Anzaldo,2025-10-06 06:00:00,92,93.0,1.1,14.0,1.0
Anzaldo,2025-10-06 12:00:00,14,56.0,,,
Anzaldo,2025-10-06 12:00:00,17,57.0,,,
Anzaldo,2025-10-06 12:00:00,20,56.0,,,
Anzaldo,2025-10-06 12:00:00,23,56.0,,,
Anzaldo,2025-10-06 12:00:00,26,81.0,0.2,,
Anzaldo,2025-10-06 12:00:00,29,81.0,0.2,,
Anzaldo,2025-10-06 12:00:00,38,56.0,,,
Anzaldo,2025-10-06 12:00:00,50,88.0,0.9,,
Anzaldo,2025-10-06 12:00:00,53,88.0,2.6,,
Anzaldo,2025-10-06 12:00:00,56,94.0,2.3,,
Anzaldo,2025-10-06 12:00:00,59,94.0,2.6,,
Anzaldo,2025-10-06 12:00:00,62,94.0,0.9,,
Anzaldo,2025-10-06 12:00:00,65,94.0,2.3,,
Anzaldo,2025-10-06 12:00:00,68,94.0,2.6,,
Anzaldo,2025-10-06 12:00:00,71,94.0,2.6,,
Anzaldo,2025-10-06 12:00:00,74,88.0,0.9,,
Anzaldo,2025-10-06 12:00:00,77,88.0,2.6,,
Anzaldo,2025-10-06 12:00:00,80,,2.6,,
Anzaldo,2025-10-06 12:00:00,83,94.0,2.6,,
Anzaldo,2025-10-06 12:00:00,86,94.0,1.0,,
Anzaldo,2025-10-06 12:00:00,89,94.0,0.9,9.0,1.0
Anzaldo,2025-10-06 12:00:00,92,94.0,1.7,9.0,2.0
Anzaldo,2025-10-06 12:00:00,95,94.0,1.3,12.0,2.0
Anzaldo,2025-10-06 12:00:00,98,88.0,0.9,14.0,2.0
Anzaldo,2025-10-06 12:00:00,101,88.0,2.6,13.0,2.0
Anzaldo,2025-10-06 12:00:00,104,57.0,0.0,12.0,2.0
Anzaldo,2025-10-06 12:00:00,107,56.0,0.0,11.0,3.0
Anzaldo,2025-10-06 12:00:00,110,57.0,0.0,10.0,3.0
Apolo Chupiluzani,2025-10-06 06:00:00,2,56.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,5,56.0,0.0,21.0,2.0
Apolo Chupiluzani,2025-10-06 06:00:00,8,56.0,0.0,22.0,3.0
Apolo Chupiluzani,2025-10-06 06:00:00,11,56.0,0.0,22.0,2.0
Apolo Chupiluzani,2025-10-06 06:00:00,14,94.0,2.2,20.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,17,94.0,3.9,18.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,20,94.0,2.3,14.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,23,94.0,2.2,14.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,26,94.0,1.3,17.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,29,94.0,2.4,19.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,32,56.0,0.0,20.0,2.0
Apolo Chupiluzani,2025-10-06 06:00:00,35,56.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,38,56.0,0.0,17.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,41,55.0,0.0,15.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,44,56.0,0.0,13.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,47,56.0,0.0,13.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,50,56.0,0.0,18.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,53,56.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,56,36.0,0.0,23.0,1.0
Apolo Chupiluzani,2025-10-06 06:00:00,59,36.0,0.0,23.0,1.0
