estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos
Anzaldo,2025-08-25 06:00:00,2,1.8,8,83,3
Anzaldo,2025-08-25 06:00:00,5,1.4,11,67,4
Anzaldo,2025-08-25 06:00:00,8,2.8,16,52,6
Anzaldo,2025-08-25 06:00:00,11,1.5,16,68,5
Anzaldo,2025-08-25 06:00:00,14,3.6,10,84,3
Anzaldo,2025-08-25 06:00:00,17,1.4,7,87,3
Anzaldo,2025-08-25 06:00:00,20,0.0,2,89,2
Anzaldo,2025-08-25 06:00:00,23,0.0,2,83,2
Anzaldo,2025-08-25 06:00:00,26,0.0,8,72,1
Anzaldo,2025-08-25 06:00:00,29,0.0,11,58,2
Anzaldo,2025-08-25 06:00:00,32,0.0,17,44,3
Anzaldo,2025-08-25 06:00:00,35,0.0,17,54,3
Anzaldo,2025-08-25 06:00:00,38,0.0,13,65,2
Anzaldo,2025-08-25 06:00:00,41,0.0,8,74,2
Anzaldo,2025-08-25 06:00:00,44,0.0,1,83,1
Anzaldo,2025-08-25 06:00:00,47,0.0,2,70,1
Anzaldo,2025-08-25 06:00:00,50,0.0,9,67,2
Anzaldo,2025-08-25 06:00:00,53,0.0,12,50,2
Anzaldo,2025-08-25 06:00:00,56,0.0,18,34,3
Anzaldo,2025-08-25 06:00:00,59,0.0,18,49,2
Anzaldo,2025-08-25 06:00:00,62,0.0,11,65,1
Anzaldo,2025-08-25 06:00:00,65,0.0,8,72,1
Anzaldo,2025-08-25 06:00:00,68,0.0,3,80,2
Anzaldo,2025-08-25 06:00:00,71,0.0,3,67,3
Anzaldo,2025-08-25 06:00:00,74,0.0,8,59,2
Anzaldo,2025-08-25 06:00:00,77,0.0,12,43,3
Anzaldo,2025-08-25 06:00:00,80,0.0,18,26,4
Anzaldo,2025-08-25 06:00:00,83,0.0,18,38,3
Anzaldo,2025-08-25 06:00:00,86,0.0,13,50,2
Anzaldo,2025-08-25 06:00:00,89,0.0,4,52,2
Anzaldo,2025-08-25 06:00:00,92,0.0,4,54,2
Apolo Chupiluzani,2025-08-25 06:00:00,2,3.5,16,90,1
Apolo Chupiluzani,2025-08-25 06:00:00,5,1.9,17,80,1
Apolo Chupiluzani,2025-08-25 06:00:00,8,1.1,18,70,2
Apolo Chupiluzani,2025-08-25 06:00:00,11,1.7,19,81,1
Apolo Chupiluzani,2025-08-25 06:00:00,14,2.4,17,92,1
Apolo Chupiluzani,2025-08-25 06:00:00,17,2.4,15,94,1
Apolo Chupiluzani,2025-08-25 06:00:00,20,2.5,13,96,1
Apolo Chupiluzani,2025-08-25 06:00:00,23,0.0,13,95,1
Apolo Chupiluzani,2025-08-25 06:00:00,26,0.0,15,94,1
Apolo Chupiluzani,2025-08-25 06:00:00,29,0.0,17,78,1
Apolo Chupiluzani,2025-08-25 06:00:00,32,0.0,19,62,1
Apolo Chupiluzani,2025-08-25 06:00:00,35,0.0,19,77,1
Apolo Chupiluzani,2025-08-25 06:00:00,38,0.0,18,92,1
Apolo Chupiluzani,2025-08-25 06:00:00,41,0.0,16,93,1
Apolo Chupiluzani,2025-08-25 06:00:00,44,0.0,14,94,1
Apolo Chupiluzani,2025-08-25 06:00:00,47,0.0,14,91,1
Apolo Chupiluzani,2025-08-25 06:00:00,50,0.0,15,88,1
Apolo Chupiluzani,2025-08-25 06:00:00,53,0.0,17,65,1
Apolo Chupiluzani,2025-08-25 06:00:00,56,0.0,21,41,2
Apolo Chupiluzani,2025-08-25 06:00:00,59,0.0,21,63,1
Apolo Chupiluzani,2025-08-25 06:00:00,62,0.0,18,85,1
Apolo Chupiluzani,2025-08-25 06:00:00,65,0.0,16,87,1
Apolo Chupiluzani,2025-08-25 06:00:00,68,0.0,15,88,1
Apolo Chupiluzani,2025-08-25 06:00:00,71,0.0,15,75,1
Apolo Chupiluzani,2025-08-25 06:00:00,74,0.0,17,68,1
Apolo Chupiluzani,2025-08-25 06:00:00,77,0.0,19,51,2
Apolo Chupiluzani,2025-08-25 06:00:00,80,0.0,23,34,3
Apolo Chupiluzani,2025-08-25 06:00:00,83,0.0,23,50,2
Apolo Chupiluzani,2025-08-25 06:00:00,86,0.0,18,66,1
Apolo Chupiluzani,2025-08-25 06:00:00,89,0.0,16,71,1
Apolo Chupiluzani,2025-08-25 06:00:00,92,0.0,16,76,1
Ascencion de Guarayos,2025-08-25 06:00:00,2,0.0,17,58,3
Ascencion de Guarayos,2025-08-25 06:00:00,5,0.0,20,44,3
Ascencion de Guarayos,2025-08-25 06:00:00,8,0.0,22,31,3
Ascencion de Guarayos,2025-08-25 06:00:00,11,0.0,22,40,3
Ascencion de Guarayos,2025-08-25 06:00:00,14,0.0,20,50,4
Ascencion de Guarayos,2025-08-25 06:00:00,17,0.0,17,59,3
Ascencion de Guarayos,2025-08-25 06:00:00,20,0.0,14,69,3
Ascencion de Guarayos,2025-08-25 06:00:00,23,0.0,14,61,3
Ascencion de Guarayos,2025-08-25 06:00:00,26,0.0,16,61,3
Ascencion de Guarayos,2025-08-25 06:00:00,29,0.0,20,43,3
Ascencion de Guarayos,2025-08-25 06:00:00,32,0.0,23,24,3
Ascencion de Guarayos,2025-08-25 06:00:00,35,0.0,23,30,2
Ascencion de Guarayos,2025-08-25 06:00:00,38,0.0,20,36,2
Ascencion de Guarayos,2025-08-25 06:00:00,41,0.0,17,41,2
Ascencion de Guarayos,2025-08-25 06:00:00,44,0.0,15,46,1
