estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vientos
Anzaldo,2025-09-08 06:00:00,2,36.0,0.0,17.0,4.0
Anzaldo,2025-09-08 06:00:00,5,35.0,0.0,16.0,5.0
Anzaldo,2025-09-08 06:00:00,8,36.0,0.0,27.0,6.0
Anzaldo,2025-09-08 06:00:00,11,36.0,0.0,27.0,5.0
Anzaldo,2025-09-08 06:00:00,14,21.0,0.0,18.0,3.0
Anzaldo,2025-09-08 06:00:00,17,21.0,0.0,15.0,2.0
Anzaldo,2025-09-08 06:00:00,20,21.0,0.0,9.0,1.0
Anzaldo,2025-09-08 06:00:00,23,22.0,0.0,9.0,1.0
Anzaldo,2025-09-08 06:00:00,26,22.0,0.0,15.0,1.0
Anzaldo,2025-09-08 06:00:00,29,22.0,0.0,19.0,2.0
Anzaldo,2025-09-08 06:00:00,32,37.0,0.0,26.0,4.0
Anzaldo,2025-09-08 06:00:00,35,36.0,0.0,26.0,3.0
Anzaldo,2025-09-08 06:00:00,38,36.0,0.0,18.0,3.0
Anzaldo,2025-09-08 06:00:00,41,36.0,0.0,16.0,2.0
Anzaldo,2025-09-08 06:00:00,44,22.0,0.0,10.0,2.0
Anzaldo,2025-09-08 06:00:00,47,21.0,0.0,10.0,2.0
Anzaldo,2025-09-08 06:00:00,50,21.0,0.0,15.0,3.0
Anzaldo,2025-09-08 06:00:00,53,22.0,0.0,18.0,3.0
Anzaldo,2025-09-08 06:00:00,56,36.0,0.0,27.0,4.0
Anzaldo,2025-09-08 06:00:00,59,37.0,0.0,27.0,3.0
Anzaldo,2025-09-08 06:00:00,62,21.0,0.0,21.0,2.0
Anzaldo,2025-09-08 06:00:00,65,21.0,0.0,20.0,2.0
Anzaldo,2025-09-08 06:00:00,68,57.0,0.0,13.0,2.0
Anzaldo,2025-09-08 06:00:00,71,55.0,0.0,11.0,2.0
Anzaldo,2025-09-08 06:00:00,74,56.0,0.0,14.0,3.0
Anzaldo,2025-09-08 06:00:00,77,56.0,0.0,15.0,3.0
Anzaldo,2025-09-08 06:00:00,80,94.0,1.9,25.0,3.0
Anzaldo,2025-09-08 06:00:00,83,94.0,2.1,24.0,2.0
Anzaldo,2025-09-08 06:00:00,86,93.0,2.4,14.0,1.0
Anzaldo,2025-09-08 06:00:00,89,94.0,3.1,13.0,1.0
Anzaldo,2025-09-08 06:00:00,92,56.0,0.0,10.0,2.0
Anzaldo,2025-09-08 12:00:00,32,56.0,,,
Anzaldo,2025-09-08 12:00:00,35,55.0,,,
Anzaldo,2025-09-08 12:00:00,86,21.0,,,
Anzaldo,2025-09-08 12:00:00,89,22.0,0.0,9.0,2.0
Anzaldo,2025-09-08 12:00:00,92,22.0,0.0,10.0,2.0
Anzaldo,2025-09-08 12:00:00,95,22.0,0.0,14.0,2.0
Anzaldo,2025-09-08 12:00:00,98,36.0,0.0,18.0,2.0
Anzaldo,2025-09-08 12:00:00,101,36.0,0.0,16.0,2.0
Anzaldo,2025-09-08 12:00:00,104,76.0,1.8,13.0,2.0
Anzaldo,2025-09-08 12:00:00,107,76.0,1.0,11.0,2.0
Anzaldo,2025-09-08 12:00:00,110,22.0,0.0,10.0,1.0
Anzaldo,2025-09-08 14:00:00,12,,,6.0,
Anzaldo,2025-09-08 14:00:00,15,,,6.0,
Anzaldo,2025-09-08 14:00:00,18,,,14.0,
Anzaldo,2025-09-08 14:00:00,21,,,17.0,
Anzaldo,2025-09-08 14:00:00,24,,,20.0,
Anzaldo,2025-09-08 14:00:00,27,,,20.0,
Anzaldo,2025-09-08 14:00:00,30,,,16.0,
Anzaldo,2025-09-08 14:00:00,33,,,12.0,
Anzaldo,2025-09-08 14:00:00,36,,,6.0,
Anzaldo,2025-09-08 14:00:00,39,,,6.0,
Anzaldo,2025-09-08 14:00:00,48,,,23.0,
Anzaldo,2025-09-08 14:00:00,51,,,23.0,
Anzaldo,2025-09-08 14:00:00,54,,,19.0,
Anzaldo,2025-09-08 14:00:00,57,,,16.0,
Anzaldo,2025-09-08 14:00:00,60,,,6.0,
Anzaldo,2025-09-08 14:00:00,63,,,7.0,
Anzaldo,2025-09-08 14:00:00,69,,,17.0,
Anzaldo,2025-09-08 14:00:00,72,,,23.0,
Anzaldo,2025-09-08 14:00:00,75,,,23.0,
Anzaldo,2025-09-08 14:00:00,78,,,16.0,
Anzaldo,2025-09-08 14:00:00,84,,,7.0,
Anzaldo,2025-09-08 14:00:00,87,,,7.0,
Anzaldo,2025-09-08 14:00:00,90,,,11.0,
Anzaldo,2025-09-08 14:00:00,93,,,15.0,
Anzaldo,2025-09-08 14:00:00,96,,,21.0,
Anzaldo,2025-09-08 14:00:00,99,,,21.0,
Anzaldo,2025-09-08 14:00:00,105,,,9.0,
Anzaldo,2025-09-08 14:00:00,108,,,8.0,
Anzaldo,2025-09-08 16:00:00,10,,,7.0,
Anzaldo,2025-09-08 16:00:00,13,,,7.0,
Anzaldo,2025-09-08 16:00:00,46,,,24.0,
Anzaldo,2025-09-08 16:00:00,49,,,24.0,
Anzaldo,2025-09-08 16:00:00,58,,,7.0,
Anzaldo,2025-09-08 16:00:00,64,,,13.0,
Anzaldo,2025-09-08 16:00:00,82,,,8.0,
Anzaldo,2025-09-08 16:00:00,94,,,22.0,
Anzaldo,2025-09-08 16:00:00,97,,,22.0,
Anzaldo,2025-09-08 16:00:00,103,,,8.0,
Anzaldo,2025-09-09 10:00:00,88,21.0,,,
Anzaldo,2025-09-09 10:00:00,91,22.0,0.0,11.0,2.0
Anzaldo,2025-09-09 10:00:00,94,22.0,0.0,12.0,2.0
Anzaldo,2025-09-09 10:00:00,97,22.0,0.0,16.0,3.0
Anzaldo,2025-09-09 10:00:00,100,21.0,0.0,20.0,5.0
Anzaldo,2025-09-09 10:00:00,103,22.0,0.0,17.0,4.0
Anzaldo,2025-09-09 10:00:00,106,36.0,0.0,13.0,3.0
Anzaldo,2025-09-09 10:00:00,109,37.0,0.0,12.0,2.0
Anzaldo,2025-09-09 10:00:00,112,36.0,0.0,11.0,2.0
Anzaldo,2025-09-09 14:00:00,12,,,7.0,
Anzaldo,2025-09-09 14:00:00,15,,,7.0,
Anzaldo,2025-09-09 14:00:00,36,,,8.0,
Anzaldo,2025-09-09 14:00:00,39,,,8.0,
Anzaldo,2025-09-09 14:00:00,81,,,10.0,
Anzaldo,2025-09-09 14:00:00,87,,,9.0,
Anzaldo,2025-09-09 14:00:00,96,,,23.0,
Anzaldo,2025-09-09 14:00:00,99,,,22.0,
Anzaldo,2025-09-09 14:00:00,102,,,14.0,
Anzaldo,2025-09-09 14:00:00,108,,,10.0,
Anzaldo,2025-09-09 16:00:00,22,,,25.0,
Anzaldo,2025-09-09 16:00:00,25,,,25.0,
Anzaldo,2025-09-09 16:00:00,46,,,24.0,
Anzaldo,2025-09-09 16:00:00,70,,,23.0,
Anzaldo,2025-09-09 16:00:00,73,,,23.0,
Anzaldo,2025-09-09 16:00:00,76,,,14.0,
Anzaldo,2025-09-09 16:00:00,85,,,8.0,
Anzaldo,2025-09-09 16:00:00,94,,,24.0,
Anzaldo,2025-09-09 16:00:00,97,,,23.0,
Anzaldo,2025-09-09 16:00:00,106,,,9.0,
Apolo Chupiluzani,2025-09-08 06:00:00,2,36.0,0.0,18.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,5,36.0,0.0,21.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,8,56.0,0.0,28.0,3.0
Apolo Chupiluzani,2025-09-08 06:00:00,11,56.0,0.0,28.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,14,36.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,17,36.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,20,36.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,23,35.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,26,36.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,29,36.0,0.0,23.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,32,36.0,0.0,29.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,35,36.0,0.0,29.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,38,36.0,0.0,22.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,41,36.0,0.0,19.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,44,21.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,47,22.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,50,22.0,0.0,19.0,0.0
Apolo Chupiluzani,2025-09-08 06:00:00,53,21.0,0.0,22.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,56,36.0,0.0,30.0,3.0
Apolo Chupiluzani,2025-09-08 06:00:00,59,36.0,0.0,30.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,62,22.0,0.0,22.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,65,22.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,68,36.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,71,36.0,0.0,17.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,74,36.0,0.0,21.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,77,36.0,0.0,22.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,80,94.0,2.3,31.0,3.0
Apolo Chupiluzani,2025-09-08 06:00:00,83,94.0,1.0,31.0,2.0
Apolo Chupiluzani,2025-09-08 06:00:00,86,94.0,1.7,18.0,1.0
Apolo Chupiluzani,2025-09-08 06:00:00,89,94.0,2.9,18.0,1.0
