estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos
Anzaldo,2025-07-07 06:00:00,2,0,10,42,1
Anzaldo,2025-07-07 06:00:00,5,0,13,36,4
Anzaldo,2025-07-07 06:00:00,8,0,23,31,6
Anzaldo,2025-07-07 06:00:00,11,0,23,55,5
Anzaldo,2025-07-07 06:00:00,14,0,17,79,3
Anzaldo,2025-07-07 06:00:00,17,0,11,78,2
Anzaldo,2025-07-07 06:00:00,20,0,0,76,1
Anzaldo,2025-07-07 06:00:00,23,0,0,86,1
Anzaldo,2025-07-07 06:00:00,26,0,6,82,1
Anzaldo,2025-07-07 06:00:00,29,0,10,66,1
Anzaldo,2025-07-07 06:00:00,32,0,24,51,2
Anzaldo,2025-07-07 06:00:00,35,0,24,63,2
Anzaldo,2025-07-07 06:00:00,38,0,19,76,1
Anzaldo,2025-07-07 06:00:00,41,0,16,82,1
Anzaldo,2025-07-07 06:00:00,44,0,1,88,1
Anzaldo,2025-07-07 06:00:00,47,0,1,79,1
Anzaldo,2025-07-07 06:00:00,50,0,8,73,1
Anzaldo,2025-07-07 06:00:00,53,0,12,55,2
Anzaldo,2025-07-07 06:00:00,56,0,23,37,3
Anzaldo,2025-07-07 06:00:00,59,0,23,52,3
Anzaldo,2025-07-07 06:00:00,62,0,9,68,3
Anzaldo,2025-07-07 06:00:00,65,0,8,71,2
Anzaldo,2025-07-07 06:00:00,68,0,2,74,1
Anzaldo,2025-07-07 06:00:00,71,0,2,81,1
Anzaldo,2025-07-07 06:00:00,74,0,8,75,1
Anzaldo,2025-07-07 06:00:00,77,0,12,57,2
Anzaldo,2025-07-07 06:00:00,80,0,21,38,3
Anzaldo,2025-07-07 06:00:00,83,0,21,56,2
Anzaldo,2025-07-07 06:00:00,86,0,9,74,2
Anzaldo,2025-07-07 06:00:00,89,0,3,78,2
Anzaldo,2025-07-07 06:00:00,92,0,3,82,1
Apolo Chupiluzani,2025-07-07 06:00:00,2,0,18,90,1
Apolo Chupiluzani,2025-07-07 06:00:00,5,0,21,66,1
Apolo Chupiluzani,2025-07-07 06:00:00,8,0,26,43,2
Apolo Chupiluzani,2025-07-07 06:00:00,11,0,26,62,2
Apolo Chupiluzani,2025-07-07 06:00:00,14,0,20,82,1
Apolo Chupiluzani,2025-07-07 06:00:00,17,0,18,82,1
Apolo Chupiluzani,2025-07-07 06:00:00,20,0,14,83,0
Apolo Chupiluzani,2025-07-07 06:00:00,23,0,14,87,1
Apolo Chupiluzani,2025-07-07 06:00:00,26,0,18,84,1
Apolo Chupiluzani,2025-07-07 06:00:00,29,0,18,69,1
Apolo Chupiluzani,2025-07-07 06:00:00,32,0,25,55,1
Apolo Chupiluzani,2025-07-07 06:00:00,35,0,25,71,1
Apolo Chupiluzani,2025-07-07 06:00:00,38,0,20,87,1
Apolo Chupiluzani,2025-07-07 06:00:00,41,0,19,88,1
Apolo Chupiluzani,2025-07-07 06:00:00,44,0,13,89,1
Apolo Chupiluzani,2025-07-07 06:00:00,47,0,13,85,1
Apolo Chupiluzani,2025-07-07 06:00:00,50,0,16,80,1
Apolo Chupiluzani,2025-07-07 06:00:00,53,0,18,61,2
Apolo Chupiluzani,2025-07-07 06:00:00,56,0,26,41,2
Apolo Chupiluzani,2025-07-07 06:00:00,59,0,26,56,2
Apolo Chupiluzani,2025-07-07 06:00:00,62,0,17,70,1
Apolo Chupiluzani,2025-07-07 06:00:00,65,0,15,74,1
Apolo Chupiluzani,2025-07-07 06:00:00,68,0,12,78,1
Apolo Chupiluzani,2025-07-07 06:00:00,71,0,12,79,1
Apolo Chupiluzani,2025-07-07 06:00:00,74,0,17,78,1
Apolo Chupiluzani,2025-07-07 06:00:00,77,0,18,59,2
Apolo Chupiluzani,2025-07-07 06:00:00,80,0,26,41,2
Apolo Chupiluzani,2025-07-07 06:00:00,83,0,25,59,2
Apolo Chupiluzani,2025-07-07 06:00:00,86,0,17,78,1
Apolo Chupiluzani,2025-07-07 06:00:00,89,0,13,83,1
Apolo Chupiluzani,2025-07-07 06:00:00,92,0,13,89,1
Ascencion de Guarayos,2025-07-07 06:00:00,2,0,20,62,0
